dataset,temperature,condition,n_queries,faith,halluc,ccs,latency
pubmedqa,0.0,baseline,30,0.5926,0.1667,,8.699
pubmedqa,0.0,hcpc_v1,30,0.5441,0.3333,,4.7053
pubmedqa,0.0,hcpc_v2,30,0.5988,0.1333,0.3091,7.6787
pubmedqa,0.3,baseline,30,0.6007,0.2667,,8.6463
pubmedqa,0.3,hcpc_v1,30,0.5577,0.2333,,5.1917
pubmedqa,0.3,hcpc_v2,30,0.586,0.1667,0.3091,7.571
pubmedqa,0.7,baseline,30,0.6,0.2,,8.6437
pubmedqa,0.7,hcpc_v1,30,0.5621,0.2333,,5.5333
pubmedqa,0.7,hcpc_v2,30,0.6043,0.1667,0.3091,8.3787
pubmedqa,1.0,baseline,30,0.6107,0.2,,8.739
pubmedqa,1.0,hcpc_v1,30,0.5674,0.2667,,5.1517
pubmedqa,1.0,hcpc_v2,30,0.5791,0.2,0.3091,7.4823
squad,0.0,baseline,30,0.7927,0.0,,3.0073
squad,0.0,hcpc_v1,30,0.7273,0.1,,2.3083
squad,0.0,hcpc_v2,30,0.7968,0.0,0.5425,3.34
squad,0.3,baseline,30,0.7908,0.0,,3.077
squad,0.3,hcpc_v1,30,0.7297,0.0667,,2.4463
squad,0.3,hcpc_v2,30,0.7883,0.0,0.5425,3.6897
squad,0.7,baseline,30,0.7626,0.0667,,3.173
squad,0.7,hcpc_v1,30,0.6867,0.2,,2.2933
squad,0.7,hcpc_v2,30,0.8165,0.0667,0.5425,3.7627
squad,1.0,baseline,30,0.7868,0.0,,3.2223
squad,1.0,hcpc_v1,30,0.6723,0.1667,,2.0713
squad,1.0,hcpc_v2,30,0.7793,0.0667,0.5425,3.8717
