model,dataset,question,answer,ground_truth,faithfulness_score,is_hallucination,latency_s
mistral,squad,Which NFL team represented the AFC at Super Bowl 50?," The Denver Broncos represented the AFC at Super Bowl 50 in 2016. They defeated the NFC champions, the Carolina Panthers, with a score of 24-10. Peyton Manning, who was the starting quarterback for the Broncos, played his final game in this Super Bowl.",Denver Broncos,0.73,False,7.24
mistral,squad,Which NFL team represented the NFC at Super Bowl 50?," The NFL team that represented the NFC in Super Bowl 50 was the Carolina Panthers. They faced off against the AFC champions, the Denver Broncos, with the Broncos ultimately winning the game 24-10.",Carolina Panthers,0.7681,False,2.46
mistral,squad,Where did Super Bowl 50 take place?," Super Bowl 50 took place at Levi's Stadium in Santa Clara, California, on February 7, 2016. The Denver Broncos defeated the Carolina Panthers with a score of 24-10. Peyton Manning, quarterback for the Broncos, won his second Super Bowl title and was named the Super Bowl MVP.","Santa Clara, California",0.9405,False,3.67
mistral,squad,Which NFL team won Super Bowl 50?," The Denver Broncos won Super Bowl 50 in 2016. They defeated the Carolina Panthers with a score of 24-10. Peyton Manning, who was the starting quarterback for the Broncos at the time, earned his second Super Bowl ring and was named Super Bowl MVP. The game took place on February 7, 2016, at Levi's Stadium in Santa Clara, California.",Denver Broncos,0.8752,False,4.42
mistral,squad,What color was used to emphasize the 50th anniversary of the Super Bowl?," For the 50th Super Bowl in 2016, the NFL used a combination of white, gold, and silver to represent the ""L"" Roman numeral for 50. However, it's important to note that no specific single color was used to emphasize the 50th anniversary. The logo and promotional materials featured these three colors in various ways.",gold,0.6559,False,3.75
mistral,squad,What was the theme of Super Bowl 50?," The theme for Super Bowl 50, which took place in 2016, was ""Kingdom."" This theme was inspired by the host city, San Francisco Bay Area, and its rich history of technological innovation, cultural diversity, and natural beauty. The Roman numeral ""L"" (50) was depicted as a crown or royal crest, symbolizing the grandeur and prestige associated with Super Bowl 50 being the 50th edition of the event.","""golden anniversary""",0.5999,False,4.68
mistral,squad,What day was the game played on?," To provide an accurate answer, I would need specific details about the game in question. The date of a game can vary greatly depending on whether it's a sports event, a video game release, or something else entirely. If you could specify the game or event, I'd be more than happy to help find out when it was played!","February 7, 2016",0.7849,False,3.33
mistral,squad,What is the AFC short for?," The term ""AFC"" can have multiple meanings depending on the context. Here are some common abbreviations:

1. American Football Conference (in professional football, specifically NFL)
2. Alternate Frequency Channel (in radio communication)
3. Automatic Feed Control (in electronics and audio equipment)
4. Advanced Function Controller (in some industrial automation systems)
5. Air Force Command (in military contexts)

Without more specific information about the context, it's difficult to determine which definition is most appropriate in this case.",American Football Conference,0.56,False,5.6
mistral,squad,What was the theme of Super Bowl 50?," The theme for Super Bowl 50, which took place in 2016, was ""Kingdom."" This theme was inspired by the host city, San Francisco Bay Area, and its rich history of technology, innovation, and the Silicon Valley. The Roman numeral ""L"" (50) was depicted as a crown or a throne, symbolizing the grandeur and prestige associated with the Super Bowl.","""golden anniversary""",0.5314,False,4.08
mistral,squad,What does AFC stand for?," In various contexts, AFC can have different meanings. Here are some common ones:

1. Advanced Formula Concentrate (AFC) - a type of automotive coolant.
2. Alternate Fuel Credits (AFC) - a term used in the United States for tax credits related to alternative fuels.
3. American Football Conference (AFC) - one of two conferences in the National Football League (NFL).
4. Audio File Container (AFC) - an audio file format developed by Sony for MiniDisc.
5. Automated Fare Collection (AFC) - a system used to collect fares automatically on public transport systems.
6. Air Force Command (AFC) - a former designation of the United States Air Force's headquarters.
7. Asian Football Confederation (AFC) - the governing body for association football in Asia.
8. Automated Fingerprint Identification System (AFIS) - a system used to identify individuals by analyzing their fingerprints, where AFC stands for Automated Fingerprint Classification.
9. Air Force Combat Command (AFC) - a former command of the United States Air Force, responsible for air-to-air and air-to-ground combat forces.
10. Association Française de Cyclisme (French Cycling Federation) - AFC is one of its abbreviations.",American Football Conference,0.785,False,13.6
