condition,question,ground_truth,answer,faithfulness_score,is_hallucination,mean_retrieval_similarity,latency_s,dataset
baseline,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,0.7354,False,0.6528,107.78,squad
hcpc_v1,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,0.7354,False,0.6494,0.58,squad
hcpc_v2,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The American Football Conference (AFC) champion Denver Broncos represented the AFC at Super Bowl 50.,0.8049,False,0.6528,1.18,squad
crag,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The American Football Conference (AFC) champion Denver Broncos represented the AFC at Super Bowl 50.,0.8049,False,0.6634,1.05,squad
baseline,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,0.8891,False,0.6629,1.04,squad
hcpc_v1,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers," I cannot find this information in the provided context. The context only states that the Denver Broncos were the AFC team at Super Bowl 50, but it does not specify which NFC team they faced off against.",0.6837,False,0.6336,1.36,squad
hcpc_v2,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The National Football Conference (NFC) champion Carolina Panthers represented the NFC at Super Bowl 50.,0.8005,False,0.6629,1.18,squad
crag,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,0.8891,False,0.6444,0.98,squad
baseline,Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9459,False,0.6594,1.18,squad
hcpc_v1,Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context does not specify where Super Bowl 50 took place. However, it mentions that it was the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985, suggesting that it might have been in the San Francisco Bay Area. But without explicit information, I cannot confirm this.",0.62,False,0.6198,2.07,squad
hcpc_v2,Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9459,False,0.6594,1.23,squad
crag,Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9459,False,0.6908,1.17,squad
selfrag,Where did Super Bowl 50 take place?,"Santa Clara, California","The Su per B ow l X VI in 1 9 8 7 , and the first in Cal if or ni as ince Su per B ow l X IV to ok pl ace in 2 0 0 2 .  </s>",0.4329,True,0.6594,4.87,squad
baseline,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,0.6974,0.96,squad
hcpc_v1,Which NFL team won Super Bowl 50?,Denver Broncos," I cannot find this information in the provided context. The context only states that Super Bowl 50 was a game to determine the champion of the NFL for the 2015 season, but it does not specify which team won.",0.6693,False,0.662,1.5,squad
hcpc_v2,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,0.6974,0.86,squad
crag,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,0.6874,0.76,squad
baseline,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,0.532,0.54,squad
hcpc_v1,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,0.6462,0.28,squad
hcpc_v2,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,0.5273,0.61,squad
crag,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,0.5417,0.48,squad
baseline,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not explicitly state the theme of Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, a more specific theme might have been announced at a later date or through additional sources, and the context does not provide enough information to confirm this.",0.4689,True,0.5612,2.55,squad
hcpc_v1,What was the theme of Super Bowl 50?,"""golden anniversary"""," I cannot find this information in the provided context. The context only mentions that the game would prominently feature Arabic numerals 50 and that it was planned to be spectacular, but it does not provide any details about the theme of Super Bowl 50.",0.6537,False,0.6172,1.85,squad
hcpc_v2,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not explicitly state the theme of Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, a theme beyond this gold-centric celebration is not specified in the given context.",0.5845,False,0.5612,2.23,squad
crag,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify an explicit theme for Super Bowl 50 other than the ""golden anniversary"" emphasis. However, it is mentioned that the league emphasized this golden anniversary with various gold-themed initiatives.",0.7861,False,0.6105,1.77,squad
selfrag,What was the theme of Super Bowl 50?,"""golden anniversary""",</s>,1.0,False,0.5612,1.02,squad
baseline,What day was the game played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,0.4467,0.93,squad
hcpc_v1,What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",0.8967,False,0.5486,0.61,squad
hcpc_v2,What day was the game played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,0.4467,0.88,squad
crag,What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",0.8967,False,0.4711,0.65,squad
selfrag,What day was the game played on?,"February 7, 2016",The  </s>,1.0,False,0.4467,1.08,squad
baseline,What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for in this specific context. However, in general, AFC stands for American Football Conference.",0.7788,False,0.4516,1.28,squad
hcpc_v1,What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, in American football, AFC typically stands for the American Football Conference.",0.6381,False,0.4938,0.99,squad
hcpc_v2,What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for in this specific context. However, in general, AFC stands for American Football Conference.",0.7788,False,0.4532,1.18,squad
crag,What is the AFC short for?,American Football Conference," The provided context does not specify what AFC stands for, but in the context of American football, AFC typically stands for ""American Football Conference.""",0.6684,False,0.4516,1.15,squad
selfrag,What is the AFC short for?,American Football Conference,The A rab ic num er als 5 0 is an A rab ic - language TV series .   </s>,0.6579,False,0.4516,2.8,squad
baseline,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not explicitly state the theme of Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, a theme beyond this gold-centric focus is not specified in the given context.",0.5653,False,0.5612,2.41,squad
hcpc_v1,What was the theme of Super Bowl 50?,"""golden anniversary"""," I cannot find this information in the provided context. The context only mentions that the game would prominently feature Arabic numerals 50 and that it was planned to be spectacular, but there is no mention of a specific theme for Super Bowl 50.",0.5278,False,0.6172,1.92,squad
hcpc_v2,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not explicitly state the theme of Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, a more specific theme might have been announced at a later date or through additional sources.",0.615,False,0.5612,2.36,squad
crag,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not explicitly state the theme of Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. So, one could infer that the theme might have been related to the golden anniversary or celebrating the 50th Super Bowl. However, without additional context or specific confirmation, it's not possible to definitively state the exact theme of Super Bowl 50 based on the information provided.",0.5822,False,0.6105,3.64,squad
selfrag,What was the theme of Super Bowl 50?,"""golden anniversary""",</s>,1.0,False,0.5612,1.04,squad
baseline,What does AFC stand for?,American Football Conference," The context does not provide information about what AFC stands for. However, in American football, AFC typically stands for the American Football Conference.",0.6381,False,0.4266,1.31,squad
hcpc_v1,What does AFC stand for?,American Football Conference," The context does not provide information about what AFC stands for. However, in American football, AFC typically stands for the American Football Conference.",0.6381,False,0.476,1.06,squad
hcpc_v2,What does AFC stand for?,American Football Conference," The context does not provide information about what AFC stands for. However, in American football, AFC typically stands for the American Football Conference.",0.6381,False,0.4281,1.22,squad
crag,What does AFC stand for?,American Football Conference," The context does not provide information about what AFC stands for, but in American football, AFC typically refers to the American Football Conference.",0.74,False,0.4266,1.17,squad
selfrag,What does AFC stand for?,American Football Conference,The A rab ic num er als 5 0 is an A rab ic - language version of the Su per B ow l L .   </s>,0.5211,False,0.4266,6.84,squad
baseline,What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,0.6707,1.08,squad
