question,ground_truth,answer,template,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,model
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,"The provided context does not specify the type or location of the radar station that Vice-Admiral Iqbal Fazl Quadir participated in attacking during the second war with India. However, it mentions his involvement in an attack on a radar station located on the western shore of the Okhamandal Peninsula, which is in India. The Dwarka radar station mentioned in the context is not located on the western shore but rather on the western coast of Gujarat, India. Therefore, it's likely that the radar station Vice-Admiral Iqbal Fazl Quadir attacked during the second war with India was a different one than the ones mentioned in the context about the Mukachevo and Sevastopol radar stations.",strict,baseline,0.7383,False,0.5217,False,-1.0,9.0,hotpotqa,mistral
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,I cannot find this information in the provided context about Vice-Admiral Iqbal Fazl Quadir participating in an attack on a radar station located on the western shore of the Okhamandal Peninsula. The context only provides information about radar stations in Ukraine and does not mention any involvement of Vice-Admiral Iqbal Fazl Quadir in such an event.,strict,hcpc_v1,0.6042,False,0.5011,False,-1.0,4.54,hotpotqa,mistral
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,"The provided context does not specify the type or location of the radar station that Vice-Admiral Iqbal Fazl Quadir attacked during the second war with India. However, it mentions his participation in an attack on a radar station located on the western shore of the Okhamandal Peninsula, which is in India. The context does not provide details about this specific radar station.",strict,hcpc_v2,0.7681,False,0.5217,True,0.1812,5.43,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843,"The park at which Tivolis Koncertsal is located opened on August 15, 1843.",strict,baseline,0.4984,True,0.6046,False,-1.0,2.81,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843,"I cannot find this information in the provided context. The context only mentions that Tivolis Koncertsal was built between 1954 and 1956, but it does not provide any details about when Tivoli Gardens, the amusement park where the concert hall is located, opened.",strict,hcpc_v1,0.5444,False,0.5715,False,-1.0,3.43,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843,"The park at which Tivolis Koncertsal is located opened on August 15, 1843.",strict,hcpc_v2,0.4984,True,0.6046,False,0.4606,2.17,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,"Both Art Laboe and Scout Tufankjian share Armenian ancestry, as stated in their respective descriptions in the provided context.",strict,baseline,0.757,False,0.4265,False,-1.0,3.04,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,"Both Art Laboe and Scout Tufankjian share Armenian ancestry, as stated in their respective descriptions.",strict,hcpc_v1,0.7817,False,0.4105,False,-1.0,1.98,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,"Both Art Laboe and Scout Tufankjian share Armenian ancestry, as stated in their respective descriptions in the provided context.",strict,hcpc_v2,0.757,False,0.4265,True,0.1252,2.69,hotpotqa,mistral
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,"The context does not provide information about any designation of the school (Wilmslow High School) other than it being a mixed-sex 11–18 comprehensive secondary school and a designated Centre of Excellence. It is also noted that Dr. James Pullé is the head teacher, but no specific designations for the school are mentioned in relation to the Wilmslow Show.",strict,baseline,0.5311,False,0.5763,False,-1.0,5.89,hotpotqa,mistral
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,A Centre of Excellence,strict,hcpc_v1,0.4903,True,0.5997,False,-1.0,0.81,hotpotqa,mistral
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,"The context does not provide information about any designation of the school (Wilmslow High School) other than it being a mixed-sex 11–18 comprehensive secondary school and a designated Centre of Excellence. It is also noted that Dr. James Pullé is the head teacher, but there's no mention of any specific designation related to the school building itself.",strict,hcpc_v2,0.5121,False,0.5753,True,0.1914,5.49,hotpotqa,mistral
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,"I cannot find information about who Billy Howle will be seen opposite in an upcoming British drama film directed by Dominic Cooke, as there is no such information provided in the context.",strict,baseline,0.5831,False,0.4522,False,-1.0,5.48,hotpotqa,mistral
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,"Saoirse Ronan, according to the provided context.",strict,hcpc_v1,0.643,False,0.4514,False,-1.0,2.44,hotpotqa,mistral
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,I cannot find this information in the provided context. The context does not mention any upcoming British drama film directed by Dominic Cooke featuring Billy Howle.,strict,hcpc_v2,0.6323,False,0.4526,True,0.2865,5.05,hotpotqa,mistral
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,I cannot find this information in the provided context. The context does not mention any animated movie featuring Danny DeVito that was written or produced by Kool Kojak.,strict,baseline,0.6723,False,0.3942,False,-1.0,4.67,hotpotqa,mistral
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,I cannot find this information in the provided context. The context does not mention any animated movie starring Danny DeVito or related to Kool Kojak's work.,strict,hcpc_v1,0.5103,False,0.4229,False,-1.0,2.68,hotpotqa,mistral
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,I cannot find this information in the provided context. The context does not mention any animated movie featuring Danny DeVito that was written or produced by Kool Kojak.,strict,hcpc_v2,0.6723,False,0.3942,False,0.0129,4.74,hotpotqa,mistral
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,"I cannot find this information in the provided context. The context only mentions Jean-Claude Van Damme and Matt Battaglia as actors who have portrayed Luc Deveraux in the Universal Soldier franchise, but it does not provide any information about their roles in Holby City, Doctor Strange, The Bourne Ultimatum, or Zero Dark Thirty.",strict,baseline,0.5217,False,0.7012,False,-1.0,7.14,hotpotqa,mistral
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,"I cannot find this information in the provided context. The actors mentioned in the context are Jean-Claude Van Damme and Matt Battaglia, neither of whom have been associated with the movies Holby City, Doctor Strange, the Bourne Ultimatum, or Zero Dark Thirty.",strict,hcpc_v1,0.5919,False,0.6784,False,-1.0,4.11,hotpotqa,mistral
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,"I cannot find this information in the provided context. The actors mentioned in the context are Jean-Claude Van Damme and Matt Battaglia, but none of them have been associated with the movies you've mentioned (Holby City, Doctor Strange, The Bourne Ultimatum, and Zero Dark Thirty).",strict,hcpc_v2,0.4162,True,0.7012,False,0.7209,6.54,hotpotqa,mistral
Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,"Jack Lowden, who portrayed Young Tom Morris in Tommy's Honour, found his first major international onscreen success with the 2016 BBC miniseries ""War & Peace.""",strict,baseline,0.5322,False,0.4425,False,-1.0,4.84,hotpotqa,mistral
