question,ground_truth,answer,template,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,model
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The context states that the American Football Conference (AFC) champion Denver Broncos represented the AFC at Super Bowl 50.,cot,baseline,0.948,False,0.6528,False,-1.0,4.45,squad,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The Denver Broncos represented the AFC at Super Bowl 50.,cot,hcpc_v1,0.7354,False,0.6494,False,-1.0,1.69,squad,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The context states that the American Football Conference (AFC) champion Denver Broncos represented the AFC at Super Bowl 50.,cot,hcpc_v2,0.948,False,0.6528,False,0.5818,4.72,squad,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The context states that the National Football Conference (NFC) champion Carolina Panthers represented the NFC at Super Bowl 50.,cot,baseline,0.7996,False,0.6629,False,-1.0,1.41,squad,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The context does not provide enough information to determine which NFL team represented the NFC at Super Bowl 50.,cot,hcpc_v1,0.5743,False,0.6336,False,-1.0,8.15,squad,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The context states that the National Football Conference (NFC) champion Carolina Panthers represented the NFC at Super Bowl 50.,cot,hcpc_v2,0.7996,False,0.6629,False,0.5818,4.57,squad,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California","The context states that Super Bowl 50 was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",cot,baseline,0.9942,False,0.6594,False,-1.0,2.0,squad,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California",Super Bowl 50 took place in the San Francisco Bay Area.,cot,hcpc_v1,0.7522,False,0.6198,False,-1.0,3.85,squad,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California","The context states that Super Bowl 50 was played at Levi's Stadium in Santa Clara, California. This information is provided in the last sentence of the second paragraph and confirmed again in the third paragraph. Therefore, the answer to the question ""Where did Super Bowl 50 take place?"" is Santa Clara, California.",cot,hcpc_v2,0.7861,False,0.6594,False,0.6125,6.21,squad,mistral
Which NFL team won Super Bowl 50?,Denver Broncos,"The question asks which NFL team won Super Bowl 50. According to the context provided, the Denver Broncos were the winners of Super Bowl 50 as they defeated the Carolina Panthers with a score of 24–10.",cot,baseline,0.8728,False,0.6974,False,-1.0,3.57,squad,mistral
