question,ground_truth,answer,template,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,model
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The American Football Conference (AFC) champion represented by the Denver Broncos at Super Bowl 50.,expert,baseline,0.7887,False,0.6748,False,-1.0,4.41,squad,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The American Football Conference (AFC) team that represented them at Super Bowl 50 was the Denver Broncos.,expert,hcpc_v1,0.7578,False,0.6368,False,-1.0,1.97,squad,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The American Football Conference (AFC) champion represented by the Denver Broncos at Super Bowl 50.,expert,hcpc_v2,0.7887,False,0.6748,False,1.0,4.72,squad,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The National Football Conference (NFC) champion represented by the Carolina Panthers at Super Bowl 50.,expert,baseline,0.7465,False,0.6841,False,-1.0,1.18,squad,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,"The context does not provide information about which NFL team represented the NFC at Super Bowl 50. To determine this, one would need additional information such as the match-up of the game or the final score.",expert,hcpc_v1,0.6679,False,0.6227,False,-1.0,2.49,squad,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The National Football Conference (NFC) champion represented by the Carolina Panthers at Super Bowl 50.,expert,hcpc_v2,0.7465,False,0.6841,False,1.0,4.54,squad,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California","Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",expert,baseline,0.9445,False,0.6562,False,-1.0,1.32,squad,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California","The context does not provide information about where Super Bowl 50 took place. However, it does mention that the game's logo featured the Arabic numerals 50, indicating that the event was indeed Super Bowl 50. To find out where this event took place, additional research would be required.",expert,hcpc_v1,0.707,False,0.5887,False,-1.0,3.56,squad,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California","Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",expert,hcpc_v2,0.9445,False,0.6562,False,1.0,4.85,squad,mistral
Which NFL team won Super Bowl 50?,Denver Broncos,The National Football League (NFL) team that won Super Bowl 50 was the Denver Broncos.,expert,baseline,0.7977,False,0.717,False,-1.0,1.18,squad,mistral
Which NFL team won Super Bowl 50?,Denver Broncos,"The context does not provide information about which NFL team won Super Bowl 50. Therefore, I cannot give a precise answer based on the provided evidence.",expert,hcpc_v1,0.5801,False,0.6572,False,-1.0,1.94,squad,mistral
Which NFL team won Super Bowl 50?,Denver Broncos,The National Football League (NFL) team that won Super Bowl 50 was the Denver Broncos.,expert,hcpc_v2,0.7977,False,0.717,False,1.0,4.53,squad,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The color used to emphasize the 50th anniversary of the Super Bowl was gold, as per the gold-themed initiatives taken by the league.",expert,baseline,0.7092,False,0.5074,False,-1.0,1.63,squad,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,The context indicates that gold was used to emphasize the 50th anniversary of the Super Bowl.,expert,hcpc_v1,0.7367,False,0.6888,False,-1.0,2.33,squad,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,The color used to emphasize the 50th anniversary of the Super Bowl was gold.,expert,hcpc_v2,0.7516,False,0.5074,False,1.0,4.54,squad,mistral
