dataset,model,template,condition,n_queries,faith,halluc,sim,refine_rate,ccs,latency
hotpotqa,mistral,concise,baseline,30,0.6239,0.2333,0.6462,0.0,,3.232
hotpotqa,mistral,concise,hcpc_v1,30,0.6631,0.1667,0.6697,0.0,,1.6063
hotpotqa,mistral,concise,hcpc_v2,30,0.6186,0.2667,0.6461,0.1,1.0,2.5953
hotpotqa,mistral,cot,baseline,30,0.641,0.1333,0.6099,0.0,,6.1917
hotpotqa,mistral,cot,hcpc_v1,30,0.6323,0.2,0.6286,0.0,,4.7393
hotpotqa,mistral,cot,hcpc_v2,30,0.6395,0.1667,0.6098,0.3667,0.4116,5.5163
hotpotqa,mistral,expert,baseline,30,0.6127,0.2667,0.6462,0.0,,4.9893
hotpotqa,mistral,expert,hcpc_v1,30,0.6158,0.2333,0.6697,0.0,,2.6777
hotpotqa,mistral,expert,hcpc_v2,30,0.6093,0.2333,0.6461,0.1,1.0,4.097
hotpotqa,mistral,strict,baseline,30,0.6034,0.2,0.552,0.0,,4.9817
hotpotqa,mistral,strict,hcpc_v1,30,0.6239,0.2333,0.5699,0.0,,2.944
hotpotqa,mistral,strict,hcpc_v2,30,0.6074,0.2333,0.5519,0.5667,0.3684,4.4017
pubmedqa,mistral,concise,baseline,30,0.5788,0.3333,0.7278,0.0,,5.8907
pubmedqa,mistral,concise,hcpc_v1,30,0.5622,0.4,0.7568,0.0,,1.6767
pubmedqa,mistral,concise,hcpc_v2,30,0.5854,0.3333,0.7276,0.1667,1.0,3.4373
pubmedqa,mistral,cot,baseline,30,0.5816,0.2,0.6531,0.0,,11.4013
pubmedqa,mistral,cot,hcpc_v1,30,0.5786,0.2667,0.6783,0.0,,7.083
pubmedqa,mistral,cot,hcpc_v2,30,0.5668,0.3,0.6526,0.7333,0.57,10.0607
pubmedqa,mistral,expert,baseline,30,0.5551,0.2,0.7278,0.0,,10.457
pubmedqa,mistral,expert,hcpc_v1,30,0.5527,0.2667,0.7568,0.0,,5.6213
pubmedqa,mistral,expert,hcpc_v2,30,0.5646,0.2667,0.7276,0.1667,1.0,7.8453
pubmedqa,mistral,strict,baseline,30,0.5943,0.2333,0.5166,0.0,,8.7183
pubmedqa,mistral,strict,hcpc_v1,30,0.545,0.3333,0.5471,0.0,,5.1087
pubmedqa,mistral,strict,hcpc_v2,30,0.5897,0.2,0.5168,0.9667,0.3091,8.019
squad,mistral,concise,baseline,30,0.6773,0.1,0.6343,0.0,,2.1077
squad,mistral,concise,hcpc_v1,30,0.7138,0.1333,0.6236,0.0,,1.2647
squad,mistral,concise,hcpc_v2,30,0.6899,0.1,0.6342,0.1667,1.0,3.5187
squad,mistral,cot,baseline,30,0.7947,0.0333,0.6154,0.0,,4.1157
squad,mistral,cot,hcpc_v1,30,0.7837,0.0,0.6172,0.0,,4.2277
squad,mistral,cot,hcpc_v2,30,0.8082,0.0,0.6152,0.3333,0.5551,5.312
squad,mistral,expert,baseline,30,0.7725,0.0333,0.6343,0.0,,3.2163
squad,mistral,expert,hcpc_v1,30,0.7184,0.0,0.6236,0.0,,2.9503
squad,mistral,expert,hcpc_v2,30,0.789,0.0,0.6342,0.1667,1.0,4.6347
squad,mistral,strict,baseline,30,0.7916,0.0333,0.5877,0.0,,3.1353
squad,mistral,strict,hcpc_v1,30,0.7082,0.1333,0.6008,0.0,,2.482
squad,mistral,strict,hcpc_v2,30,0.804,0.0,0.5879,0.5333,0.5425,3.783
