condition,question,ground_truth,answer,faithfulness_score,is_hallucination,retrieval_latency_ms,generation_latency_ms,total_latency_ms,indexing_cost_note,dataset,model,base_index_s,raptor_index_s
hcpc_v2,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,0.8579,False,186.165,1624.782,1810.946,,squad,mistral,8.01,175.354
crag,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,0.7354,False,54.163,1033.904,1088.067,,squad,mistral,8.01,175.354
raptor_2l,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,0.7354,False,9.198,1430.238,1439.436,,squad,mistral,8.01,175.354
hcpc_v2,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The Carolina Panthers represented the NFC at Super Bowl 50.,0.813,False,55.972,862.978,918.95,,squad,mistral,8.01,175.354
crag,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,0.8891,False,38.806,1104.103,1142.909,,squad,mistral,8.01,175.354
raptor_2l,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,0.8891,False,8.199,1669.929,1678.128,,squad,mistral,8.01,175.354
hcpc_v2,Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",0.9533,False,37.369,1075.856,1113.225,,squad,mistral,8.01,175.354
crag,Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",0.9533,False,48.011,1194.438,1242.449,,squad,mistral,8.01,175.354
raptor_2l,Where did Super Bowl 50 take place?,"Santa Clara, California"," Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",0.9516,False,7.456,1610.104,1617.56,,squad,mistral,8.01,175.354
hcpc_v2,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,33.619,793.704,827.323,,squad,mistral,8.01,175.354
crag,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,47.571,832.892,880.463,,squad,mistral,8.01,175.354
raptor_2l,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,7.261,1308.873,1316.133,,squad,mistral,8.01,175.354
hcpc_v2,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,54.868,322.842,377.71,,squad,mistral,8.01,175.354
crag,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,39.774,337.114,376.889,,squad,mistral,8.01,175.354
raptor_2l,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,8.445,891.936,900.381,,squad,mistral,8.01,175.354
hcpc_v2,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention any specific theme for Super Bowl 50 other than it emphasizing the ""golden anniversary"" with various gold-themed initiatives.",0.7738,False,53.969,1625.695,1679.663,,squad,mistral,8.01,175.354
