logical_relative_path,snapshot_count,distinct_hashes,versions
controlledrag_reporting_checklist.md,3,1,cleanup_prior_reviewer_snapshot:f8e595287e8a:3016:cleanup_20260506_final_code_artifact_cleanup/prior_reviewer_artifact_snapshot/controlledrag_reporting_checklist.md;cleanup_nested_reviewer_artifact:f8e595287e8a:3016:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/submission_package/neurips2026_reviewer_artifact_anonymous/controlledrag_reporting_checklist.md;submitted_git_worktree:f8e595287e8a:3016:rag-hallucination-detection_main/controlledrag_reporting_checklist.md
data/adversarial/README.md,4,1,cleanup_prior_reviewer_snapshot:30d041d1f70d:2564:cleanup_20260506_final_code_artifact_cleanup/prior_reviewer_artifact_snapshot/data/adversarial/README.md;cleanup_root_before:30d041d1f70d:2564:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/adversarial/README.md;cleanup_nested_reviewer_artifact:30d041d1f70d:2564:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/submission_package/neurips2026_reviewer_artifact_anonymous/data/adversarial/README.md;submitted_git_worktree:30d041d1f70d:2564:rag-hallucination-detection_main/data/adversarial/README.md
data/adversarial/_rejected.jsonl,4,1,cleanup_prior_reviewer_snapshot:fb51eb203d27:29947:cleanup_20260506_final_code_artifact_cleanup/prior_reviewer_artifact_snapshot/data/adversarial/_rejected.jsonl;cleanup_root_before:fb51eb203d27:29947:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/adversarial/_rejected.jsonl;cleanup_nested_reviewer_artifact:fb51eb203d27:29947:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/submission_package/neurips2026_reviewer_artifact_anonymous/data/adversarial/_rejected.jsonl;submitted_git_worktree:fb51eb203d27:29947:rag-hallucination-detection_main/data/adversarial/_rejected.jsonl
data/adversarial/contradict.jsonl,4,1,cleanup_prior_reviewer_snapshot:a8119d9f27f9:16366:cleanup_20260506_final_code_artifact_cleanup/prior_reviewer_artifact_snapshot/data/adversarial/contradict.jsonl;cleanup_root_before:a8119d9f27f9:16366:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/adversarial/contradict.jsonl;cleanup_nested_reviewer_artifact:a8119d9f27f9:16366:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/submission_package/neurips2026_reviewer_artifact_anonymous/data/adversarial/contradict.jsonl;submitted_git_worktree:a8119d9f27f9:16366:rag-hallucination-detection_main/data/adversarial/contradict.jsonl
data/adversarial/control.jsonl,4,1,cleanup_prior_reviewer_snapshot:deeb0dc7092e:35782:cleanup_20260506_final_code_artifact_cleanup/prior_reviewer_artifact_snapshot/data/adversarial/control.jsonl;cleanup_root_before:deeb0dc7092e:35782:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/adversarial/control.jsonl;cleanup_nested_reviewer_artifact:deeb0dc7092e:35782:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/submission_package/neurips2026_reviewer_artifact_anonymous/data/adversarial/control.jsonl;submitted_git_worktree:deeb0dc7092e:35782:rag-hallucination-detection_main/data/adversarial/control.jsonl
data/adversarial/disjoint.jsonl,4,1,cleanup_prior_reviewer_snapshot:abdf94e13c8c:45355:cleanup_20260506_final_code_artifact_cleanup/prior_reviewer_artifact_snapshot/data/adversarial/disjoint.jsonl;cleanup_root_before:abdf94e13c8c:45355:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/adversarial/disjoint.jsonl;cleanup_nested_reviewer_artifact:abdf94e13c8c:45355:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/submission_package/neurips2026_reviewer_artifact_anonymous/data/adversarial/disjoint.jsonl;submitted_git_worktree:abdf94e13c8c:45355:rag-hallucination-detection_main/data/adversarial/disjoint.jsonl
data/adversarial/drift.jsonl,4,1,cleanup_prior_reviewer_snapshot:c1f3c64e333b:57006:cleanup_20260506_final_code_artifact_cleanup/prior_reviewer_artifact_snapshot/data/adversarial/drift.jsonl;cleanup_root_before:c1f3c64e333b:57006:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/adversarial/drift.jsonl;cleanup_nested_reviewer_artifact:c1f3c64e333b:57006:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/submission_package/neurips2026_reviewer_artifact_anonymous/data/adversarial/drift.jsonl;submitted_git_worktree:c1f3c64e333b:57006:rag-hallucination-detection_main/data/adversarial/drift.jsonl
data/benchmark/README.md,4,1,cleanup_prior_reviewer_snapshot:871e88a71153:2430:cleanup_20260506_final_code_artifact_cleanup/prior_reviewer_artifact_snapshot/data/benchmark/README.md;cleanup_root_before:871e88a71153:2430:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/benchmark/README.md;cleanup_nested_reviewer_artifact:871e88a71153:2430:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/submission_package/neurips2026_reviewer_artifact_anonymous/data/benchmark/README.md;submitted_git_worktree:871e88a71153:2430:rag-hallucination-detection_main/data/benchmark/README.md
data/revision/fix_06/per_query_compact.csv,4,1,cleanup_prior_reviewer_snapshot:21f9d0c97c80:60148:cleanup_20260506_final_code_artifact_cleanup/prior_reviewer_artifact_snapshot/data/revision/fix_06/per_query_compact.csv;cleanup_root_before:21f9d0c97c80:60148:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/revision/fix_06/per_query_compact.csv;cleanup_nested_reviewer_artifact:21f9d0c97c80:60148:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/submission_package/neurips2026_reviewer_artifact_anonymous/data/revision/fix_06/per_query_compact.csv;submitted_git_worktree:21f9d0c97c80:60148:rag-hallucination-detection_main/data/revision/fix_06/per_query_compact.csv
experiments/analyze_human_eval.py,4,1,cleanup_prior_reviewer_snapshot:572ce40b888d:4961:cleanup_20260506_final_code_artifact_cleanup/prior_reviewer_artifact_snapshot/experiments/analyze_human_eval.py;cleanup_root_before:572ce40b888d:4961:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/experiments/analyze_human_eval.py;cleanup_nested_reviewer_artifact:572ce40b888d:4961:cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/submission_package/neurips2026_reviewer_artifact_anonymous/experiments/analyze_human_eval.py;submitted_git_worktree:572ce40b888d:4961:rag-hallucination-detection_main/experiments/analyze_human_eval.py
