review_concern,status,primary_evidence_paths,evidence_summary,validation_required,compute_estimate,rebuttal_or_revision
Narrow empirical scope and generalizability,partially answered,"rag-hallucination-detection_main/results/revision/fix_13/retriever_sanity_report.md;rag-hallucination-detection_main/results/revision/fix_14/second_generator_report.md;rag-hallucination-detection_main/results/revision/fix_15/longform_stress_report.md","Bounded retriever, Qwen2.5, and 40-question long-form probes","Verify per-query inputs and preserve exploratory labels","2–6 CPU-hours; broader replication 8–24 GPU-hours",both
Dependence on short-answer or single-hop QA,partially answered,"rag-hallucination-detection_main/results/revision/fix_15/longform_stress_report.md;rag-hallucination-detection_main/results/revision/fix_06/summary.md","Long-form n=40 and HotpotQA cost cells do not constitute powered multi-hop validation","Trace long-form rows and separate cost from faithfulness evidence","2–4 CPU-hours; new experiment 12–36 GPU-hours",both
Newer LLM judges or task-specific evaluators,unanswered experimentally,"rag-hallucination-detection_main/controlledrag_reporting_checklist.md;rag-hallucination-detection_main/Controlled_RAG___Saket/supplement.tex","Recent frameworks are discussed but frozen results use two legacy proxies and one local Mistral judge","Record exact judge version, prompt, input format, temperature, retries, and cost","4–12 GPU/API-hours",both
Uneven seven-axis evidence,partially answered,rag-hallucination-detection_main/controlledrag_reporting_checklist.md,"All axes are disclosed but sample sizes and evidence strength differ materially","Build cell-level n/dataset/model/uncertainty/hash matrix","4–8 CPU-hours",both
Practitioner guidance under disagreement,partially answered,"rag-hallucination-detection_main/controlledrag_reporting_checklist.md;rag-hallucination-detection_main/human_eval_final/","Disclosure guidance exists; no validated universal decision policy exists","Derive conservative decision table without selecting a universal scorer","3–6 CPU-hours",both
Dense or unclear metric descriptions,partially answered,"rag-hallucination-detection_main/scripts/analyze_human_disagreement_labels.py;audit/LOGICAL_SNAPSHOT_CONFLICTS.csv","AUPRC implementation changed and materially changes RAGAS-style AUPRC","Use submitted average_precision_score convention and recompute displayed values","2–4 CPU-hours",both
Justification for seven axes,partially answered,rag-hallucination-detection_main/Controlled_RAG___Saket/sections/controlledrag_main.tex,"Paper gives a reasonable-substitution criterion but not empirical uniqueness","Map each axis to an observed claim/ranking/cost change","2–4 CPU-hours",both
Dataset and experiment descriptions,partially answered,"rag-hallucination-detection_main/README_REPRODUCE.md;rag-hallucination-detection_main/SOURCE_TRACE.md;rag-hallucination-detection_main/CLAIMS_AUDIT.md","Reviewer path exists but several summaries lack shipped full inputs","Create claim-to-cell ledger with split/n/seed/generation-vs-import status","4–8 CPU-hours",both
Codebase navigation,partially answered,"rag-hallucination-detection_main/artifact_manifest.md;audit/TECHNICAL_HEALTH_REPORT.md","Submitted folder is documented but four optional scripts have syntax errors and full remnants are noncanonical","Keep baseline immutable and repair on a separate branch","1–3 engineer-days CPU",revision
Conflicting-evidence experiments,largely unanswered,"rag-hallucination-detection_main/data/adversarial/contradict.jsonl;rag-hallucination-detection_main/data/adversarial/README.md","Hand-authored contradiction seeds exist; no completed conflicting-context result folder exists","Do not conflate scorer disagreement with contradictory retrieved evidence","8–16 GPU-hours",both
Scorer input format and human calibration,partially answered with strong bounded evidence,"rag-hallucination-detection_main/Controlled_RAG___Saket/supplement.tex;rag-hallucination-detection_main/human_eval_final/n99_calibration/;rag-hallucination-detection_main/human_eval_final/n100_disagreement/","Input formats are disclosed and two human slices reproduce; rankings are slice-specific","Keep random and targeted slices separate; add paired uncertainty","3–8 CPU/GPU-hours",both
Annotation provenance and wording,partially answered,"rag-hallucination-detection_main/human_eval_final/n99_calibration/;rag-hallucination-detection_main/human_eval_final/n100_disagreement/","n=99 uses supported/partial/unsupported; n=100 uses faithful/hallucinated/unclear","Verify IDs, sampling, adjudication, missingness, and label crosswalk","2–4 CPU-hours",both
Prompt injection and publication safety,ingest addressed,"audit/PUBLICATION_SAFETY_AUDIT.md;audit/SECRET_SCAN_SUMMARY.md","No credential found; identity/private files excluded; judge prompt remains a scientific injection surface","Manual license/anonymity review and staged scan","1–3 researcher-hours",both
Per-query files and source trace,partially answered and load-bearing,"rag-hallucination-detection_main/SOURCE_TRACE.md;cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/revision/","Submitted artifact ships one compact per-query file; cleanup preserves 127 matching paths","Recompute every headline summary from provenance-matched full rows","4–12 CPU-hours",both
