source_folder,relative_path,size_bytes,sha256,asset_class,proposed_action,reason
deleted_from_head,src/__pycache__/__init__.cpython-311.pyc,172,216b857ec8ea6da3d1d67e8a809b40dfeec43e16ebc35bfe7b6c402939f0c4a3,cache,exclude,generated cache or local environment
deleted_from_head,src/__pycache__/ablation.cpython-311.pyc,7302,e5d4824a86f6e504a9c5f0475114a1ee0351a1aea65acb31f7dce11f8069ee6e,cache,exclude,generated cache or local environment
deleted_from_head,src/__pycache__/data_loader.cpython-311.pyc,2456,e471f0b3f2a75a034f3c92369bd590704ccd213927cae024a5cbf2dec1b6aa2a,cache,exclude,generated cache or local environment
deleted_from_head,src/__pycache__/evaluator.cpython-311.pyc,5945,1d64df0ec0005c641b621b3e48e7535d76eca22a7b4d4f5804227536890e772b,cache,exclude,generated cache or local environment
deleted_from_head,src/__pycache__/hallucination_detector.cpython-311.pyc,5116,575ae773de9f724327305a81f2670c9c6b8245977fca352ea5506aaa77d9769b,cache,exclude,generated cache or local environment
deleted_from_head,src/__pycache__/rag_pipeline.cpython-311.pyc,6400,275d7f1dee4eab1cd2eee8df19d5cefbc9bd44f8521f5b00cfe6de1cdf2ac31c,cache,exclude,generated cache or local environment
moved_from_repo,chroma_db/.DS_Store,14340,5d0fca8a9372a614059db5dc0b7c688423d175a89389a4c79234cc9de90f8168,cache,exclude,operating-system metadata
moved_from_repo,chroma_db/073d268e-e62e-4ff1-ac32-10d3864c08d8/data_level0.bin,167600,13ecc2d9496313da2f996cf734aac7e0d42ef4abc9b7674c9055f552e12d346d,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/073d268e-e62e-4ff1-ac32-10d3864c08d8/header.bin,100,a0e81c3b22454233bc12d0762f06dcca48261a75231cf87c79b75e69a6c00150,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/073d268e-e62e-4ff1-ac32-10d3864c08d8/length.bin,400,7a12e561363385e9dfeeab326368731c030ed4b374e7f5897ac819159d2884c5,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/073d268e-e62e-4ff1-ac32-10d3864c08d8/link_lists.bin,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/0c9b0d42-ee9c-4a93-8201-3e2cdba0c056/data_level0.bin,167600,ea9ac6972cb4666769a17755f17c5727f676f11a742e9553bf3a21119ab54394,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/0c9b0d42-ee9c-4a93-8201-3e2cdba0c056/header.bin,100,a0e81c3b22454233bc12d0762f06dcca48261a75231cf87c79b75e69a6c00150,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/0c9b0d42-ee9c-4a93-8201-3e2cdba0c056/length.bin,400,7a12e561363385e9dfeeab326368731c030ed4b374e7f5897ac819159d2884c5,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/0c9b0d42-ee9c-4a93-8201-3e2cdba0c056/link_lists.bin,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/506c2fe5-a79e-4c05-8bce-c8996ee20cab/data_level0.bin,167600,c25f19de4faeb321dfe25c73647b182f4128c93e45adbe8f5829193cf9c70bfd,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/506c2fe5-a79e-4c05-8bce-c8996ee20cab/header.bin,100,a0e81c3b22454233bc12d0762f06dcca48261a75231cf87c79b75e69a6c00150,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/506c2fe5-a79e-4c05-8bce-c8996ee20cab/length.bin,400,7a12e561363385e9dfeeab326368731c030ed4b374e7f5897ac819159d2884c5,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/506c2fe5-a79e-4c05-8bce-c8996ee20cab/link_lists.bin,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/65d9d432-8088-4961-8b15-9b246ec79aa8/data_level0.bin,167600,93d082e884a01bddfaaa83f89ba9c95836a8d612f83b58fcfa54b6820bb61bbb,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/65d9d432-8088-4961-8b15-9b246ec79aa8/header.bin,100,a0e81c3b22454233bc12d0762f06dcca48261a75231cf87c79b75e69a6c00150,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/65d9d432-8088-4961-8b15-9b246ec79aa8/length.bin,400,7a12e561363385e9dfeeab326368731c030ed4b374e7f5897ac819159d2884c5,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/65d9d432-8088-4961-8b15-9b246ec79aa8/link_lists.bin,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/6efcfac1-c013-4660-b6f4-5b81c534be04/data_level0.bin,167600,ea9ac6972cb4666769a17755f17c5727f676f11a742e9553bf3a21119ab54394,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/6efcfac1-c013-4660-b6f4-5b81c534be04/header.bin,100,a0e81c3b22454233bc12d0762f06dcca48261a75231cf87c79b75e69a6c00150,cache,exclude,generated vector/database cache; reconstruct rather than publish
