question,answer,faithfulness_score,is_hallucination,latency_s,chunk_size,top_k,prompt_strategy
Which NFL team represented the AFC at Super Bowl 50?," The Denver Broncos, as stated in the context: ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title""",0.9297,False,3.42,256,5,strict
Which NFL team represented the NFC at Super Bowl 50?," The context does not provide the name of the NFL team that represented the NFC at Super Bowl 50. However, it is mentioned that they defeated the Arizona Cardinals in the NFC Championship Game and advanced to Super Bowl 50. So, we can infer that the team that defeated the Arizona Cardinals was the o",0.7336,False,7.56,256,5,strict
Where did Super Bowl 50 take place?," The provided context does not specify the exact location of Super Bowl 50, but it states that it was the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985. Therefore, it can be inferred that Super Bowl 50 took place in the San Francisco Bay Area. However, without furt",0.5792,False,8.91,256,5,strict
Which NFL team won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.9247,False,3.05,256,5,strict
What color was used to emphasize the 50th anniversary of the Super Bowl?," The context does not specify the exact color used to emphasize the 50th anniversary of the Super Bowl, but it mentions that the logo could prominently feature Arabic numerals 50.",0.5911,False,4.99,256,5,strict
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives for Super Bowl 50. So, one can infer that the theme could be related to gold or golden anniversary.",0.7154,False,6.82,256,5,strict
What day was the game played on?," The game was played on February 7, 2016.",0.8967,False,3.05,256,5,strict
What is the AFC short for?," The context does not provide information about what AFC stands for. However, it refers to the American Football Conference.",0.654,False,3.53,256,5,strict
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" for Super Bowl 50 with various gold-themed initiatives. So, one can infer that the theme could be related to gold or golden anniversary.",0.749,False,6.89,256,5,strict
What does AFC stand for?," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",0.697,False,4.75,256,5,strict
What day was the Super Bowl played on?," I cannot find this information in the provided context. The context only mentions that the Super Bowl Opening Night was held on February 1, 2016, but it does not specify the date of the actual game itself.",0.7476,False,5.76,256,5,strict
Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.9247,False,2.79,256,5,strict
What venue did Super Bowl 50 take place in?, I cannot find this information in the provided context. The context does not specify the venue for Super Bowl 50.,0.6866,False,4.02,256,5,strict
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,True,3.22,256,5,strict
"If Roman numerals were used, what would Super Bowl 50 have been called?", Super Bowl L,0.4909,True,2.44,256,5,strict
Super Bowl 50 decided the NFL champion for what season?, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,False,3.23,256,5,strict
What year did the Denver Broncos secure a Super Bowl title for the third time?," The context does not provide the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it can be inferred that it happened after their appearance in Super Bowl XLVIII (which was in 2014) and before the provided context, suggesting it might have been in 2015. However,",0.5783,False,9.35,256,5,strict
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,True,3.14,256,5,strict
What stadium did Super Bowl 50 take place in?," Levi's Stadium, which is located in the San Francisco Bay Area.",0.7354,False,3.43,256,5,strict
What was the final score of Super Bowl 50? ," The context does not provide the final score of Super Bowl 50. However, it mentions that the Broncos won Super Bowl 50 and gives some details about their victories in the divisional round and AFC Championship Game, but no specific score for Super Bowl 50 is given.",0.607,False,6.28,256,5,strict
"What month, day and year did Super Bowl 50 take place? "," The Super Bowl 50 took place on February 1, 2016.",0.9364,False,3.9,256,5,strict
What year was Super Bowl 50?," The year Super Bowl 50 took place is not explicitly stated in the provided context. However, since it was the 50th Super Bowl and the first one held in the San Francisco Bay Area since Super Bowl XIX in 1985, we can infer that Super Bowl 50 occurred after 1985. To find the exact year, you would nee",0.5623,False,8.36,256,5,strict
What team was the AFC champion?, The AFC champion was the Denver Broncos.,0.7995,False,3.64,256,5,strict
What team was the NFC champion?, The NFC champion was the Carolina Panthers.,0.806,False,2.93,256,5,strict
Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.9247,False,2.59,256,5,strict
Super Bowl 50 determined the NFL champion for what season?, The Super Bowl 50 determined the NFL champion for the 2015 season.,0.6757,False,3.22,256,5,strict
Which team won Super Bowl 50.," The context does not provide information about which team won Super Bowl 50. However, it is mentioned that the Denver Broncos made an appearance in Super Bowl 50.",0.7691,False,4.63,256,5,strict
Where was Super Bowl 50 held?," The provided context states that Super Bowl 50 was held in the San Francisco Bay Area. However, it does not specify the exact location within the Bay Area or the venue where it took place.",0.8647,False,5.33,256,5,strict
The name of the NFL championship game is?," The name of the NFL championship game, as mentioned in the context, is Super Bowl 50.",0.6863,False,4.16,256,5,strict
What 2015 NFL team one the AFC playoff?, The 2015 NFL team that won the AFC playoffs is the Denver Broncos.,0.876,False,3.97,256,5,strict
