question,answer,faithfulness_score,is_hallucination,latency_s,chunk_size,top_k,prompt_strategy
Which NFL team represented the AFC at Super Bowl 50?," The context does not provide information about which NFL team represented the AFC at Super Bowl 50. However, we know from another piece of information that the Pittsburgh Steelers were the AFC champion team in a previous Super Bowl (Super Bowl XL), but it doesn't specify if they were the AFC repres",0.6173,False,4.1,256,3,strict
Which NFL team represented the NFC at Super Bowl 50?, I cannot find this information in the provided context. The context does not specify which NFL team represented the NFC at Super Bowl 50.,0.6785,False,1.98,256,3,strict
Where did Super Bowl 50 take place?," I cannot find this information in the provided context. The context only mentions that San Francisco Bay Area last hosted a Super Bowl in 1985 (Super Bowl XIX), but it does not specify where Super Bowl 50 took place.",0.6055,False,3.04,256,3,strict
Which NFL team won Super Bowl 50?," I cannot find this information in the provided context. The context only mentions that the team made eight appearances in the Super Bowl, but it does not specify which team won Super Bowl 50.",0.5329,False,2.49,256,3,strict
What color was used to emphasize the 50th anniversary of the Super Bowl?," The context does not specify the exact color that was used to emphasize the 50th anniversary of the Super Bowl. However, it mentions various gold-themed initiatives, suggesting that gold might have been the color used for this purpose.",0.8538,False,3.36,256,3,strict
What was the theme of Super Bowl 50?," I cannot find this information in the provided context. The context only discusses why Super Bowl 50 was named as such, not its theme.",0.4788,True,2.02,256,3,strict
What day was the game played on?," The game was played on February 7, 2016.",0.8967,False,1.74,256,3,strict
What is the AFC short for?," The context does not provide information about what AFC stands for. However, it refers to the American Football Conference.",0.654,False,2.09,256,3,strict
What was the theme of Super Bowl 50?," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 was used instead of Super Bowl L, and why it was chosen to do so. It does not provide any details about the theme of Super Bowl 50.",0.5912,False,3.08,256,3,strict
What does AFC stand for?," The context does not provide information about what AFC stands for. However, in American football, AFC typically stands for the American Football Conference.",0.6381,False,2.52,256,3,strict
What day was the Super Bowl played on?," I cannot find this information in the provided context. The context only mentions that the Super Bowl Opening Night was held on February 1, 2016, but it does not specify the date of the actual game itself.",0.7476,False,3.33,256,3,strict
Who won Super Bowl 50?," I cannot find this information in the provided context. The context only states that Super Bowl 50 was the game to determine the champion for the 2015 NFL season, but it does not specify who the winner was.",0.6712,False,2.95,256,3,strict
What venue did Super Bowl 50 take place in?, I cannot find this information in the provided context. The context does not specify where Super Bowl 50 took place.,0.7051,False,2.38,256,3,strict
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,True,1.36,256,3,strict
"If Roman numerals were used, what would Super Bowl 50 have been called?"," Super Bowl 50 would have been called ""Super Bowl L"" if Roman numerals had been used.",0.5494,False,2.07,256,3,strict
Super Bowl 50 decided the NFL champion for what season?, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,False,1.99,256,3,strict
What year did the Denver Broncos secure a Super Bowl title for the third time?," I cannot find the exact year in the provided context. However, it is implied that the event occurred after Super Bowl XLIX (2014-2015 season) and before their third Super Bowl win, as they defeated the New England Patriots to deny them a chance to defend their title from Super Bowl XLIX. Therefore,",0.7044,False,6.4,256,3,strict
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,True,1.54,256,3,strict
What stadium did Super Bowl 50 take place in?," I cannot find this information in the provided context. The context only mentions that the San Francisco Bay Area last hosted Super Bowl XIX in 1985, but it does not specify where Super Bowl 50 took place.",0.6391,False,3.45,256,3,strict
What was the final score of Super Bowl 50? ," I cannot find this information in the provided context. The context only mentions that the Broncos won Super Bowl 50, but not the exact score.",0.7185,False,2.91,256,3,strict
"What month, day and year did Super Bowl 50 take place? "," The Super Bowl 50 took place on February 1, 2016.",0.9364,False,2.37,256,3,strict
What year was Super Bowl 50?," I cannot find this information in the provided context. The context only states that Super Bowl 50 was for the 2015 season, but it does not provide the specific year. However, since Super Bowl XLV (which is Roman numeral for 45) occurred in 2011, and Super Bowl 50 happened five years later, we can ",0.7187,False,6.56,256,3,strict
What team was the AFC champion?, The AFC champion was the Denver Broncos.,0.7995,False,2.11,256,3,strict
What team was the NFC champion?," The NFC champion, as mentioned in the provided context, is the Carolina Panthers.",0.9576,False,2.19,256,3,strict
Who won Super Bowl 50?," I cannot find this information in the provided context. The context only states that Super Bowl 50 was the game to determine the champion for the 2015 NFL season, but it does not specify who the winner was.",0.6712,False,3.59,256,3,strict
Super Bowl 50 determined the NFL champion for what season?, The Super Bowl 50 determined the NFL champion for the 2015 season.,0.6757,False,2.28,256,3,strict
Which team won Super Bowl 50.," I cannot find this information in the provided context. The context only mentions that the team made eight appearances in the Super Bowl, but it does not specify which of those appearances resulted in a win at Super Bowl 50.",0.5534,False,3.83,256,3,strict
Where was Super Bowl 50 held?," The provided context does not specify the exact location where Super Bowl 50 was held, but it states that it was the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985. Therefore, it can be inferred that Super Bowl 50 might have been held in the same area as Super Bowl",0.6879,False,7.85,256,3,strict
The name of the NFL championship game is?, Super Bowl 50,0.6293,False,1.92,256,3,strict
What 2015 NFL team one the AFC playoff?," The context does not specify which team won the AFC playoffs in 2015, but it does state that the Denver Broncos were the AFC champion for Super Bowl 50. Therefore, we can infer that the Denver Broncos likely won the AFC playoffs to reach Super Bowl 50.",0.6631,False,5.77,256,3,strict
