dataset,query_volume,time_penalty_faithfulness_per_second,system,faithfulness,amortized_time_s,utility,best_at_setting
hotpotqa,200,0.000000000,crag,0.642749000,1.980482405,0.642749000,True
hotpotqa,200,0.000000000,hcpc_v2,0.633429000,2.328772970,0.633429000,False
hotpotqa,200,0.000000000,raptor_2l,0.630826000,3.083647220,0.630826000,False
hotpotqa,200,0.010000000,crag,0.642749000,1.980482405,0.622944176,True
hotpotqa,200,0.010000000,hcpc_v2,0.633429000,2.328772970,0.610141270,False
hotpotqa,200,0.010000000,raptor_2l,0.630826000,3.083647220,0.599989528,False
hotpotqa,200,0.025000000,crag,0.642749000,1.980482405,0.593236940,True
hotpotqa,200,0.025000000,hcpc_v2,0.633429000,2.328772970,0.575209676,False
hotpotqa,200,0.025000000,raptor_2l,0.630826000,3.083647220,0.553734820,False
hotpotqa,200,0.050000000,crag,0.642749000,1.980482405,0.543724880,True
hotpotqa,200,0.050000000,hcpc_v2,0.633429000,2.328772970,0.516990352,False
hotpotqa,200,0.050000000,raptor_2l,0.630826000,3.083647220,0.476643639,False
hotpotqa,1000,0.000000000,crag,0.642749000,1.948614405,0.642749000,True
hotpotqa,1000,0.000000000,hcpc_v2,0.633429000,2.296904970,0.633429000,False
hotpotqa,1000,0.000000000,raptor_2l,0.630826000,2.547595220,0.630826000,False
hotpotqa,1000,0.010000000,crag,0.642749000,1.948614405,0.623262856,True
hotpotqa,1000,0.010000000,hcpc_v2,0.633429000,2.296904970,0.610459950,False
hotpotqa,1000,0.010000000,raptor_2l,0.630826000,2.547595220,0.605350048,False
hotpotqa,1000,0.025000000,crag,0.642749000,1.948614405,0.594033640,True
hotpotqa,1000,0.025000000,hcpc_v2,0.633429000,2.296904970,0.576006376,False
hotpotqa,1000,0.025000000,raptor_2l,0.630826000,2.547595220,0.567136119,False
hotpotqa,1000,0.050000000,crag,0.642749000,1.948614405,0.545318280,True
hotpotqa,1000,0.050000000,hcpc_v2,0.633429000,2.296904970,0.518583752,False
hotpotqa,1000,0.050000000,raptor_2l,0.630826000,2.547595220,0.503446239,False
hotpotqa,10000,0.000000000,crag,0.642749000,1.941444105,0.642749000,True
hotpotqa,10000,0.000000000,hcpc_v2,0.633429000,2.289734670,0.633429000,False
hotpotqa,10000,0.000000000,raptor_2l,0.630826000,2.426983520,0.630826000,False
hotpotqa,10000,0.010000000,crag,0.642749000,1.941444105,0.623334559,True
hotpotqa,10000,0.010000000,hcpc_v2,0.633429000,2.289734670,0.610531653,False
hotpotqa,10000,0.010000000,raptor_2l,0.630826000,2.426983520,0.606556165,False
hotpotqa,10000,0.025000000,crag,0.642749000,1.941444105,0.594212897,True
hotpotqa,10000,0.025000000,hcpc_v2,0.633429000,2.289734670,0.576185633,False
hotpotqa,10000,0.025000000,raptor_2l,0.630826000,2.426983520,0.570151412,False
hotpotqa,10000,0.050000000,crag,0.642749000,1.941444105,0.545676795,True
hotpotqa,10000,0.050000000,hcpc_v2,0.633429000,2.289734670,0.518942266,False
hotpotqa,10000,0.050000000,raptor_2l,0.630826000,2.426983520,0.509476824,False
squad,200,0.000000000,crag,0.698205000,1.480537780,0.698205000,False
squad,200,0.000000000,hcpc_v2,0.708378000,1.759990060,0.708378000,False
squad,200,0.000000000,raptor_2l,0.710022000,2.590474485,0.710022000,True
squad,200,0.010000000,crag,0.698205000,1.480537780,0.683399622,False
squad,200,0.010000000,hcpc_v2,0.708378000,1.759990060,0.690778099,True
squad,200,0.010000000,raptor_2l,0.710022000,2.590474485,0.684117255,False
squad,200,0.025000000,crag,0.698205000,1.480537780,0.661191555,False
squad,200,0.025000000,hcpc_v2,0.708378000,1.759990060,0.664378248,True
squad,200,0.025000000,raptor_2l,0.710022000,2.590474485,0.645260138,False
squad,200,0.050000000,crag,0.698205000,1.480537780,0.624178111,True
squad,200,0.050000000,hcpc_v2,0.708378000,1.759990060,0.620378497,False
squad,200,0.050000000,raptor_2l,0.710022000,2.590474485,0.580498276,False
squad,1000,0.000000000,crag,0.698205000,1.448497780,0.698205000,False
squad,1000,0.000000000,hcpc_v2,0.708378000,1.727950060,0.708378000,False
squad,1000,0.000000000,raptor_2l,0.710022000,1.889058485,0.710022000,True
squad,1000,0.010000000,crag,0.698205000,1.448497780,0.683720022,False
squad,1000,0.010000000,hcpc_v2,0.708378000,1.727950060,0.691098499,False
squad,1000,0.010000000,raptor_2l,0.710022000,1.889058485,0.691131415,True
squad,1000,0.025000000,crag,0.698205000,1.448497780,0.661992555,False
squad,1000,0.025000000,hcpc_v2,0.708378000,1.727950060,0.665179248,True
squad,1000,0.025000000,raptor_2l,0.710022000,1.889058485,0.662795538,False
squad,1000,0.050000000,crag,0.698205000,1.448497780,0.625780111,True
squad,1000,0.050000000,hcpc_v2,0.708378000,1.727950060,0.621980497,False
squad,1000,0.050000000,raptor_2l,0.710022000,1.889058485,0.615569076,False
squad,10000,0.000000000,crag,0.698205000,1.441288780,0.698205000,False
squad,10000,0.000000000,hcpc_v2,0.708378000,1.720741060,0.708378000,False
