input_id,project_relative_path,sha256,bytes,access,provenance_status
n99_adjudicated,rag-hallucination-detection_main/human_eval_final/n99_calibration/human_eval_adjudicated.csv,872b89ca3896769e82c8addc819b2d11c869458927ecb4f816dbda4b0317b4f4,165619,read_only,provenance_safe_fixed_output
n99_submitted_correlations,rag-hallucination-detection_main/human_eval_final/n99_calibration/human_eval_correlations.csv,d7a894f84ef620297d53030c5c373432c50bdfdcb52e4743d766c8106e75bb25,236,read_only,provenance_safe_fixed_output
n99_submitted_bootstrap,rag-hallucination-detection_main/human_eval_final/n99_calibration/bootstrap_correlation_cis.csv,2454083c0148ffef1e14fc1fb83485e0d9fb4ff3974a116c940371b09cf9e7b8,1597,read_only,provenance_safe_fixed_output
n99_recovered_scores,cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/revision/fix_03/human_eval_template.jsonl,d1d94fa4257d42d0409b6ea8ec344ff09f8146ba33425347771070f0cecbb574,178627,read_only,provenance_safe_fixed_output
n100_adjudicated,rag-hallucination-detection_main/human_eval_final/n100_disagreement/annotation_batch_disagreement_100.csv,83ac395bdce120c3b8def310e410191fb2969942d6796dd57dc48dd3dc5643b8,171192,read_only,provenance_safe_fixed_output
n100_submitted_correlations,rag-hallucination-detection_main/human_eval_final/n100_disagreement/human_disagreement_correlations.csv,81483a9a8c1747b41e82966a99d724788615333a07d989c0f4b360d0d71f590c,991,read_only,provenance_safe_fixed_output
n100_submitted_binary,rag-hallucination-detection_main/human_eval_final/n100_disagreement/human_disagreement_auroc_auprc.csv,4dcd47bc55d269928621bd5ff1f1a3f531334ee49259d11fc19ccb103d6fd982,238,read_only,provenance_safe_fixed_output
n100_submitted_bootstrap,rag-hallucination-detection_main/human_eval_final/n100_disagreement/human_disagreement_bootstrap_cis.csv,5d3a329634f3d4b56c9dc96c58a6d0eb7e98b9a9726d7dacffbd6118a8c43c5c,1789,read_only,provenance_safe_fixed_output
context_n600,cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/results/revision/context_conditioned_nli/per_query_n600.csv,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4,1141212,read_only,provenance_safe_fixed_output
context_n99_summary,cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/results/revision/context_conditioned_nli/n99_alignment_summary.csv,1f81dad2aa0ee33b19a0e1d5a37d285e21adfef4318afac44682ba952a8583cd,594,read_only,provenance_safe_fixed_output
threshold_tau_summary,cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/results/revision/fix_04/tau_summary.csv,70057fa52fd77b3e38de5c858da2485e3a719e2678e5efeebd15f0e72b069b21,1282,read_only,provenance_safe_fixed_output
threshold_transfer_matrix,cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/results/revision/fix_04/tau_transfer_matrix.csv,6eb1d877d190efb93fd556bb2386d7c48688081fcbe51f25a071a5b3726b991e,353,read_only,provenance_safe_fixed_output
pareto_summary,cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/results/revision/fix_06/h2h_summary_with_ci.csv,237649fe07cd0bf810b2294ef1f6968eaa9db9d7a5a88c940dd34f49e292dca8,912,read_only,provenance_safe_fixed_output
pareto_per_query,cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/revision/fix_06/per_query_compact.csv,21f9d0c97c80c964ffc4ae42916df5a09898e862e332bddcd0779f1161fe1962,60148,read_only,provenance_safe_fixed_output
