outcome,model,n,metric,value,ci95_lo,ci95_hi,secondary_metric,secondary_value,aic
faithfulness_score,answer_span_present,400,r2,0.018964,0.000547,0.061644,adjusted_r2,0.016499,
hallucination_label,answer_span_present,400,auroc,0.531238,0.501665,0.598611,,,308.318005
faithfulness_score,mean_query_similarity,400,r2,0.001941,6e-06,0.023258,adjusted_r2,-0.000567,
hallucination_label,mean_query_similarity,400,auroc,0.585819,0.495443,0.677003,,,306.54865
faithfulness_score,ccs,400,r2,0.003003,9e-06,0.02196,adjusted_r2,0.000498,
hallucination_label,ccs,400,auroc,0.639249,0.564385,0.711877,,,299.367693
faithfulness_score,answer_span_present + mean_query_similarity,400,r2,0.023737,0.003818,0.070521,adjusted_r2,0.018819,
hallucination_label,answer_span_present + mean_query_similarity,400,auroc,0.589752,0.518336,0.687078,,,308.050352
faithfulness_score,answer_span_present + ccs,400,r2,0.021611,0.00258,0.068483,adjusted_r2,0.016682,
hallucination_label,answer_span_present + ccs,400,auroc,0.630569,0.571646,0.715721,,,300.055685
faithfulness_score,answer_span_present + mean_query_similarity + ccs,400,r2,0.024702,0.005709,0.075213,adjusted_r2,0.017313,
hallucination_label,answer_span_present + mean_query_similarity + ccs,400,auroc,0.643126,0.589038,0.734221,,,301.505163
