question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,model
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The AFC was represented by the **Denver Broncos** at Super Bowl 50.,baseline,0.7269,False,0.6027,False,-1.0,0.68,squad,gpt-oss-120b
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The AFC was represented by the Denver Broncos.,hcpc_v1,0.7123,False,0.6602,False,-1.0,0.47,squad,gpt-oss-120b
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The AFC was represented by the **Denver Broncos**.,hcpc_v2,0.6895,False,0.6025,True,0.5463,0.51,squad,gpt-oss-120b
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The NFC was represented by the Carolina Panthers.,baseline,0.6683,False,0.6001,False,-1.0,0.35,squad,gpt-oss-120b
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6188,False,-1.0,0.52,squad,gpt-oss-120b
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The NFC was represented by the Carolina Panthers.,hcpc_v2,0.6683,False,0.5991,True,0.5853,0.27,squad,gpt-oss-120b
Where did Super Bowl 50 take place?,"Santa Clara, California","Super Bowl 50 was played at Levi’s Stadium in Santa Clara, California, in the San Francisco Bay Area.",baseline,0.7527,False,0.6432,False,-1.0,2.69,squad,gpt-oss-120b
Where did Super Bowl 50 take place?,"Santa Clara, California",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6279,False,-1.0,0.63,squad,gpt-oss-120b
Where did Super Bowl 50 take place?,"Santa Clara, California","Super Bowl 50 was played at Levi’s Stadium in Santa Clara, California, in the San Francisco Bay Area.",hcpc_v2,0.7527,False,0.6432,False,0.5722,0.36,squad,gpt-oss-120b
Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,baseline,0.7365,False,0.6554,False,-1.0,1.2,squad,gpt-oss-120b
Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,hcpc_v1,0.7365,False,0.6259,False,-1.0,0.48,squad,gpt-oss-120b
Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,hcpc_v2,0.7365,False,0.6554,False,0.5701,2.45,squad,gpt-oss-120b
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold.,baseline,1.0,False,0.5495,False,-1.0,1.42,squad,gpt-oss-120b
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold.,hcpc_v1,1.0,False,0.6032,False,-1.0,0.57,squad,gpt-oss-120b
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold.,hcpc_v2,1.0,False,0.5495,True,0.43,2.64,squad,gpt-oss-120b
What was the theme of Super Bowl 50?,"""golden anniversary""","The league emphasized a “golden anniversary” theme for Super Bowl 50, featuring various gold‑themed initiatives to celebrate the 50th edition.",baseline,0.8568,False,0.558,False,-1.0,0.91,squad,gpt-oss-120b
What was the theme of Super Bowl 50?,"""golden anniversary""",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.5742,False,-1.0,0.32,squad,gpt-oss-120b
What was the theme of Super Bowl 50?,"""golden anniversary""","The league emphasized a “golden anniversary” theme for Super Bowl 50, featuring various gold‑themed initiatives.",hcpc_v2,0.7329,False,0.558,False,0.4567,0.54,squad,gpt-oss-120b
What day was the game played on?,"February 7, 2016",I cannot find this information in the provided context.,baseline,0.5531,False,0.3746,False,-1.0,0.56,squad,gpt-oss-120b
What day was the game played on?,"February 7, 2016",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.4669,False,-1.0,0.62,squad,gpt-oss-120b
What day was the game played on?,"February 7, 2016",I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.3746,True,0.5722,4.13,squad,gpt-oss-120b
What is the AFC short for?,American Football Conference,AFC stands for **American Football Conference**.,baseline,0.9825,False,0.4121,False,-1.0,0.36,squad,gpt-oss-120b
What is the AFC short for?,American Football Conference,AFC stands for **American Football Conference**.,hcpc_v1,0.9825,False,0.4702,False,-1.0,0.25,squad,gpt-oss-120b
What is the AFC short for?,American Football Conference,AFC stands for **American Football Conference**.,hcpc_v2,0.9825,False,0.4121,True,0.4753,0.27,squad,gpt-oss-120b
What was the theme of Super Bowl 50?,"""golden anniversary""","The league emphasized a “golden anniversary” theme for Super Bowl 50, featuring various gold‑themed initiatives.",baseline,0.7329,False,0.558,False,-1.0,1.43,squad,gpt-oss-120b
What was the theme of Super Bowl 50?,"""golden anniversary""",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.5742,False,-1.0,0.27,squad,gpt-oss-120b
What was the theme of Super Bowl 50?,"""golden anniversary""","The league emphasized a “golden anniversary” theme for Super Bowl 50, featuring various gold‑themed initiatives.",hcpc_v2,0.7329,False,0.558,False,0.4567,1.46,squad,gpt-oss-120b
What does AFC stand for?,American Football Conference,AFC stands for **American Football Conference**.,baseline,0.9825,False,0.3787,False,-1.0,2.49,squad,gpt-oss-120b
What does AFC stand for?,American Football Conference,AFC stands for **American Football Conference**.,hcpc_v1,0.9825,False,0.4448,False,-1.0,1.49,squad,gpt-oss-120b
What does AFC stand for?,American Football Conference,AFC stands for **American Football Conference**.,hcpc_v2,0.9825,False,0.3787,True,0.4753,4.81,squad,gpt-oss-120b
