dataset,query_index,question,ground_truth,faithfulness_score,is_hallucination,retrieval_latency_ms,generation_latency_ms,total_latency_ms,n_leaves_returned,n_summaries_returned
squad,0,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,0.7354,False,90.281,1299.983,1390.264,2,1
squad,1,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,0.8891,False,7.148,668.642,675.79,2,1
squad,2,Where did Super Bowl 50 take place?,"Santa Clara, California",0.9516,False,7.478,1143.452,1150.93,2,1
squad,3,Which NFL team won Super Bowl 50?,Denver Broncos,0.9247,False,7.279,984.723,992.002,2,1
squad,4,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,1.0,False,10.988,673.956,684.945,2,1
squad,5,What was the theme of Super Bowl 50?,"""golden anniversary""",0.8925,False,9.526,1000.251,1009.777,2,1
squad,6,What day was the game played on?,"February 7, 2016",0.8967,False,6.827,1189.194,1196.021,2,1
squad,7,What is the AFC short for?,American Football Conference,0.6259,False,6.931,1536.087,1543.018,2,1
squad,8,What was the theme of Super Bowl 50?,"""golden anniversary""",0.8925,False,7.328,1163.219,1170.547,2,1
squad,9,What does AFC stand for?,American Football Conference,0.982,False,7.491,827.5,834.991,2,1
squad,10,What day was the Super Bowl played on?,"February 7, 2016",0.8567,False,9.951,1274.584,1284.536,2,1
squad,11,Who won Super Bowl 50?,Denver Broncos,0.9247,False,6.624,1083.632,1090.256,2,1
squad,12,What venue did Super Bowl 50 take place in?,Levi's Stadium,0.793,False,7.304,1086.914,1094.218,2,1
squad,13,What city did Super Bowl 50 take place in?,Santa Clara,0.5782,False,6.702,1360.855,1367.557,2,1
squad,14,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,0.475,True,11.021,1584.339,1595.36,2,1
squad,15,Super Bowl 50 decided the NFL champion for what season?,2015,0.7112,False,7.552,1377.176,1384.727,2,1
squad,16,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,0.7632,False,12.094,1170.743,1182.837,2,1
squad,17,What city did Super Bowl 50 take place in?,Santa Clara,0.5782,False,9.035,1374.171,1383.205,2,1
squad,18,What stadium did Super Bowl 50 take place in?,Levi's Stadium,0.793,False,7.024,396.756,403.78,2,1
squad,19,What was the final score of Super Bowl 50? ,24–10,0.7805,False,6.63,1327.74,1334.37,2,1
squad,20,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016",0.6229,False,8.469,870.668,879.137,2,1
squad,21,What year was Super Bowl 50?,2015,1.0,False,6.778,755.984,762.762,2,1
squad,22,What team was the AFC champion?,Denver Broncos,0.6101,False,7.715,884.453,892.168,2,1
squad,23,What team was the NFC champion?,Carolina Panthers,0.7093,False,6.736,1189.576,1196.311,2,1
squad,24,Who won Super Bowl 50?,Denver Broncos,0.9247,False,6.748,1083.323,1090.071,2,1
squad,25,Super Bowl 50 determined the NFL champion for what season?,2015,0.7168,False,6.88,1130.728,1137.607,2,1
squad,26,Which team won Super Bowl 50.,Denver Broncos,0.9247,False,7.79,871.238,879.029,2,1
squad,27,Where was Super Bowl 50 held?,"Santa Clara, California.",0.9411,False,6.939,1181.153,1188.092,2,1
squad,28,The name of the NFL championship game is?,Super Bowl,0.6706,False,6.956,1265.384,1272.341,2,1
squad,29,What 2015 NFL team one the AFC playoff?,Denver Broncos,0.6871,False,7.184,1375.418,1382.601,2,1
squad,30,Which Carolina Panthers player was named Most Valuable Player?,Cam Newton,1.0,False,6.987,757.373,764.36,2,1
squad,31,How many appearances have the Denver Broncos made in the Super Bowl?,8,0.5777,False,7.925,1184.911,1192.835,2,1
squad,32,What year was the Carolina Panthers franchise founded?,1995,0.6925,False,8.449,1684.669,1693.118,2,1
squad,33,What team did the Panthers defeat?,Arizona Cardinals,0.892,False,8.893,2667.109,2676.002,2,1
squad,34,Who did the Broncos prevent from going to the Super Bowl?,New England Patriots,0.4992,True,8.552,1146.016,1154.568,2,1
squad,35,Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals,0.7547,False,9.757,2126.422,2136.179,2,1
squad,36,Who lost to the Broncos in the AFC Championship?,New England Patriots,0.7878,False,7.171,1047.171,1054.342,2,1
squad,37,Who were the defending Super Bowl champions?,New England Patriots,0.5343,False,9.869,3042.867,3052.736,2,1
squad,38,How many teams have been in the Super Bowl eight times?,four,0.7483,False,9.405,1980.937,1990.342,2,1
squad,39,Who was this season's NFL MVP?,Cam Newton,1.0,False,7.104,744.173,751.277,2,1
squad,40,What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,15–1,0.484,True,10.827,1516.626,1527.453,2,1
squad,41,Which Carolina Panthers team member was picked as the team's MVP in 2015? ,Cam Newton,0.5984,False,7.014,1300.518,1307.532,2,1
squad,42,What were the win/loss game stats for the Denver Bronco's regular season in 2015?,12–4,0.9592,False,7.17,1592.199,1599.369,2,1
squad,43,How many teams have played in the Super Bowl eight times?,4,0.7423,False,6.653,2010.028,2016.681,2,1
squad,44,Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,New England Patriots,0.5369,False,10.297,1558.115,1568.412,2,1
