dataset,query_index,question,ground_truth,faithfulness_score,is_hallucination,retrieval_latency_ms,generation_latency_ms,total_latency_ms,n_leaves_returned,n_summaries_returned
hotpotqa,0,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,0.719,False,20.165,2842.777,2862.942,2,1
hotpotqa,1,When did the park at which Tivolis Koncertsal is located open?,15 August 1843,0.3631,True,15.323,1703.738,1719.061,2,1
hotpotqa,2,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,0.5856,False,18.359,1682.481,1700.84,2,1
hotpotqa,3,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,0.7354,False,15.011,1467.448,1482.459,2,1
hotpotqa,4,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,0.519,False,15.098,927.627,942.725,2,1
hotpotqa,5,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,0.6684,False,11.071,2016.226,2027.297,2,1
hotpotqa,6,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,0.495,True,11.652,3044.993,3056.645,2,1
hotpotqa,7,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,0.5229,False,11.142,2021.656,2032.798,2,1
hotpotqa,8,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,0.4497,True,16.415,804.214,820.629,2,1
hotpotqa,9,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967,0.9136,False,14.05,1489.387,1503.438,2,1
hotpotqa,10,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill,0.6458,False,12.708,3258.734,3271.442,2,1
hotpotqa,11,In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders,0.3976,True,11.082,1960.144,1971.226,2,1
hotpotqa,12,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region,0.582,False,12.3,2764.051,2776.351,2,1
hotpotqa,13,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung,0.7128,False,11.48,1843.512,1854.992,2,1
hotpotqa,14,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,yes,0.4625,True,15.97,2430.405,2446.375,2,1
hotpotqa,15," Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",an organ,0.4125,True,12.113,2388.422,2400.535,2,1
hotpotqa,16, The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,the George Washington Bridge,0.4631,True,11.671,2638.08,2649.751,2,1
hotpotqa,17,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",Vitor Belfort,0.7272,False,11.428,1780.428,1791.856,2,1
hotpotqa,18,"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",tip of the Baja California,0.632,False,12.022,1407.862,1419.884,2,1
hotpotqa,19,"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",The Tugurt language,0.775,False,13.525,3097.315,3110.84,2,1
hotpotqa,20,Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,Q,0.7123,False,11.862,2194.109,2205.971,2,1
hotpotqa,21,Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,2002,0.5359,False,15.347,1892.313,1907.66,2,1
hotpotqa,22,Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,Oliver Parker,0.5826,False,14.86,2541.935,2556.795,2,1
hotpotqa,23,George Gershwin is an American Composer and Judith Weir is a composer from which country?,a British composer,0.5829,False,11.348,1373.836,1385.184,2,1
hotpotqa,24,What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,Rafael Márquez,0.7223,False,11.671,2114.028,2125.698,2,1
hotpotqa,25,The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,South Korea,0.5936,False,12.426,913.262,925.689,2,1
hotpotqa,26,Ruddles Brewery is owned by a pub retailer and brewer based in what city?,Bury St Edmunds,0.7475,False,12.566,1955.477,1968.043,2,1
hotpotqa,27,The creator of the Lisa Simpson character was born in what year?,1954,0.8237,False,11.542,1608.659,1620.201,2,1
hotpotqa,28,Where is the international airport which Eagle Aviation wet lease operations were based in located ,France.,0.7657,False,11.768,1868.965,1880.733,2,1
hotpotqa,29,What occupation was shared by David Yates and Pietro Germi?,director,0.4896,True,12.414,2218.613,2231.027,2,1
hotpotqa,30,Who sang lead vocals on the Oasis hit single which had an acoustic debut in drummer Tony McCarroll's last concert ? ,Noel Gallagher,0.5968,False,16.909,3069.839,3086.748,2,1
hotpotqa,31,"St. John's College, Belize offers an education in a tradition in which what three subjects were the core?","Grammar, logic, and rhetoric",0.5934,False,14.158,3513.865,3528.024,2,1
hotpotqa,32,Robert Earl Holding owned an oil company that was originally founded by who?,Harry F. Sinclair,0.47,True,11.628,2410.567,2422.195,2,1
hotpotqa,33,"What instrument does Duff McKagan play on Macy Gray's single, Kissed It?",bass,0.9388,False,14.278,1691.349,1705.627,2,1
hotpotqa,34,Which American popular music and country music singer recorded J. D. Souther song ,Linda Maria Ronstadt,0.6977,False,12.828,2008.052,2020.88,2,1
hotpotqa,35,In which six Western European territories have Celtic languages or cultural traits survived?,"Brittany, Cornwall, Ireland, Isle of Man, Scotland and Wales.",0.6724,False,10.999,1608.169,1619.168,2,1
hotpotqa,36,Who is known for composing  American Beauty: Original Motion Picture Score and many other film scores?,Thomas Montgomery Newman,0.5279,False,11.567,705.638,717.206,2,1
hotpotqa,37,What film was written and directed by Joby Harold with music written by Samuel Sim?,Awake,0.6146,False,11.907,2015.899,2027.807,2,1
hotpotqa,38,"What group did Carlene LeFevre and Rich LeFevre form in Brooklyn, New York City?","the ""First Family of Competitive Eating""",0.7077,False,11.436,2360.522,2371.958,2,1
hotpotqa,39,"Michaël Llodra of France, called ""the best volleyer on tour"", defeated Juan Martín del Potro a professional of what nationality?",Argentinian,1.0,False,19.981,1065.379,1085.36,2,1
hotpotqa,40,What company produced the 1978 movie based on a book written by a radio playwright and children's book author born in 1900?,Walt Disney Productions,0.69,False,15.094,2413.433,2428.526,2,1
hotpotqa,41,How many students were enrolled in American professional bowler Chris Barnes' high school in the 2010-2011 school year?,"1,840 students",0.5531,False,11.06,1330.257,1341.316,2,1
hotpotqa,42,"Which canal, Miami Canal or Dundee Canal, also supplies hydro-power and water for manufacturing?",Dundee Canal,0.6977,False,15.65,1776.752,1792.401,2,1
hotpotqa,43,What is the middle name of the singer who recorded Would You Like to Take a Walk? with Louis Armstrong in 1951,Jane,0.5897,False,11.915,2379.337,2391.252,2,1
hotpotqa,44,What was Richard Connell's best known work The Hounds of Zaroff also published as?,The Most Dangerous Game,0.7559,False,14.084,1083.003,1097.087,2,1
hotpotqa,45,The Stone Book series is set in what country? ,North West England,0.6551,False,12.393,1563.964,1576.356,2,1
hotpotqa,46,Are both Jonathan Marray and Wayne Black British?,no,0.5531,False,11.47,937.223,948.693,2,1
hotpotqa,47,Sporobolus and Zea are in the same what?,family,0.7163,False,12.041,1391.029,1403.07,2,1
hotpotqa,48,Are Mick Jagger and Brett Scallions both musicians?,yes,0.531,False,11.523,1612.927,1624.449,2,1
hotpotqa,49,"When did Senator Ted Kennedy helped dedicate a new room at the location to his maternal grandfather, John F. Fitzgerald.",St. Patrick's Day in 1988,0.7106,False,18.941,2163.182,2182.123,2,1
hotpotqa,50,Which 8-year old star of an epistolary novel turned musical by Alice Walker also voiced Frankie Greene in a Disney series?,Diamond White,0.6276,False,12.574,2190.32,2202.894,2,1
hotpotqa,51,"Which music group has the most members, DC Talk, or Manchester Orchestra?",Manchester Orchestra,0.5825,False,14.682,4254.387,4269.069,2,1
hotpotqa,52,Orlando Brown is best known for his role as 3J Winslow in an American sitcom that was a spin-off of what?,Perfect Strangers,0.6462,False,12.629,1851.529,1864.157,2,1
hotpotqa,53,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,0.5657,False,13.034,1993.777,2006.81,2,1
hotpotqa,54,"Where was the air-cooled version of a weapon system used on the HMAS ""Narani"" found?",World War I fighter aircraft.,0.6935,False,15.728,2312.327,2328.056,2,1
hotpotqa,55,"BMW X5 is a mid-size version that was produced alongside which newer model, produced in 2009?",BMW X6,0.5118,False,11.968,2651.603,2663.57,2,1
hotpotqa,56,Did Minersville School District v. Gobitis and Gravel v. United States occur in the same decade?,no,0.5608,False,14.176,2504.703,2518.879,2,1
hotpotqa,57,Yakuza Kiwami is a remake of the first video game in what video game series that is an open world action-adventure beat 'em up video game franchise?,Yakuza,0.7258,False,13.185,2670.518,2683.702,2,1
hotpotqa,58, The 1919 Mississippi gubernatorial election Incumbent Democrat was a master of what?,filibuster,0.7347,False,11.35,1912.388,1923.738,2,1
hotpotqa,59,"Are both genera Silphium and Heliotropium, genera of flowering plants ?",yes,0.7664,False,17.926,1314.566,1332.492,2,1
hotpotqa,60,Mexican Indignados Movement is a response to a war also known as?,Mexican War on Drugs,0.5071,False,13.117,1766.87,1779.987,2,1
hotpotqa,61,Are Harry Everett Smith and Vladimir Danilevich both from Russia?,no,0.5531,False,14.354,1057.418,1071.772,2,1
hotpotqa,62,"Robert Allen ""Bob"" Case is best known for inspiring the naming of which initial area of low pressure developed off Atlantic Canada on October 29? ",1991 Perfect Storm,0.394,True,13.644,2175.753,2189.397,2,1
hotpotqa,63,What film adaptation do both Jerome Bernard and Ira Lewis have in common?,Chinese Coffee,0.4791,True,13.851,1541.457,1555.309,2,1
hotpotqa,64,"Who has more scope of profession, Bob Fosse or Angelina Jolie?",Robert Louis Fosse,0.5042,False,14.766,3790.531,3805.297,2,1
hotpotqa,65,What bitcoin start up featured Erik Voorhees as Director of Marketing?,BitInstant,0.55,False,13.746,1047.004,1060.75,2,1
hotpotqa,66,"What is the birth name of the disc jockey that notably used Mark Wirtz's song ""A Touch of Velvet, A Sting of Brass"" on their Radio Caroline show?",David Patrick Griffin,0.4665,True,10.139,3145.27,3155.409,2,1
hotpotqa,67,Who did Neleus of Scepsis study under in addition to Theophrastus in the Peripatetic school?,Aristotle,0.6296,False,14.457,1959.408,1973.865,2,1
