dataset,condition,chunk_size,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_hcpc_n_weak,ret_hcpc_n_refined,hcpc_n_strong,hcpc_n_weak,hcpc_n_refined,hcpc_n_merged,hcpc_mean_ce_improvement,hcpc_mean_sim_improvement,hcpc_context_coherence,hcpc_context_token_count
squad,hcpc_v1,1024,3,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos," The American Football Conference (AFC) champion, which is the Denver Broncos, represented the AFC at Super Bowl 50.",0.7425,False,faithful,2.05,0.6368,0.6368,0.6368,0.0,3,3,3,0,3,3,0,-5.2193,0.2401,-1.0,136
squad,hcpc_v1,1024,3,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers," I cannot find this information in the provided context. The context only states that Super Bowl 50 determined the champion of the NFL, but it does not specify which teams were participating.",0.5553,False,faithful,3.54,0.6227,0.6227,0.6227,0.0,3,3,3,0,3,3,0,-4.2433,0.2051,-1.0,95
squad,hcpc_v1,1024,3,Where did Super Bowl 50 take place?,"Santa Clara, California"," I cannot find this information in the provided context. The context only mentions that the game would be known as ""Super Bowl L"" and that the logo would prominently feature Arabic numerals 50, but it does not specify where the Super Bowl took place.",0.582,False,faithful,5.41,0.5887,0.5887,0.5887,0.0,3,3,3,0,3,3,0,-9.0216,0.2015,-1.0,92
squad,hcpc_v1,1024,3,Which NFL team won Super Bowl 50?,Denver Broncos," I cannot find this information in the provided context. The context only states that Super Bowl 50 was a game to determine the champion of the National Football League (NFL) for the 2015 season, but it does not specify which team won.",0.7296,False,faithful,5.12,0.6572,0.6572,0.6572,0.0,3,3,3,0,3,3,0,-2.3408,0.2146,-1.0,95
squad,hcpc_v1,1024,3,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold," The color used to emphasize the 50th anniversary of the Super Bowl, according to the provided context, is gold.",0.8353,False,faithful,4.15,0.6888,0.6888,0.6888,0.0,3,3,3,0,3,3,0,1.5899,0.4413,-1.0,192
squad,hcpc_v1,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," I cannot find this information in the provided context. The context only mentions that the game would be known as ""Super Bowl L"" and that the logo would prominently feature Arabic numerals 50, but it does not provide any information about the theme of Super Bowl 50.",0.6554,False,faithful,7.66,0.6354,0.6354,0.6354,0.0,3,3,3,0,3,3,0,-3.4144,0.3612,-1.0,92
squad,hcpc_v1,1024,3,What day was the game played on?,"February 7, 2016"," I cannot find this information in the provided context. The context only mentions the date of the Super Bowl Opening Night, but not the date of the actual game.",0.6427,False,faithful,4.97,0.5556,0.5556,0.5556,0.0,3,3,3,0,3,3,0,0.1943,0.501,-1.0,173
squad,hcpc_v1,1024,3,What is the AFC short for?,American Football Conference, I cannot find this information in the provided context. The context does not specify what AFC stands for.,0.6762,False,faithful,3.19,0.4992,0.4992,0.4992,0.0,3,3,3,0,3,3,0,0.0,0.4992,-1.0,144
squad,hcpc_v1,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," I cannot find this information in the provided context. The context only mentions that the game would be known as ""Super Bowl L"" and that the logo would prominently feature Arabic numerals 50, but it does not provide any information about the theme of Super Bowl 50.",0.6554,False,faithful,7.36,0.6354,0.6354,0.6354,0.0,3,3,3,0,3,3,0,-3.4144,0.3612,-1.0,92
squad,hcpc_v1,1024,3,What does AFC stand for?,American Football Conference," I cannot find the abbreviation ""AFC"" explicitly defined in the provided context. However, in American football, AFC typically stands for the American Football Conference.",0.6233,False,faithful,4.08,0.4753,0.4753,0.4753,0.0,3,3,3,0,3,3,0,0.0,0.4753,-1.0,144
