dataset,reranker,condition,n_queries,faith,halluc,sim,refine_rate,ccs
pubmedqa,BAAI/bge-reranker-base,baseline,30,0.5963,0.2,0.5166,0.0,
pubmedqa,BAAI/bge-reranker-base,hcpc_v1,30,0.5507,0.3,0.5471,0.0,
pubmedqa,BAAI/bge-reranker-base,hcpc_v2,30,0.596,0.2,0.5166,0.0,0.3095
pubmedqa,cross-encoder/ms-marco-MiniLM-L-12-v2,baseline,30,0.5935,0.2667,0.5166,0.0,
pubmedqa,cross-encoder/ms-marco-MiniLM-L-12-v2,hcpc_v1,30,0.5419,0.3667,0.5471,0.0,
pubmedqa,cross-encoder/ms-marco-MiniLM-L-12-v2,hcpc_v2,30,0.5884,0.2667,0.5168,0.9667,0.3091
pubmedqa,cross-encoder/ms-marco-MiniLM-L-6-v2,baseline,30,0.6079,0.1333,0.5166,0.0,
pubmedqa,cross-encoder/ms-marco-MiniLM-L-6-v2,hcpc_v1,30,0.559,0.3333,0.5471,0.0,
pubmedqa,cross-encoder/ms-marco-MiniLM-L-6-v2,hcpc_v2,30,0.5938,0.1333,0.5168,0.9667,0.3091
squad,BAAI/bge-reranker-base,baseline,30,0.7903,0.0,0.5877,0.0,
squad,BAAI/bge-reranker-base,hcpc_v1,30,0.7134,0.0667,0.6008,0.0,
squad,BAAI/bge-reranker-base,hcpc_v2,30,0.7921,0.0,0.5877,0.0,0.5428
squad,cross-encoder/ms-marco-MiniLM-L-12-v2,baseline,30,0.8086,0.0,0.5877,0.0,
squad,cross-encoder/ms-marco-MiniLM-L-12-v2,hcpc_v1,30,0.6958,0.1333,0.6008,0.0,
squad,cross-encoder/ms-marco-MiniLM-L-12-v2,hcpc_v2,30,0.818,0.0,0.5875,0.3,0.5425
squad,cross-encoder/ms-marco-MiniLM-L-6-v2,baseline,30,0.7798,0.0,0.5877,0.0,
squad,cross-encoder/ms-marco-MiniLM-L-6-v2,hcpc_v1,30,0.7091,0.1333,0.6008,0.0,
squad,cross-encoder/ms-marco-MiniLM-L-6-v2,hcpc_v2,30,0.7952,0.0,0.5879,0.5333,0.5425
