model,dataset,chunk_size,condition,question,answer,ground_truth,faithfulness_score,is_hallucination,latency_s
llama3,squad,512,reranked,Which NFL team represented the AFC at Super Bowl 50?,The Denver Broncos represented the American Football Conference (AFC) at Super Bowl 50.,Denver Broncos,0.7368,False,2.72
llama3,squad,512,reranked,Which NFL team represented the NFC at Super Bowl 50?,"According to the provided context, the National Football Conference (NFC) champion Carolina Panthers represented the NFC at Super Bowl 50.",Carolina Panthers,0.7434,False,1.49
llama3,squad,512,reranked,Where did Super Bowl 50 take place?,"According to the provided context, Super Bowl 50 was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California",0.9841,False,2.35
llama3,squad,512,reranked,Which NFL team won Super Bowl 50?,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,0.92
llama3,squad,512,reranked,What color was used to emphasize the 50th anniversary of the Super Bowl?,Gold.,gold,1.0,False,2.05
llama3,squad,512,reranked,What was the theme of Super Bowl 50?,"The theme of Super Bowl 50 was the ""golden anniversary"", with various gold-themed initiatives.","""golden anniversary""",0.8186,False,1.5
llama3,squad,512,reranked,What day was the game played on?,I cannot find this information in the provided context.,"February 7, 2016",0.5531,False,2.52
llama3,squad,512,reranked,What is the AFC short for?,"The answer to what the AFC stands for can be found in the provided context:

""...earned home-field advantage throughout the AFC playoffs.""

So, the AFC stands for American Football Conference.",American Football Conference,0.7721,False,3.32
llama3,squad,512,reranked,What was the theme of Super Bowl 50?,"The theme of Super Bowl 50 was the ""golden anniversary"", with various gold-themed initiatives.","""golden anniversary""",0.8186,False,2.7
llama3,squad,512,reranked,What does AFC stand for?,"I can find this information in the provided context! According to the text, AFC stands for American Football Conference.",American Football Conference,0.8294,False,3.27
llama3,squad,512,reranked,What day was the Super Bowl played on?,"According to the provided context, the answer is not explicitly stated. However, we can infer that the game was played on February 7, 2016, as mentioned in the second passage.

So, my answer would be: I cannot find this information in the provided context.","February 7, 2016",0.6402,False,4.62
llama3,squad,512,reranked,Who won Super Bowl 50?,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,2.8
llama3,squad,512,reranked,What venue did Super Bowl 50 take place in?,"According to the provided context, the answer is Levi's Stadium.",Levi's Stadium,0.7624,False,2.47
llama3,squad,512,reranked,What city did Super Bowl 50 take place in?,"According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",Santa Clara,0.986,False,3.48
llama3,squad,512,reranked,"If Roman numerals were used, what would Super Bowl 50 have been called?","According to the context, if Roman numerals were used, Super Bowl 50 would have been called ""Super Bowl L"".",Super Bowl L,0.5988,False,3.27
llama3,squad,512,reranked,Super Bowl 50 decided the NFL champion for what season?,The answer is: the 2015 season.,2015,0.7723,False,2.31
llama3,squad,512,reranked,What year did the Denver Broncos secure a Super Bowl title for the third time?,"I cannot find this information in the provided context. The context only mentions that the Broncos made their second Super Bowl appearance in three years, but it does not specify which year they secured a Super Bowl title for the third time.",2015,0.4991,True,3.89
llama3,squad,512,reranked,What city did Super Bowl 50 take place in?,"According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",Santa Clara,0.986,False,3.82
llama3,squad,512,reranked,What stadium did Super Bowl 50 take place in?,"According to the provided context, Super Bowl 50 took place at Levi's Stadium.",Levi's Stadium,0.8599,False,2.45
llama3,squad,512,reranked,What was the final score of Super Bowl 50? ,The answer is: The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10.,24–10,0.9382,False,2.89
llama3,squad,512,reranked,"What month, day and year did Super Bowl 50 take place? ","According to the provided context, Super Bowl 50 took place on February 7, 2016.","February 7, 2016",0.867,False,2.04
llama3,squad,512,reranked,What year was Super Bowl 50?,"According to the provided context, Super Bowl 50 was played on February 7, 2016.",2015,0.7844,False,1.72
llama3,squad,512,reranked,What team was the AFC champion?,The Denver Broncos were the AFC champion.,Denver Broncos,0.6101,False,2.37
llama3,squad,512,reranked,What team was the NFC champion?,The Panthers were the NFC champions.,Carolina Panthers,0.7372,False,2.27
llama3,squad,512,reranked,Who won Super Bowl 50?,The answer is: The American Football Conference (AFC) champion Denver Broncos.,Denver Broncos,0.8722,False,2.65
