question,ground_truth,answer,condition,span_faithfulness,mean_claim_faith,min_claim_faith,unsupported_claim_rate,rouge_l_f1,answer_tokens,gold_tokens,n_claims,is_hallucination_long,mean_retrieval_similarity,refined,ccs,latency_s,dataset,model
. what is a corporation?,A corporation is a company or group of people authorized to act as a single entity and recognized as such in law.," A corporation, according to the provided context, is an association of individuals created by law or under authority of law, having a continuous existence independent of its members, and powers and liabilities distinct from those of its members. It is recognized as a single entity in law, and early incorporated entities were established by charter (i.e., by an ad hoc act granted by a monarch or passed by a parliament or legislature). A corporation may issue stock, either private or public, or may be classified as a non-stock corporation. The corporation is often incorporated within a specific nation, such as a state or province, and is then governed by the laws of incorporation in that state.",baseline,0.6671,0.6744,0.491,0.25,0.1857,118,22,4,False,0.7279,False,-1.0,4.85,msmarco,mistral
. what is a corporation?,A corporation is a company or group of people authorized to act as a single entity and recognized as such in law.," A corporation, according to the provided context, is an association of individuals created by law or under authority of law, having a continuous existence independent of its members, and powers and liabilities distinct from those of its members. It can also be recognized as a single entity in law.",hcpc_v1,0.7882,0.7883,0.7237,0.0,0.3099,49,22,2,False,0.7079,False,-1.0,1.91,msmarco,mistral
. what is a corporation?,A corporation is a company or group of people authorized to act as a single entity and recognized as such in law.," A corporation, according to the provided context, is an association of individuals created by law or under authority of law, having a continuous existence independent of its members, and powers and liabilities distinct from those of its members. It can issue stock, either private or public, and is governed by the laws of incorporation in the state where it is established.",hcpc_v2,0.8053,0.8053,0.7578,0.0,0.1928,61,22,2,False,0.7279,False,0.6181,2.51,msmarco,mistral
why did rachel carson write an obligation to endure,"Rachel Carson writes The Obligation to Endure because believes that as man tries to eliminate unwanted insects and weeds, however he is actually causing more problems by polluting the environment."," The provided context does not specify the reason why Rachel Carson wrote ""The Obligation to Endure."" However, it is mentioned that the essay is a convincing argument about the harmful uses of chemicals, pesticides, herbicides, and fertilizers on the environment. Therefore, it can be inferred that she may have written this piece to raise awareness about these issues and advocate for environmental preservation.",baseline,0.6644,0.6657,0.6618,0.0,0.2151,63,30,2,False,0.7669,False,-1.0,3.13,msmarco,mistral
why did rachel carson write an obligation to endure,"Rachel Carson writes The Obligation to Endure because believes that as man tries to eliminate unwanted insects and weeds, however he is actually causing more problems by polluting the environment."," The provided context does not specify the reason why Rachel Carson wrote ""The Obligation to Endure."" However, it is mentioned that the essay is a convincing argument about the harmful uses of chemicals, pesticides, herbicides, and fertilizers on the environment. Therefore, it can be inferred that the obligation to endure might refer to the need for humanity to endure the negative effects of these substances on the environment.",hcpc_v1,0.6527,0.6482,0.6347,0.0,0.2041,68,30,2,False,0.7669,False,-1.0,3.2,msmarco,mistral
why did rachel carson write an obligation to endure,"Rachel Carson writes The Obligation to Endure because believes that as man tries to eliminate unwanted insects and weeds, however he is actually causing more problems by polluting the environment."," The provided context does not specify the reason for which Rachel Carson wrote ""The Obligation to Endure."" However, it is mentioned that the essay is a convincing argument about the harmful uses of chemicals, pesticides, herbicides, and fertilizers on the environment. Therefore, it can be inferred that she may have written this essay to raise awareness about the negative impact these substances have on the environment and our obligation to endure their consequences.",hcpc_v2,0.5805,0.5476,0.449,0.5,0.1942,73,30,2,True,0.7669,False,0.6765,3.4,msmarco,mistral
symptoms of a dying mouse,"The symptoms of a dying mouse are runny eyes, sneezing, wheezing, shaking, fluctuating body temperature, tiredness, loss of appetite, and dull coat."," The symptoms of a dying mouse, according to the provided context, include runny eyes, sneezing, wheezing, shaking, fluctuating body temperature, tiredness, loss of appetite, and a dull coat. If these symptoms persist or worsen, and the mouse becomes limp and struggles to walk, it is crucial for the mouse to go to the vet's as it could die. Additionally, if the mouse's owner has flu, they should avoid touching their pet to prevent influenza.",baseline,0.6297,0.6297,0.4494,0.3333,0.4286,76,22,3,True,0.7184,False,-1.0,4.12,msmarco,mistral
symptoms of a dying mouse,"The symptoms of a dying mouse are runny eyes, sneezing, wheezing, shaking, fluctuating body temperature, tiredness, loss of appetite, and dull coat."," The symptoms of a dying mouse, based on the provided context, include runny eyes, sneezing, wheezing, shaking, fluctuating body temperature, tiredness, loss of appetite, and a dull coat. If these symptoms persist or worsen, and the mouse becomes limp, it suggests that the mouse is in a very poor condition and could be dying.",hcpc_v1,0.7578,0.7577,0.6233,0.0,0.5526,54,22,2,False,0.7222,False,-1.0,2.91,msmarco,mistral
symptoms of a dying mouse,"The symptoms of a dying mouse are runny eyes, sneezing, wheezing, shaking, fluctuating body temperature, tiredness, loss of appetite, and dull coat."," The symptoms of a dying mouse, according to the provided context, include: runny eyes; sneezing; wheezing; shaking; fluctuating body temperature; tiredness; loss of appetite; and a dull coat. Additionally, if the mouse becomes limp and struggles to walk, it could be a sign that it is dying.",hcpc_v2,0.7414,0.7414,0.661,0.0,0.6087,47,22,2,False,0.7184,False,0.6703,2.64,msmarco,mistral
average number of lightning strikes per day,"Globally 8,640,000 lightning strikes per day."," The context states that globally, there are approximately 8,640,000 lightning strikes per day.",baseline,0.7807,0.7807,0.7807,0.0,0.6957,15,8,1,False,0.7664,False,-1.0,1.27,msmarco,mistral
