dataset,tau,condition,question,ground_truth,faithfulness_score,is_hallucination,gate_fired,ccs_pre
hotpotqa,0.7,baseline,What bitcoin start up featured Erik Voorhees as Director of Marketing?,BitInstant,0.55,False,False,-1.0
hotpotqa,0.7,hcpc_v1,What bitcoin start up featured Erik Voorhees as Director of Marketing?,BitInstant,0.7572,False,False,-1.0
hotpotqa,0.7,ccs_gate,What bitcoin start up featured Erik Voorhees as Director of Marketing?,BitInstant,0.7572,False,True,0.213
hotpotqa,0.7,baseline,MacBook offers what brand-type of displays that are higher-resolution than other portable computers?,Retina,0.7329,False,False,-1.0
hotpotqa,0.7,hcpc_v1,MacBook offers what brand-type of displays that are higher-resolution than other portable computers?,Retina,0.6901,False,False,-1.0
hotpotqa,0.7,ccs_gate,MacBook offers what brand-type of displays that are higher-resolution than other portable computers?,Retina,0.7329,False,False,0.7427
hotpotqa,0.7,baseline,In what part of England is John Folwes' country house located?,"West Dorset, South West England.",0.6965,False,False,-1.0
hotpotqa,0.7,hcpc_v1,In what part of England is John Folwes' country house located?,"West Dorset, South West England.",0.5868,False,False,-1.0
hotpotqa,0.7,ccs_gate,In what part of England is John Folwes' country house located?,"West Dorset, South West England.",0.5868,False,True,0.3373
hotpotqa,0.7,baseline,Who was the boyfriend of Thelma Lou in the series with Jim Nabors?,Barney Fife,0.4408,True,False,-1.0
hotpotqa,0.7,hcpc_v1,Who was the boyfriend of Thelma Lou in the series with Jim Nabors?,Barney Fife,0.2773,True,False,-1.0
hotpotqa,0.7,ccs_gate,Who was the boyfriend of Thelma Lou in the series with Jim Nabors?,Barney Fife,0.2773,True,True,0.1489
hotpotqa,0.7,baseline,Who did Neleus of Scepsis study under in addition to Theophrastus in the Peripatetic school?,Aristotle,0.5238,False,False,-1.0
hotpotqa,0.7,hcpc_v1,Who did Neleus of Scepsis study under in addition to Theophrastus in the Peripatetic school?,Aristotle,0.5002,False,False,-1.0
hotpotqa,0.7,ccs_gate,Who did Neleus of Scepsis study under in addition to Theophrastus in the Peripatetic school?,Aristotle,0.5023,False,True,0.4826
hotpotqa,0.7,baseline,"What group did Carlene LeFevre and Rich LeFevre form in Brooklyn, New York City?","the ""First Family of Competitive Eating""",0.7077,False,False,-1.0
hotpotqa,0.7,hcpc_v1,"What group did Carlene LeFevre and Rich LeFevre form in Brooklyn, New York City?","the ""First Family of Competitive Eating""",0.7077,False,False,-1.0
hotpotqa,0.7,ccs_gate,"What group did Carlene LeFevre and Rich LeFevre form in Brooklyn, New York City?","the ""First Family of Competitive Eating""",0.7077,False,True,0.1566
hotpotqa,0.7,baseline,"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",tip of the Baja California,0.6413,False,False,-1.0
hotpotqa,0.7,hcpc_v1,"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",tip of the Baja California,0.6669,False,False,-1.0
hotpotqa,0.7,ccs_gate,"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",tip of the Baja California,0.6669,False,False,0.7236
hotpotqa,0.7,baseline,Who sang lead vocals on the Oasis hit single which had an acoustic debut in drummer Tony McCarroll's last concert ? ,Noel Gallagher,0.6126,False,False,-1.0
hotpotqa,0.7,hcpc_v1,Who sang lead vocals on the Oasis hit single which had an acoustic debut in drummer Tony McCarroll's last concert ? ,Noel Gallagher,0.7237,False,False,-1.0
hotpotqa,0.7,ccs_gate,Who sang lead vocals on the Oasis hit single which had an acoustic debut in drummer Tony McCarroll's last concert ? ,Noel Gallagher,0.7237,False,True,0.6505
hotpotqa,0.7,baseline,Dr. Saleha Mahmood Abedin's daughter was born in what year ?,1976,0.5845,False,False,-1.0
hotpotqa,0.7,hcpc_v1,Dr. Saleha Mahmood Abedin's daughter was born in what year ?,1976,0.7055,False,False,-1.0
hotpotqa,0.7,ccs_gate,Dr. Saleha Mahmood Abedin's daughter was born in what year ?,1976,0.7055,False,True,0.0726
hotpotqa,0.7,baseline,What is the are of the university at which Dick Biddle served as head football coach?,575 acres (2.08 km²),0.8574,False,False,-1.0
hotpotqa,0.7,hcpc_v1,What is the are of the university at which Dick Biddle served as head football coach?,575 acres (2.08 km²),0.4955,True,False,-1.0
hotpotqa,0.7,ccs_gate,What is the are of the university at which Dick Biddle served as head football coach?,575 acres (2.08 km²),0.5219,False,True,0.4021
hotpotqa,0.7,baseline,Which gaming console was both Yakuza Kiwami and Yakuza 0 released on?,PlayStation 4,0.8344,False,False,-1.0
hotpotqa,0.7,hcpc_v1,Which gaming console was both Yakuza Kiwami and Yakuza 0 released on?,PlayStation 4,0.4017,True,False,-1.0
hotpotqa,0.7,ccs_gate,Which gaming console was both Yakuza Kiwami and Yakuza 0 released on?,PlayStation 4,0.8344,False,False,0.7679
hotpotqa,0.7,baseline,"which American actress, singer, and songwriter too the tour of  I Stand tour ",Idina Kim Menzel,0.5367,False,False,-1.0
