dataset,tau,condition,question,ground_truth,faithfulness_score,is_hallucination,gate_fired,ccs_pre
squad,0.5,baseline,How old was Newton during Super Bowl 50?,26,0.5676,False,False,-1.0
squad,0.5,hcpc_v1,How old was Newton during Super Bowl 50?,26,0.5676,False,False,-1.0
squad,0.5,ccs_gate,How old was Newton during Super Bowl 50?,26,0.5676,False,False,0.5484
squad,0.5,baseline,Who won Super Bowl 50?,Denver Broncos,0.9247,False,False,-1.0
squad,0.5,hcpc_v1,Who won Super Bowl 50?,Denver Broncos,0.6045,False,False,-1.0
squad,0.5,ccs_gate,Who won Super Bowl 50?,Denver Broncos,0.9247,False,False,0.5701
squad,0.5,baseline,Who exclusively broadcast the game in Spanish after reaching an agreement with the NFL and CBS?,ESPN Deportes,0.6985,False,False,-1.0
squad,0.5,hcpc_v1,Who exclusively broadcast the game in Spanish after reaching an agreement with the NFL and CBS?,ESPN Deportes,0.6985,False,False,-1.0
squad,0.5,ccs_gate,Who exclusively broadcast the game in Spanish after reaching an agreement with the NFL and CBS?,ESPN Deportes,0.6985,False,True,0.4766
squad,0.5,baseline,Who had the best record in the NFC?,Carolina Panthers,0.7102,False,False,-1.0
squad,0.5,hcpc_v1,Who had the best record in the NFC?,Carolina Panthers,0.4529,True,False,-1.0
squad,0.5,ccs_gate,Who had the best record in the NFC?,Carolina Panthers,0.7102,False,False,0.6462
squad,0.5,baseline,Who did the National Anthem at Super Bowl 50?,Lady Gaga,0.7627,False,False,-1.0
squad,0.5,hcpc_v1,Who did the National Anthem at Super Bowl 50?,Lady Gaga,0.7642,False,False,-1.0
squad,0.5,ccs_gate,Who did the National Anthem at Super Bowl 50?,Lady Gaga,0.7642,False,True,0.4214
squad,0.5,baseline,What is the Royal Castle the most interesting example of?,mannerist architecture,0.7951,False,False,-1.0
squad,0.5,hcpc_v1,What is the Royal Castle the most interesting example of?,mannerist architecture,0.4738,True,False,-1.0
squad,0.5,ccs_gate,What is the Royal Castle the most interesting example of?,mannerist architecture,0.4738,True,True,0.3902
squad,0.5,baseline,How old was Manning at the beginning of the 2015 season?,39,0.718,False,False,-1.0
