dataset,model,condition,n_queries,faith,halluc,sim,refine_rate,ccs
hotpotqa,llama3,baseline,30,0.6441,0.0667,0.552,0.0,
hotpotqa,llama3,hcpc_v1,30,0.5919,0.0667,0.5699,0.0,
hotpotqa,llama3,hcpc_v2,30,0.6279,0.1,0.5519,0.5667,0.3684
hotpotqa,mistral,baseline,30,0.6068,0.2,0.552,0.0,
hotpotqa,mistral,hcpc_v1,30,0.6172,0.2,0.5699,0.0,
hotpotqa,mistral,hcpc_v2,30,0.6058,0.2667,0.5519,0.5667,0.3684
hotpotqa,qwen2.5,baseline,30,0.6186,0.0333,0.6099,0.0,
hotpotqa,qwen2.5,hcpc_v1,30,0.6041,0.1,0.6286,0.0,
hotpotqa,qwen2.5,hcpc_v2,30,0.616,0.0667,0.6098,0.3667,0.4116
naturalqs,llama3,baseline,30,0.6839,0.0,0.6151,0.0,
naturalqs,llama3,hcpc_v1,30,0.6462,0.0333,0.6562,0.0,
naturalqs,llama3,hcpc_v2,30,0.6708,0.0667,0.6147,0.3333,0.6458
naturalqs,mistral,baseline,30,0.6682,0.1333,0.6151,0.0,
naturalqs,mistral,hcpc_v1,30,0.6322,0.1333,0.6562,0.0,
naturalqs,mistral,hcpc_v2,30,0.6717,0.1333,0.6147,0.3333,0.6458
naturalqs,qwen2.5,baseline,30,0.6341,0.1,0.6151,0.0,
naturalqs,qwen2.5,hcpc_v1,30,0.6336,0.0667,0.6562,0.0,
naturalqs,qwen2.5,hcpc_v2,30,0.6567,0.0333,0.6147,0.3333,0.6458
pubmedqa,llama3,baseline,30,0.5876,0.2,0.5166,0.0,
pubmedqa,llama3,hcpc_v1,30,0.595,0.2,0.5471,0.0,
pubmedqa,llama3,hcpc_v2,30,0.5869,0.1333,0.5168,0.9667,0.3091
pubmedqa,mistral,baseline,30,0.5969,0.1667,0.5166,0.0,
pubmedqa,mistral,hcpc_v1,30,0.5722,0.2333,0.5471,0.0,
pubmedqa,mistral,hcpc_v2,30,0.5912,0.2333,0.5168,0.9667,0.3091
pubmedqa,qwen2.5,baseline,30,0.5926,0.0667,0.6531,0.0,
pubmedqa,qwen2.5,hcpc_v1,30,0.6109,0.0667,0.6783,0.0,
pubmedqa,qwen2.5,hcpc_v2,30,0.596,0.0333,0.6526,0.7333,0.57
squad,llama3,baseline,30,0.8224,0.0,0.5877,0.0,
squad,llama3,hcpc_v1,30,0.713,0.0,0.6008,0.0,
squad,llama3,hcpc_v2,30,0.8187,0.0,0.5879,0.5333,0.5425
squad,mistral,baseline,30,0.8103,0.0,0.5877,0.0,
squad,mistral,hcpc_v1,30,0.7104,0.1,0.6008,0.0,
squad,mistral,hcpc_v2,30,0.7979,0.0,0.5879,0.5333,0.5425
squad,qwen2.5,baseline,30,0.8312,0.0,0.6154,0.0,
squad,qwen2.5,hcpc_v1,30,0.685,0.0,0.6172,0.0,
squad,qwen2.5,hcpc_v2,30,0.8265,0.0,0.6152,0.3333,0.5551
triviaqa,llama3,baseline,30,0.6647,0.0,0.5767,0.0,
triviaqa,llama3,hcpc_v1,30,0.67,0.0333,0.6138,0.0,
triviaqa,llama3,hcpc_v2,30,0.6568,0.0,0.5759,0.6667,0.5372
triviaqa,mistral,baseline,30,0.6603,0.1333,0.5767,0.0,
triviaqa,mistral,hcpc_v1,30,0.6879,0.1,0.6138,0.0,
triviaqa,mistral,hcpc_v2,30,0.6808,0.1,0.5759,0.6667,0.5372
triviaqa,qwen2.5,baseline,30,0.6582,0.0333,0.6044,0.0,
triviaqa,qwen2.5,hcpc_v1,30,0.6317,0.0333,0.6488,0.0,
triviaqa,qwen2.5,hcpc_v2,30,0.6582,0.0333,0.6045,0.4333,0.5726
