dataset,condition,question,faithfulness_score,is_hallucination,ret_mean_sim,ret_spread,ccs,semantic_continuity,embedding_variance,mean_jaccard,retrieval_entropy,mean_query_chunk_sim,sim_spread,hcpc_refined,hcpc_n_refined,hcpc_ccs
squad,baseline,Which NFL team represented the AFC at Super Bowl 50?,0.6985,False,0.6027,0.1504,0.5905,0.5905,0.0013,0.1527,0.6423,0.6252,0.1482,,,
squad,baseline,Which NFL team represented the NFC at Super Bowl 50?,0.6795,False,0.6001,0.1883,0.6902,0.6902,0.0043,0.2102,0.6636,0.6288,0.1727,,,
squad,baseline,Where did Super Bowl 50 take place?,0.986,False,0.6432,0.0585,0.6464,0.6464,0.0019,0.1611,0.6747,0.6556,0.0863,,,
squad,baseline,Which NFL team won Super Bowl 50?,0.9247,False,0.6554,0.126,0.6506,0.6506,0.0023,0.1363,0.6713,0.6629,0.1304,,,
squad,baseline,What color was used to emphasize the 50th anniversary of the Super Bowl?,1.0,False,0.5495,0.0739,0.5689,0.5689,0.0081,0.0988,0.6245,0.591,0.064,,,
squad,baseline,What was the theme of Super Bowl 50?,0.8574,False,0.558,0.0387,0.5143,0.5143,0.0042,0.145,0.6015,0.5866,0.0951,,,
squad,baseline,What day was the game played on?,0.8019,False,0.3746,0.2417,0.6076,0.6076,0.0019,0.1652,0.3831,0.3937,0.2163,,,
squad,baseline,What is the AFC short for?,0.5966,False,0.4121,0.1428,0.4999,0.4999,0.0065,0.0818,0.6439,0.441,0.1185,,,
squad,baseline,What was the theme of Super Bowl 50?,0.8574,False,0.558,0.0387,0.5143,0.5143,0.0042,0.145,0.6015,0.5866,0.0951,,,
squad,baseline,What does AFC stand for?,0.754,False,0.3787,0.1463,0.4999,0.4999,0.0065,0.0818,0.6346,0.4033,0.1435,,,
squad,baseline,What day was the Super Bowl played on?,0.6946,False,0.6413,0.0897,0.6076,0.6076,0.0019,0.1652,0.5729,0.6522,0.0881,,,
squad,baseline,Who won Super Bowl 50?,0.9247,False,0.6268,0.0896,0.6111,0.6111,0.0023,0.1091,0.1976,0.6364,0.0948,,,
