dataset,condition,metric,spearman_rho,p_value,n
pubmedqa,baseline,ccs,0.0109,0.9544,30
pubmedqa,baseline,semantic_continuity,0.0109,0.9544,30
pubmedqa,baseline,embedding_variance,0.2424,0.1968,30
pubmedqa,baseline,mean_jaccard,0.2786,0.136,30
pubmedqa,baseline,retrieval_entropy,0.3315,0.0735,30
pubmedqa,baseline,mean_query_chunk_sim,0.1059,0.5775,30
pubmedqa,baseline,sim_spread,0.2436,0.1945,30
pubmedqa,hcpc_v2,ccs,0.0208,0.9131,30
pubmedqa,hcpc_v2,semantic_continuity,0.0208,0.9131,30
pubmedqa,hcpc_v2,embedding_variance,0.3363,0.0692,30
pubmedqa,hcpc_v2,mean_jaccard,0.2285,0.2246,30
pubmedqa,hcpc_v2,retrieval_entropy,0.3146,0.0904,30
pubmedqa,hcpc_v2,mean_query_chunk_sim,0.1159,0.5418,30
pubmedqa,hcpc_v2,sim_spread,0.3047,0.1016,30
squad,baseline,ccs,0.1741,0.3575,30
squad,baseline,semantic_continuity,0.1741,0.3575,30
squad,baseline,embedding_variance,-0.1775,0.3482,30
squad,baseline,mean_jaccard,-0.0275,0.8855,30
squad,baseline,retrieval_entropy,-0.0927,0.626,30
squad,baseline,mean_query_chunk_sim,0.2102,0.2649,30
squad,baseline,sim_spread,-0.2483,0.1858,30
squad,hcpc_v2,ccs,0.3134,0.0917,30
squad,hcpc_v2,semantic_continuity,0.3134,0.0917,30
squad,hcpc_v2,embedding_variance,-0.0203,0.9154,30
squad,hcpc_v2,mean_jaccard,0.0254,0.8938,30
squad,hcpc_v2,retrieval_entropy,0.1175,0.5365,30
squad,hcpc_v2,mean_query_chunk_sim,0.3227,0.0819,30
squad,hcpc_v2,sim_spread,-0.197,0.2967,30
