question,answer_256,faithfulness_score_256,chunk_size_256,answer_1024,faithfulness_score_1024,chunk_size_1024,improvement
Which NFL team represented the AFC at Super Bowl 50?," The Denver Broncos, as stated in the context: ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title""",0.9297,256, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,0.8579,1024,-0.07179999999999997
Which NFL team represented the AFC at Super Bowl 50?," The Denver Broncos, as stated in the context: ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title""",0.9297,256, The Denver Broncos represented the AFC at Super Bowl 50.,0.7354,1024,-0.19429999999999992
Which NFL team represented the AFC at Super Bowl 50?," The Denver Broncos, as stated in the context: ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title""",0.9297,256, The Denver Broncos represented the AFC at Super Bowl 50.,0.7354,1024,-0.19429999999999992
Which NFL team represented the AFC at Super Bowl 50?," The Denver Broncos, as stated in the context: ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title""",0.9297,256, The Denver Broncos represented the AFC at Super Bowl 50.,0.7354,1024,-0.19429999999999992
Which NFL team represented the NFC at Super Bowl 50?," The context does not provide the name of the NFL team that represented the NFC at Super Bowl 50. However, it is mentioned that they defeated the Arizona Cardinals in the NFC Championship Game and advanced to Super Bowl 50. So, we can infer that the team that defeated the Arizona Cardinals was the o",0.7336,256, The Carolina Panthers represented the NFC at Super Bowl 50.,0.813,1024,0.07939999999999992
Which NFL team represented the NFC at Super Bowl 50?," The context does not provide the name of the NFL team that represented the NFC at Super Bowl 50. However, it is mentioned that they defeated the Arizona Cardinals in the NFC Championship Game and advanced to Super Bowl 50. So, we can infer that the team that defeated the Arizona Cardinals was the o",0.7336,256, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,0.8891,1024,0.15549999999999997
Which NFL team represented the NFC at Super Bowl 50?," The context does not provide the name of the NFL team that represented the NFC at Super Bowl 50. However, it is mentioned that they defeated the Arizona Cardinals in the NFC Championship Game and advanced to Super Bowl 50. So, we can infer that the team that defeated the Arizona Cardinals was the o",0.7336,256, The Carolina Panthers represented the NFC at Super Bowl 50.,0.813,1024,0.07939999999999992
Which NFL team represented the NFC at Super Bowl 50?," The context does not provide the name of the NFL team that represented the NFC at Super Bowl 50. However, it is mentioned that they defeated the Arizona Cardinals in the NFC Championship Game and advanced to Super Bowl 50. So, we can infer that the team that defeated the Arizona Cardinals was the o",0.7336,256, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,0.8891,1024,0.15549999999999997
Where did Super Bowl 50 take place?," The provided context does not specify the exact location of Super Bowl 50, but it states that it was the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985. Therefore, it can be inferred that Super Bowl 50 took place in the San Francisco Bay Area. However, without furt",0.5792,256," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",0.9533,1024,0.3741
Where did Super Bowl 50 take place?," The provided context does not specify the exact location of Super Bowl 50, but it states that it was the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985. Therefore, it can be inferred that Super Bowl 50 took place in the San Francisco Bay Area. However, without furt",0.5792,256," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",0.9533,1024,0.3741
