dataset,condition,chunk_size,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_chroma_mean_score,hcpc_n_strong,hcpc_n_weak,hcpc_n_refined,hcpc_n_merged,hcpc_context_coherence,hcpc_context_token_count,ret_hcpc_n_weak,ret_hcpc_n_refined,hcpc_mean_ce_improvement,hcpc_mean_sim_improvement,ret_hcpc_v2_n_refined,ret_hcpc_v2_n_merged,ret_hcpc_v2_context_coherence,hcpc_refined,hcpc_n_chunks_before,hcpc_n_chunks_after,hcpc_best_sim_before,hcpc_best_sim_after,hcpc_best_ce_before,hcpc_best_ce_after
squad,baseline,1024,3,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The American Football Conference (AFC) champion Denver Broncos represented the AFC at Super Bowl 50.,0.8049,False,faithful,8.44,0.6748,0.6748,0.6748,0.0,3,0.3967,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The National Football Conference (NFC) champion represented by Carolina Panthers at Super Bowl 50.,0.7465,False,faithful,1.17,0.6841,0.6841,0.6841,0.0,3,0.4176,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9459,False,faithful,1.39,0.6562,0.6562,0.6562,0.0,3,0.3872,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,0.69,0.717,0.717,0.717,0.0,3,0.4426,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,1.0,False,faithful,0.25,0.5074,0.5074,0.5074,0.0,3,0.2475,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The theme of Super Bowl 50 was the ""golden anniversary.""",0.7533,False,faithful,0.87,0.5514,0.5514,0.5514,0.0,3,0.2742,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,What day was the game played on?,"February 7, 2016"," The provided context does not specify the day on which the game was played. It only mentions that the Super Bowl Opening Night, where media availabilities took place, was held on February 1, 2016.",0.7878,False,faithful,3.77,0.5273,0.5273,0.5273,0.0,3,0.0546,3.0,0.0,0,0,1.0,288,,,,,,,,,,,,,,
squad,baseline,1024,3,What is the AFC short for?,American Football Conference, I cannot find this information in the provided context. The context does not specify what AFC stands for.,0.6762,False,faithful,1.75,0.4992,0.4992,0.4992,0.0,3,0.0,3.0,0.0,0,0,1.0,144,,,,,,,,,,,,,,
squad,baseline,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The theme of Super Bowl 50 was the ""golden anniversary.""",0.7533,False,faithful,3.86,0.5514,0.5514,0.5514,0.0,3,0.2742,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,What does AFC stand for?,American Football Conference," I cannot find the abbreviation ""AFC"" defined in the provided context. However, in American football, AFC typically stands for the American Football Conference.",0.7538,False,faithful,2.34,0.4753,0.4753,0.4753,0.0,3,0.0,3.0,0.0,0,0,1.0,144,,,,,,,,,,,,,,
squad,baseline,1024,3,What day was the Super Bowl played on?,"February 7, 2016"," I cannot find this information in the provided context. The context only mentions the date when the Super Bowl Opening Night was held, but it does not specify the date of the actual Super Bowl game.",0.7694,False,faithful,3.54,0.7006,0.7006,0.7006,0.0,3,0.4012,3.0,0.0,0,0,1.0,288,,,,,,,,,,,,,,
squad,baseline,1024,3,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,3.84,0.681,0.681,0.681,0.0,3,0.396,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,What venue did Super Bowl 50 take place in?,Levi's Stadium," I cannot find the information about which venue Super Bowl 50 took place in, as the provided context only mentions that Levi's Stadium hosted a Super Bowl in 2014 (which would be Super Bowl 49). The Super Bowl 50 was held at Levi's Stadium on February 7, 2016. However, this information is not included in the provided context.",0.7218,False,faithful,5.66,0.6831,0.6831,0.6831,0.0,3,0.3661,3.0,0.0,0,0,1.0,244,,,,,,,,,,,,,,
squad,baseline,1024,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, California (specifically at Levi's Stadium in the San Francisco Bay Area).",0.9733,False,faithful,4.81,0.6635,0.6635,0.6635,0.0,3,0.4005,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
