model,dataset,chunk_size,top_k,prompt_strategy,question,answer,ground_truth,faithfulness_score,is_hallucination,nli_label,latency_s
mistral,squad,1024,3,cot,Which NFL team represented the AFC at Super Bowl 50?, The Denver Broncos represented the AFC at Super Bowl 50.,Denver Broncos,0.7354,False,faithful,3.55
mistral,squad,1024,3,cot,Which NFL team represented the NFC at Super Bowl 50?, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,Carolina Panthers,0.8891,False,faithful,1.14
mistral,squad,1024,3,cot,Where did Super Bowl 50 take place?," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California",0.9459,False,faithful,2.76
mistral,squad,1024,3,cot,Which NFL team won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,2.4
mistral,squad,1024,3,cot,What color was used to emphasize the 50th anniversary of the Super Bowl?, Gold,gold,1.0,False,faithful,1.59
mistral,squad,1024,3,cot,What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, a theme beyond this gold-themed focus is not specified in the given context.","""golden anniversary""",0.6049,False,faithful,4.08
mistral,squad,1024,3,cot,What day was the game played on?," The game was played on February 1, 2016.","February 7, 2016",0.884,False,faithful,3.97
mistral,squad,1024,3,cot,What is the AFC short for?," The provided context does not specify what AFC stands for, but in the context of American football, AFC typically stands for ""American Football Conference"".",American Football Conference,0.7026,False,faithful,4.06
mistral,squad,1024,3,cot,What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, a more specific theme might have been announced at a later date or through additional sources, and the context does not provide such information.","""golden anniversary""",0.4522,True,hallucinated,8.03
mistral,squad,1024,3,cot,What does AFC stand for?," The context does not provide information about what AFC stands for. However, in American football, AFC typically stands for ""American Football Conference.""",American Football Conference,0.6053,False,faithful,4.18
mistral,squad,1024,3,cot,What day was the Super Bowl played on?," The Super Bowl was played on February 7, 2016.","February 7, 2016",0.8567,False,faithful,4.36
mistral,squad,1024,3,cot,Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,4.6
mistral,squad,1024,3,cot,What venue did Super Bowl 50 take place in?," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",Levi's Stadium,0.6918,False,faithful,4.08
mistral,squad,1024,3,cot,What city did Super Bowl 50 take place in?," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",Santa Clara,0.9421,False,faithful,5.31
mistral,squad,1024,3,cot,"If Roman numerals were used, what would Super Bowl 50 have been called?", Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used.,Super Bowl L,0.5143,False,faithful,5.87
mistral,squad,1024,3,cot,Super Bowl 50 decided the NFL champion for what season?, The National Football League (NFL) champion for the 2015 season was decided in Super Bowl 50.,2015,0.6932,False,faithful,5.89
mistral,squad,1024,3,cot,What year did the Denver Broncos secure a Super Bowl title for the third time?," I cannot find the specific year of the Super Bowl that the Denver Broncos won in the provided context. However, it is known that they won Super Bowl 50, which was held in 2016.",2015,0.6597,False,faithful,4.52
