model,dataset,chunk_size,top_k,prompt_strategy,question,answer,ground_truth,faithfulness_score,is_hallucination,nli_label,latency_s
llama3,squad,512,3,strict,Which NFL team represented the AFC at Super Bowl 50?,The Denver Broncos.,Denver Broncos,0.6985,False,faithful,1.6
llama3,squad,512,3,strict,Which NFL team represented the NFC at Super Bowl 50?,"According to the provided context, the answer is:

Carolina Panthers",Carolina Panthers,0.7197,False,faithful,0.87
llama3,squad,512,3,strict,Where did Super Bowl 50 take place?,"According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California",0.986,False,faithful,2.89
llama3,squad,512,3,strict,Which NFL team won Super Bowl 50?,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,2.14
llama3,squad,512,3,strict,What color was used to emphasize the 50th anniversary of the Super Bowl?,"Gold. According to the context, ""the league emphasized the 'golden anniversary' with various gold-themed initiatives...""",gold,0.7772,False,faithful,3.27
llama3,squad,512,3,strict,What was the theme of Super Bowl 50?,"The theme of Super Bowl 50 was emphasized as the ""golden anniversary"" with various gold-themed initiatives.","""golden anniversary""",0.8111,False,faithful,2.19
llama3,squad,512,3,strict,What day was the game played on?,I cannot find this information in the provided context.,"February 7, 2016",0.5531,False,faithful,2.8
llama3,squad,512,3,strict,What is the AFC short for?,"The answer to this question can be found in the second paragraph of the provided context:

""...the team has continued to set numerous individual, league and franchise records. With the defense carrying the team despite the issues with the offense, the Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs.""

According to this context, the AFC stands for American Football Conference.",American Football Conference,0.7055,False,faithful,5.82
llama3,squad,512,3,strict,What was the theme of Super Bowl 50?,"The theme of Super Bowl 50 was emphasized as the ""golden anniversary"" with various gold-themed initiatives.","""golden anniversary""",0.8111,False,faithful,2.94
llama3,squad,512,3,strict,What does AFC stand for?,"I can answer that! According to the provided context, AFC stands for American Football Conference.",American Football Conference,0.8038,False,faithful,2.8
llama3,squad,512,3,strict,What day was the Super Bowl played on?,"According to the provided context, the Super Bowl was played on February 7, 2016.","February 7, 2016",0.6946,False,faithful,3.26
llama3,squad,512,3,strict,Who won Super Bowl 50?,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,2.12
llama3,squad,512,3,strict,What venue did Super Bowl 50 take place in?,"According to the provided context, Levi's Stadium was awarded the game (Super Bowl) by NFL owners at their spring meetings in Boston on May 21, 2013. Therefore, I can confidently answer that Super Bowl 50 took place in Levi's Stadium.",Levi's Stadium,0.7844,False,faithful,4.86
llama3,squad,512,3,strict,What city did Super Bowl 50 take place in?,"According to the provided context, Super Bowl 50 took place in Santa Clara, California at Levi's Stadium.",Santa Clara,0.9496,False,faithful,3.61
llama3,squad,512,3,strict,"If Roman numerals were used, what would Super Bowl 50 have been called?","According to the provided context, if Roman numerals were used, Super Bowl 50 would have been called ""Super Bowl L"".",Super Bowl L,0.5539,False,faithful,3.44
llama3,squad,512,3,strict,Super Bowl 50 decided the NFL champion for what season?,The answer is: the 2015 season.,2015,0.7723,False,faithful,2.69
