dataset,chunking_strategy,strategy_type,chunk_size_param,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_chroma_mean_score
squad,fixed_512,fixed,512,3,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The American Football Conference (AFC) champion Denver Broncos,0.8487,False,faithful,1.95,0.675,0.6753,0.6745,0.0008,3,0.3501
squad,fixed_512,fixed,512,3,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The National Football Conference (NFC) champion represented by Carolina Panthers at Super Bowl 50.,0.7465,False,faithful,1.55,0.6726,0.6812,0.6555,0.0257,3,0.3453
squad,fixed_512,fixed,512,3,Where did Super Bowl 50 take place?,"Santa Clara, California"," At Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6784,False,faithful,3.49,0.6628,0.6659,0.6567,0.0092,3,0.3257
squad,fixed_512,fixed,512,3,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,2.9,0.705,0.7218,0.6716,0.0501,3,0.4101
squad,fixed_512,fixed,512,3,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold," The text does not specify the color used by the teams during the 50th Super Bowl, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",0.4821,True,hallucinated,4.63,0.665,0.6953,0.6045,0.0908,3,0.3301
squad,fixed_512,fixed,512,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify the exact theme of Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, for a more specific theme, additional information would be needed.",0.6363,False,faithful,3.69,0.5966,0.6045,0.5807,0.0238,3,0.1932
squad,fixed_512,fixed,512,3,What day was the game played on?,"February 7, 2016"," The game was played on February 1, 2016.",0.884,False,faithful,3.42,0.4732,0.5273,0.365,0.1622,3,0.0364
squad,fixed_512,fixed,512,3,What is the AFC short for?,American Football Conference, I cannot find this information in the provided context. The context does not specify what AFC stands for.,0.6762,False,faithful,2.51,0.4377,0.4532,0.4066,0.0466,3,0.0
squad,fixed_512,fixed,512,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify the exact theme of Super Bowl 50, but it does mention that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, for a more specific theme related to the game itself, additional information would be needed.",0.5989,False,faithful,5.56,0.5966,0.6045,0.5807,0.0238,3,0.1932
squad,fixed_512,fixed,512,3,What does AFC stand for?,American Football Conference," I cannot find this information in the provided context. The context only discusses football teams and their Super Bowl appearances, but it does not specify what AFC stands for.",0.5552,False,faithful,3.6,0.3985,0.4003,0.3948,0.0056,3,0.0
squad,fixed_512,fixed,512,3,What day was the Super Bowl played on?,"February 7, 2016"," I cannot find this information in the provided context. The context only mentions that the Super Bowl Opening Night (which is not the actual game) was held on February 1, 2016. It does not specify the day the Super Bowl itself was played.",0.5821,False,faithful,6.42,0.6755,0.7006,0.6253,0.0753,3,0.351
squad,fixed_512,fixed,512,3,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,4.08,0.6607,0.687,0.6081,0.0789,3,0.3215
squad,fixed_512,fixed,512,3,What venue did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,0.5799,False,faithful,3.12,0.6785,0.6831,0.6695,0.0135,3,0.3571
squad,fixed_512,fixed,512,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, California, which is part of the San Francisco Bay Area.",0.9444,False,faithful,5.33,0.6651,0.6672,0.661,0.0062,3,0.3303
squad,fixed_512,fixed,512,3,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl L,0.4909,True,hallucinated,2.89,0.7547,0.7638,0.7367,0.0271,3,0.5094
squad,fixed_512,fixed,512,3,Super Bowl 50 decided the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was determined in Super Bowl 50.,0.713,False,faithful,4.12,0.6824,0.7117,0.624,0.0877,3,0.3649
squad,fixed_512,fixed,512,3,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Denver Broncos made their second Super Bowl appearance in three years, but it does not specify when they won their third Super Bowl title.",0.5604,False,faithful,5.17,0.6743,0.6758,0.6711,0.0047,3,0.3485
squad,fixed_512,fixed,512,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area in California.",0.9543,False,faithful,4.52,0.6651,0.6672,0.661,0.0062,3,0.3303
squad,fixed_512,fixed,512,3,What stadium did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,0.5799,False,faithful,3.59,0.6923,0.6974,0.6823,0.0151,3,0.3847
squad,fixed_512,fixed,512,3,What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10.,0.7851,False,faithful,3.51,0.6129,0.6368,0.5652,0.0716,3,0.2258
