pair_id,dataset,query_index,question,ground_truth,model,backend,seed,set_type,passage_idxs,mean_query_sim,ccs,sim_gap,ccs_gap,overlap,answer,faithfulness_score,is_hallucination,nli_label,latency_s,error
fix01_26c450a6107b,squad,507,What clothing company was a Super Bowl sponsor?,Gap,mistral,ollama,42,high_ccs,"[1, 8, 9]",0.508678,0.633565,0.007034,0.462466,0, I cannot find this information in the provided context. The context does not mention any specific clothing company as a Super Bowl sponsor.,0.7695,False,faithful,7.437,
fix01_26c450a6107b,squad,507,What clothing company was a Super Bowl sponsor?,Gap,mistral,ollama,42,low_ccs,"[3, 6, 12]",0.501644,0.171099,0.007034,0.462466,0, I cannot find this information in the provided context.,0.5531,False,faithful,2.235,
fix01_c3f0d64bf2c3,squad,1255,When did Tesla's father die?,1879,mistral,ollama,42,high_ccs,"[1, 3, 10]",0.615714,0.637846,0.007286,0.286471,1," I cannot find this information in the provided context. The context does mention that Tesla's father was still alive during Tesla's first year at Austrian Polytechnic, but it doesn't specify when he passed away.",0.6252,False,faithful,6.557,
fix01_c3f0d64bf2c3,squad,1255,When did Tesla's father die?,1879,mistral,ollama,42,low_ccs,"[0, 10, 18]",0.608429,0.351375,0.007286,0.286471,1, I cannot find this information in the provided context. The context does not mention when Tesla's father died.,0.6039,False,faithful,3.793,
fix01_11f04d13ba15,squad,695,This was the first time that the Carolina team faced what in the post season?,a deficit.,mistral,ollama,42,high_ccs,"[6, 11, 12]",0.348299,0.743158,0.001582,0.586695,0, The context does not provide information about any specific event or situation that the Carolina team faced for the first time in the post-season.,0.597,False,faithful,5.851,
fix01_11f04d13ba15,squad,695,This was the first time that the Carolina team faced what in the post season?,a deficit.,mistral,ollama,42,low_ccs,"[2, 13, 15]",0.346717,0.156463,0.001582,0.586695,0, A deficit in the entire postseason.,0.5712,False,faithful,3.98,
fix01_86b690485506,squad,2031,What has been the result of this publicity?,increased scrutiny on teacher misconduct,mistral,ollama,42,high_ccs,"[11, 14, 17]",0.210836,0.479485,0.007962,0.658394,0, I cannot find any information in the provided context about the result of the publicity regarding Tesla's accident or his estate seizure by the FBI.,0.4942,True,hallucinated,6.269,
fix01_86b690485506,squad,2031,What has been the result of this publicity?,increased scrutiny on teacher misconduct,mistral,ollama,42,low_ccs,"[4, 10, 19]",0.218797,-0.17891,0.007962,0.658394,0," I cannot find information about the result of the publicity in the provided context. The text discusses various aspects related to Super Bowl advertisements, changes in media day events, and Luther's actions within the Reformation, but it does not provide details about the outcome or impact of the publicity for any of these topics.",0.5957,False,faithful,6.648,
fix01_cce15f557ccc,squad,699,Who scored the first points for Denver?,Brandon McManus,mistral,ollama,42,high_ccs,"[1, 2, 9]",0.509352,0.765633,0.009037,0.562564,1," I cannot find this information in the provided context about who scored the first points for Denver. The context only mentions scores that were made by Anderson and McManus, but not who scored the first points for Denver.",0.8167,False,faithful,6.976,
fix01_cce15f557ccc,squad,699,Who scored the first points for Denver?,Brandon McManus,mistral,ollama,42,low_ccs,"[0, 1, 19]",0.500315,0.203069,0.009037,0.562564,1, Brandon McManus scored the first points for Denver with a 34-yard field goal.,0.8599,False,faithful,4.839,
fix01_30360fe55536,squad,1871,What is the concrete choice typically assumed by most complexity-theoretic theorems?,input encoding,mistral,ollama,42,high_ccs,"[4, 5, 10]",0.561622,0.781652,0.004149,0.510802,1," The provided context does not specify a concrete choice typically assumed by most complexity-theoretic theorems. However, it mentions that these theories focus on classifying computational problems according to their inherent difficulty and quantifying the amount of resources needed to solve them, such as time, storage, communication, number of gates in a circuit, and number of processors. So, it can be inferred that complexity-theoretic theorems typically assume the use of these resources as factors in their analysis.",0.6915,False,faithful,8.703,
fix01_30360fe55536,squad,1871,What is the concrete choice typically assumed by most complexity-theoretic theorems?,input encoding,mistral,ollama,42,low_ccs,"[1, 10, 14]",0.56577,0.270849,0.004149,0.510802,1," The provided context does not specify a concrete choice typically assumed by most complexity-theoretic theorems. However, it mentions that the size of the input in bits is usually taken as the measure for complexity, and the time or space required to solve a problem is calculated as a function of this input size.",0.6536,False,faithful,6.21,
fix01_ca56dd58f99a,squad,1724,Complexity theory seeks to define the relationship between the scale of algorithms with respect to what other variable?,an increase in the input size,mistral,ollama,42,high_ccs,"[9, 13, 16]",0.486633,0.668281,0.002781,0.364503,0," Complexity theory seeks to define the relationship between the scale of algorithms with respect to the time or space used by the algorithm (i.e., complexity).",0.6358,False,faithful,4.939,
fix01_ca56dd58f99a,squad,1724,Complexity theory seeks to define the relationship between the scale of algorithms with respect to what other variable?,an increase in the input size,mistral,ollama,42,low_ccs,"[10, 12, 15]",0.489414,0.303778,0.002781,0.364503,0," The context does not explicitly state the variable that complexity theory seeks to define the relationship between the scale of algorithms with respect to, but it can be inferred that this variable is typically the size of the input (n) or time complexity. However, since the context does not specify a particular variable, I cannot definitively answer this question based solely on the provided context.",0.529,False,faithful,7.462,
fix01_eb7c8d237540,squad,2321,Who wrote a resounding letter to the elector praising Luther?,Jerome Schurf,mistral,ollama,42,high_ccs,"[10, 12, 18]",0.510241,0.638473,0.002564,0.396692,0, The provided context does not mention any resounding letter written to the elector praising Luther.,0.6201,False,faithful,6.377,
fix01_eb7c8d237540,squad,2321,Who wrote a resounding letter to the elector praising Luther?,Jerome Schurf,mistral,ollama,42,low_ccs,"[11, 14, 16]",0.507677,0.241781,0.002564,0.396692,0, The context does not provide information about any resounding letter written by someone praising Luther to the elector.,0.8312,False,faithful,4.624,
fix01_309833205de9,squad,1418,"What took place in his lab in 1895, causing him to lose thousands of dollars of data and tools? ",5th Avenue laboratory fire of March 1895,mistral,ollama,42,high_ccs,"[0, 7, 8]",0.407405,0.701827,0.004562,0.41368,1," The provided context states that ""much of Tesla's early research—hundreds of invention models, plans, notes, laboratory data, tools, photographs, valued at $50,000—was lost in the 5th Avenue laboratory fire of March 1895.""",0.4761,True,hallucinated,7.72,
fix01_309833205de9,squad,1418,"What took place in his lab in 1895, causing him to lose thousands of dollars of data and tools? ",5th Avenue laboratory fire of March 1895,mistral,ollama,42,low_ccs,"[0, 5, 14]",0.411967,0.288147,0.004562,0.41368,1," The provided context states that ""much of Tesla's early research—hundreds of invention models, plans, notes, laboratory data, tools, photographs, valued at $50,000—was lost in the 5th Avenue laboratory fire of March 1895.""",0.4761,True,hallucinated,6.396,
fix01_4f1e15899ff9,squad,2373,What did Luther write as an outline of the new faith?,two catechisms,mistral,ollama,42,high_ccs,"[1, 5, 8]",0.616895,0.735071,0.014169,0.320666,1," The text does not provide information about Luther writing an outline of a new faith. However, it does mention that Luther began to teach that salvation or redemption is a gift of God's grace, attainable only through faith in Jesus as the Messiah, and he considered justification by faith alone as the chief article of the whole Christian doctrine.",0.5901,False,faithful,10.305,
fix01_4f1e15899ff9,squad,2373,What did Luther write as an outline of the new faith?,two catechisms,mistral,ollama,42,low_ccs,"[3, 5, 10]",0.602726,0.414405,0.014169,0.320666,1," The provided context does not mention Luther writing an outline of the new faith. However, it does describe his teachings on justification, predestination, and the nature of righteousness in Christians, which are central to the new faith he advocated for within the Reformation.",0.5346,False,faithful,8.881,
fix01_0ea7842f88d9,squad,930,What kingdom annexed Warsaw in 1796?,Prussia,mistral,ollama,42,high_ccs,"[11, 16, 18]",0.439137,0.674271,0.001594,0.424341,1," I cannot find this information in the provided context. The context does not provide any details about a kingdom that annexed Warsaw in 1795, as stated in your question.",0.6391,False,faithful,7.41,
fix01_0ea7842f88d9,squad,930,What kingdom annexed Warsaw in 1796?,Prussia,mistral,ollama,42,low_ccs,"[13, 16, 19]",0.437542,0.249929,0.001594,0.424341,1, I cannot find this information in the provided context. The context does not mention any specific kingdom that annexed Warsaw in 1796.,0.6783,False,faithful,7.306,
fix01_867718e9a234,squad,2386,What began in 1527 when Luther introdued the new order of worship?,visitation of the Electorate,mistral,ollama,42,high_ccs,"[11, 15, 18]",0.531614,0.67997,0.002432,0.329641,1, I cannot find this information in the provided context as it does not mention any event that began in 1527 regarding a new order of worship by Luther.,0.4029,True,hallucinated,7.99,
fix01_867718e9a234,squad,2386,What began in 1527 when Luther introdued the new order of worship?,visitation of the Electorate,mistral,ollama,42,low_ccs,"[11, 12, 17]",0.534046,0.350328,0.002432,0.329641,1, I cannot find this information in the provided context. The context does not mention any new order of worship introduced by Luther in 1527.,0.6732,False,faithful,5.642,
fix01_e95e623b0027,squad,1984,What class sizes can make keeping order difficult?,40 to 50 students,mistral,ollama,42,high_ccs,"[7, 11, 16]",0.245557,0.631822,0.002398,0.74313,0," The context does not provide information about class sizes that might make keeping order difficult. However, it suggests that some teachers in Japan find their students unmanageable, but this is not directly linked to class size.",0.5299,False,faithful,6.893,
fix01_e95e623b0027,squad,1984,What class sizes can make keeping order difficult?,40 to 50 students,mistral,ollama,42,low_ccs,"[4, 14, 18]",0.243158,-0.111308,0.002398,0.74313,0," I cannot find this information in the provided context as it does not pertain to class sizes, problem complexity, or computational problems. The context discusses concepts related to computer science and education, but not classroom management or class size.",0.6855,False,faithful,7.956,
fix01_09931c8df3d2,squad,1679,How many other important people sent letters?,more than 70,mistral,ollama,42,high_ccs,"[1, 10, 19]",0.224679,0.539752,0.002673,0.674817,0, The context only mentions Albert Einstein sending a congratulatory letter. No information is provided about any other important people sending letters.,0.8207,False,faithful,6.786,
fix01_09931c8df3d2,squad,1679,How many other important people sent letters?,more than 70,mistral,ollama,42,low_ccs,"[2, 5, 15]",0.222006,-0.135065,0.002673,0.674817,0," The provided context only mentions Nikola Tesla sending letters, specifically over 50 letters to J.P. Morgan. No other important people are mentioned as sending letters in this context.",0.8622,False,faithful,9.8,
fix01_4265a77fda33,squad,1193,What year did Tesla die? ,1943,mistral,ollama,42,high_ccs,"[3, 6, 16]",0.591915,0.598002,0.003828,0.264139,0, I cannot find this information in the provided context as it does not mention the year Tesla died.,0.748,False,faithful,6.958,
fix01_4265a77fda33,squad,1193,What year did Tesla die? ,1943,mistral,ollama,42,low_ccs,"[4, 9, 13]",0.588087,0.333863,0.003828,0.264139,0, I cannot find this information in the provided context as it does not mention the year Tesla died.,0.748,False,faithful,5.946,
fix01_85a14992364a,squad,2329,Besides the radicals who else did Luther have to deal with?,established Church,mistral,ollama,42,high_ccs,"[12, 13, 15]",0.549772,0.632424,0.001705,0.322191,1," The provided context does not mention any other groups that Luther had to deal with besides the Catholic Church and its doctrines. However, it's important to note that Luther's teachings were controversial and led to a significant split within Christianity, giving rise to the Protestant Reformation. Other figures who were part of this movement include Ulrich Zwingli, John Calvin, and Huldrych Zwingli, among others. But these are not explicitly mentioned in the provided context.",0.621,False,faithful,15.445,
