candidate_size,candidate_position,source_row_index,row_id,pair_id,input_digest,condition,dataset,seed,generator_model,source_sha256
300,0,139,crj_e78d8188ef7c5053e5520570,crjp_23bfd28ac230939238363af4,e78d8188ef7c5053e5520570ab20d910c826670ff194858092f78b29f1a180e2,baseline,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,1,339,crj_42e101ab821e980cc90bca49,crjp_23bfd28ac230939238363af4,42e101ab821e980cc90bca49347aff5bba56e6fb77ec1bd9780ee5b0f081b676,hcpc_v1,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,2,539,crj_b8d67a4a40f551a4275944a4,crjp_23bfd28ac230939238363af4,b8d67a4a40f551a4275944a41b614789a9468bf7381e42efff58dccc67451744,hcpc_v2,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,3,135,crj_90b3fe4a1eeee403d36e1f45,crjp_909094e02aa1595c81d1a03d,90b3fe4a1eeee403d36e1f4537f0fdddb2f4ffd4e141eea4d29551828d273edf,baseline,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,4,335,crj_adc146e195fa5a96f7617636,crjp_909094e02aa1595c81d1a03d,adc146e195fa5a96f76176367b771c0b179a3274d9e0e6af835cc0155eb98b5e,hcpc_v1,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,5,535,crj_027b6412dfccf81ee37edd26,crjp_909094e02aa1595c81d1a03d,027b6412dfccf81ee37edd2603c8e2a6345e3383a52e5c3c131ee8d9c70ea117,hcpc_v2,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,6,9,crj_1b793f9e417ec97dcfb81e36,crjp_794fde486a31b44cbfc83e33,1b793f9e417ec97dcfb81e367f23388cbc0ae19ce2bf068bdbf8dbf4d0108f35,baseline,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,7,209,crj_c1a9fbeb0206c79ddbb87e5e,crjp_794fde486a31b44cbfc83e33,c1a9fbeb0206c79ddbb87e5e399b8923a8df4004df2b82c8db0882c73368b4e5,hcpc_v1,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,8,409,crj_0c35baba7702ed83924a3222,crjp_794fde486a31b44cbfc83e33,0c35baba7702ed83924a3222a85941603b08aaa2a7b895a353735830c2d364eb,hcpc_v2,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,9,84,crj_cb3647c0ca03a103db542c9d,crjp_5635e2a6e28b9c6e1fe270db,cb3647c0ca03a103db542c9d8cfda6c061dc85861b3699d189aaf4124b1d50bf,baseline,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,10,284,crj_9a51b761d556865dcd770b21,crjp_5635e2a6e28b9c6e1fe270db,9a51b761d556865dcd770b21d58a15ca54d2fc376b285464a9a0d12b3f5b619f,hcpc_v1,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,11,484,crj_7c42c40385e992c1f924a92c,crjp_5635e2a6e28b9c6e1fe270db,7c42c40385e992c1f924a92c4423fa081453d06ace2a5061d08e9ddb28f6a865,hcpc_v2,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,12,142,crj_c1af76306aedb9ee814c26e1,crjp_6a5f93a1877cd49ba53eed69,c1af76306aedb9ee814c26e1072fc5e586914e312c1cda37c84e9143371309a0,baseline,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,13,342,crj_ce4a1c14ef0ff5aab5de042d,crjp_6a5f93a1877cd49ba53eed69,ce4a1c14ef0ff5aab5de042da07653d754e7e542772b7f096e5775b40de03cb4,hcpc_v1,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,14,542,crj_5c1240e02131cb4c2a6cc172,crjp_6a5f93a1877cd49ba53eed69,5c1240e02131cb4c2a6cc172448d5b0af62a3d96d2fdd2d4469c44fbe5a2bb81,hcpc_v2,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,15,181,crj_c7aa3eebf3737d0f02ffdf1a,crjp_98aa49f36bb7ade2ce4b61fc,c7aa3eebf3737d0f02ffdf1a717e7ff91769e78ea05a611c479b509934b00624,baseline,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,16,381,crj_e52fea0a7d263c4d558a5459,crjp_98aa49f36bb7ade2ce4b61fc,e52fea0a7d263c4d558a54596d8d2653234d74d99508c73a4c8e94238230bbf6,hcpc_v1,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,17,581,crj_685c8335e82dbf1cbff5f7b6,crjp_98aa49f36bb7ade2ce4b61fc,685c8335e82dbf1cbff5f7b6318e6807ac3d51436c7cfaea3dca240e2062992f,hcpc_v2,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,18,49,crj_83142a07e2ebdd67351fb634,crjp_5a8090da27f48741103e9235,83142a07e2ebdd67351fb6348cadf9ef7fbf65bd39d17fa6aaf1ec5438943a75,baseline,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,19,249,crj_9a17b3707310fc5916b6c846,crjp_5a8090da27f48741103e9235,9a17b3707310fc5916b6c846ccbaee390ab95eb0b8ee73ab698b7ce6860cd91e,hcpc_v1,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,20,449,crj_f07629bf34ac8b01fd2bc8d7,crjp_5a8090da27f48741103e9235,f07629bf34ac8b01fd2bc8d75d7746961a468ab1c2f40f2b859b9ec0d6c910eb,hcpc_v2,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
300,21,189,crj_4e505b79b063d588aff20958,crjp_431fe049caac05ee14c10dbe,4e505b79b063d588aff20958836d4ca70f971d13d059dcb5efd92eebbad0274c,baseline,squad,41,mistral,78348a4a786434fbf5aa42e1179f7c81aae7695eaee4e876d145aa3cb1a575f4
