question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,dataset,model
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The Denver Broncos represented the AFC at Super Bowl 50.,baseline,0.7354,False,0.6528,False,-1.0,squad,qwen2.5
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The American Football Conference (AFC) champion Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v1,0.8049,False,0.6494,False,-1.0,squad,qwen2.5
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v2,0.7354,False,0.6528,False,0.5818,squad,qwen2.5
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The Carolina Panthers represented the NFC at Super Bowl 50.,baseline,0.813,False,0.6629,False,-1.0,squad,qwen2.5
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6336,False,-1.0,squad,qwen2.5
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The Carolina Panthers represented the NFC at Super Bowl 50.,hcpc_v2,0.813,False,0.6629,False,0.5818,squad,qwen2.5
Where did Super Bowl 50 take place?,"Santa Clara, California","Super Bowl 50 was played at Levi's Stadium in the San Francisco Bay Area, Santa Clara, California.",baseline,0.9404,False,0.6594,False,-1.0,squad,qwen2.5
Where did Super Bowl 50 take place?,"Santa Clara, California","The context does not provide specific information about where Super Bowl 50 took place. However, it mentions that this was the first Super Bowl held in the San Francisco Bay Area since 1985 and the first in California since 2003. Based on this, we can infer that Super Bowl 50 took place in the San Francisco Bay Area, likely in a venue such as Levi's Stadium in Santa Clara, California.",hcpc_v1,0.7389,False,0.6198,False,-1.0,squad,qwen2.5
Where did Super Bowl 50 take place?,"Santa Clara, California","Super Bowl 50 was played at Levi's Stadium in the San Francisco Bay Area, specifically in Santa Clara, California.",hcpc_v2,0.9636,False,0.6594,False,0.6125,squad,qwen2.5
Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50 by defeating the Carolina Panthers with a score of 24–10.,baseline,0.9536,False,0.6974,False,-1.0,squad,qwen2.5
Which NFL team won Super Bowl 50?,Denver Broncos,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.662,False,-1.0,squad,qwen2.5
Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50 by defeating the Carolina Panthers with a score of 24–10.,hcpc_v2,0.9536,False,0.6974,False,0.5818,squad,qwen2.5
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"Gold was used to emphasize the 50th anniversary of the Super Bowl. This can be seen from various gold-themed initiatives mentioned, such as gold-tinted logos, gold-colored numbering on fields, and gold-trimmed jackets and hats.",baseline,0.7386,False,0.532,False,-1.0,squad,qwen2.5
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"Gold was used to emphasize the 50th anniversary of the Super Bowl. This is evident from phrases like ""gold-themed initiatives"" and ""gold-tinted logos.""",hcpc_v1,0.7346,False,0.6462,False,-1.0,squad,qwen2.5
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"Gold was used to emphasize the 50th anniversary of the Super Bowl. This is evident from the context which mentions various gold-themed initiatives and decorations for the ""Golden Super Bowl.""",hcpc_v2,0.6536,False,0.5273,True,0.593,squad,qwen2.5
