question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,dataset,model
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,"I cannot find this information in the provided context. The context mentions that Vice-Admiral Iqbal Fazl Quadir participated in an attack on a radar station in Dwarka, India during the second war with India, but it does not specify the location as being on the western shore of the Okhamandal Peninsula.",baseline,0.5744,False,0.5519,False,-1.0,hotpotqa,qwen2.5
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.5066,False,-1.0,hotpotqa,qwen2.5
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,"I cannot find this information in the provided context. The context mentions that Vice-Admiral Iqbal Fazl Quadir participated in attacking a radar station in Dwarka, India during the second war with India, but it does not specify the location as being on the western shore of the Okhamandal Peninsula.",hcpc_v2,0.577,False,0.5519,True,0.1075,hotpotqa,qwen2.5
When did the park at which Tivolis Koncertsal is located open?,15 August 1843,Tivoli Gardens opened on 15 August 1843.,baseline,0.6426,False,0.6959,False,-1.0,hotpotqa,qwen2.5
When did the park at which Tivolis Koncertsal is located open?,15 August 1843,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6628,False,-1.0,hotpotqa,qwen2.5
When did the park at which Tivolis Koncertsal is located open?,15 August 1843,Tivoli Gardens opened on 15 August 1843.,hcpc_v2,0.6426,False,0.6959,False,0.6048,hotpotqa,qwen2.5
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,"The shared country of ancestry between Art Laboe and Scout Tufankjian is America. Both are described as Armenian-American, indicating they have Armenian heritage and are American citizens or residents.",baseline,0.8297,False,0.4983,False,-1.0,hotpotqa,qwen2.5
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,"The shared country of ancestry between Art Laboe and Scout Tufankjian is America. Both are described as Armenian-American, indicating they have Armenian heritage and are American citizens or residents.",hcpc_v1,0.8297,False,0.4723,False,-1.0,hotpotqa,qwen2.5
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,"The shared country of ancestry between Art Laboe and Scout Tufankjian is America. Both are described as Armenian-American, indicating they share American citizenship or residency alongside their Armenian heritage.",hcpc_v2,0.8386,False,0.4983,False,0.1153,hotpotqa,qwen2.5
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,"The school in which the Wilmslow Show is held is designated as ""good"" by Ofsted.",baseline,0.7278,False,0.7334,False,-1.0,hotpotqa,qwen2.5
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,The school in which the Wilmslow Show is held is designated as a Centre of Excellence.,hcpc_v1,0.66,False,0.7498,False,-1.0,hotpotqa,qwen2.5
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,"The school in which the Wilmslow Show is held is designated as ""good"" by Ofsted.",hcpc_v2,0.7278,False,0.7334,False,0.5539,hotpotqa,qwen2.5
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,I cannot find this information in the provided context.,baseline,0.5531,False,0.4989,False,-1.0,hotpotqa,qwen2.5
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,"Billy Howle will be seen opposite Saoirse Ronan in the upcoming British drama film ""On Chesil Beach,"" which is directed by Dominic Cooke.",hcpc_v1,0.7509,False,0.5009,False,-1.0,hotpotqa,qwen2.5
Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.4989,True,0.2601,hotpotqa,qwen2.5
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,I cannot find this information in the provided context.,baseline,0.5531,False,0.3951,False,-1.0,hotpotqa,qwen2.5
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.3915,False,-1.0,hotpotqa,qwen2.5
"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.3951,False,0.1147,hotpotqa,qwen2.5
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,I cannot find this information in the provided context.,baseline,0.5531,False,0.7362,False,-1.0,hotpotqa,qwen2.5
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.7012,False,-1.0,hotpotqa,qwen2.5
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.7362,False,0.8188,hotpotqa,qwen2.5
Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,"Tommy's Honour was a drama film that included the actor Jack Lowden, who found success with the 2016 BBC miniseries ""War & Peace"".",baseline,0.6195,False,0.5788,False,-1.0,hotpotqa,qwen2.5
Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,I cannot find this information in the provided context. The context does not mention any specific actor or their previous success with a 2016 BBC miniseries before Tommy's Honour.,hcpc_v1,0.3683,True,0.5927,False,-1.0,hotpotqa,qwen2.5
Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,"Tommy's Honour was a drama film that included the actor Jack Lowden, who found success with the 2016 BBC miniseries ""War & Peace"".",hcpc_v2,0.6195,False,0.5788,False,0.1865,hotpotqa,qwen2.5
"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,Midnight Oil chose its name by drawing it out of a hat.,baseline,0.6932,False,0.5598,False,-1.0,hotpotqa,qwen2.5
"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.5753,False,-1.0,hotpotqa,qwen2.5
