question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,dataset,model
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla," The provided context does not specify the type or location of the radar station that Vice-Admiral Iqbal Fazl Quadir attacked during the second war with India. However, it mentions his participation in an attack on a radar station located on the western shore of the Okhamandal Peninsula, which is different from the Mukachevo and Sevastopol radar stations mentioned in the other context.",baseline,0.7944,False,0.5217,False,-1.0,hotpotqa,mistral
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla, I cannot find this information in the provided context about Vice-Admiral Iqbal Fazl Quadir participating in an attack on a radar station located on the western shore of the Okhamandal Peninsula. The context only provides information about radar stations in Ukraine and does not mention any involvement of Vice-Admiral Iqbal Fazl Quadir in such an event.,hcpc_v1,0.6042,False,0.5011,False,-1.0,hotpotqa,mistral
What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla," The provided context does not specify the type or location of the radar station that Vice-Admiral Iqbal Fazl Quadir attacked during the second war with India. However, it mentions his participation in an attack on a radar station located on the western shore of the Okhamandal Peninsula, which is different from the Mukachevo and Sevastopol radar stations mentioned in the other context.",hcpc_v2,0.7944,False,0.5217,True,0.1812,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843," The park at which Tivolis Koncertsal is located opened on August 15, 1843.",baseline,0.4984,True,0.6046,False,-1.0,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843," I cannot find this information in the provided context. The context only mentions that Tivolis Koncertsal was built between 1954 and 1956, but it does not provide any details about when Tivoli Gardens, the amusement park where the concert hall is located, opened.",hcpc_v1,0.5444,False,0.5715,False,-1.0,hotpotqa,mistral
When did the park at which Tivolis Koncertsal is located open?,15 August 1843," The park at which Tivolis Koncertsal is located opened on August 15, 1843.",hcpc_v2,0.4984,True,0.6046,False,0.4606,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian," Both Art Laboe and Scout Tufankjian share Armenian ancestry, as stated in their respective descriptions in the provided context.",baseline,0.757,False,0.4265,False,-1.0,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian," Both Art Laboe and Scout Tufankjian are of Armenian ancestry, as stated in their respective descriptions.",hcpc_v1,0.8528,False,0.4105,False,-1.0,hotpotqa,mistral
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian," Both Art Laboe and Scout Tufankjian share Armenian ancestry, as stated in their respective descriptions in the provided context.",hcpc_v2,0.757,False,0.4265,True,0.1252,hotpotqa,mistral
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence," The context does not provide information about any designation of the school (Wilmslow High School) other than it being a mixed-sex 11–18 comprehensive secondary school and a designated Centre of Excellence. It is also noted that Dr. James Pullé is the head teacher, but no specific designation for the school is mentioned in relation to the Wilmslow Show.",baseline,0.5667,False,0.5763,False,-1.0,hotpotqa,mistral
The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence, A Centre of Excellence,hcpc_v1,0.4903,True,0.5997,False,-1.0,hotpotqa,mistral
