question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,dataset,model
when did the lion king start on broadway,"November 13, 1997","I cannot find this information in the provided context. The context mentions when The Lion King started in the West End, but there is no information about its debut on Broadway.",baseline,0.4436,True,0.6591,False,-1.0,naturalqs,qwen2.5
when did the lion king start on broadway,"November 13, 1997",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.634,False,-1.0,naturalqs,qwen2.5
when did the lion king start on broadway,"November 13, 1997","I cannot find this information in the provided context. The context mentions when The Lion King started in the West End, but does not provide information about its Broadway debut date.",hcpc_v2,0.5571,False,0.6591,False,0.5696,naturalqs,qwen2.5
what was the key factor that allowed hershey and chase,The results of the Avery–MacLeod–McCarty experiment,"The key factor that allowed Hershey and Chase to determine that DNA, rather than protein, is the genetic material was their observation that when bacteriophages infect bacteria, their DNA enters the host bacterial cell, but most of their protein does not. This experiment helped to confirm that DNA, and not proteins, is responsible for carrying genetic information.",baseline,0.5745,False,0.5171,False,-1.0,naturalqs,qwen2.5
what was the key factor that allowed hershey and chase,The results of the Avery–MacLeod–McCarty experiment,I cannot find this information in the provided context. The given text does not specify the key factor that allowed Hershey and Chase to conclude their conclusion about DNA being the hereditary genetic material.,hcpc_v1,0.4938,True,0.5909,False,-1.0,naturalqs,qwen2.5
what was the key factor that allowed hershey and chase,The results of the Avery–MacLeod–McCarty experiment,"The key factor that allowed Hershey and Chase to determine that DNA, rather than protein, is the genetic material was their observation that when bacteriophages infect bacteria, their DNA enters the host bacterial cell, but most of their protein does not. This experiment helped to confirm that DNA, and not protein, is responsible for carrying genetic information.",hcpc_v2,0.5677,False,0.5171,True,0.6662,naturalqs,qwen2.5
what observation led to the theory of seafloor spreading,"magnetic stripe ""anomalies"" on the ocean floor",The observation that led to the theory of seafloor spreading was the idea that the seafloor itself moves (and also carries the continents with it) as it expands from a central axis. This concept was proposed by Harry Hess from Princeton University in the 1960s.,baseline,0.713,False,0.7624,False,-1.0,naturalqs,qwen2.5
what observation led to the theory of seafloor spreading,"magnetic stripe ""anomalies"" on the ocean floor",I cannot find this information in the provided context. The given text does not specify what observation led to the theory of seafloor spreading. It only mentions that Harry Hess proposed the idea in the 1960s.,hcpc_v1,0.6074,False,0.8042,False,-1.0,naturalqs,qwen2.5
what observation led to the theory of seafloor spreading,"magnetic stripe ""anomalies"" on the ocean floor",The observation that led to the theory of seafloor spreading was the idea that the seafloor itself moves (and also carries the continents with it) as it expands from a central axis. This concept was proposed by Harry Hess from Princeton University in the 1960s.,hcpc_v2,0.713,False,0.7624,False,0.8245,naturalqs,qwen2.5
when was coffee first made into a drink,the 15th century,"The earliest substantiated evidence of either coffee drinking or knowledge of the coffee tree is from the 15th century, in the Sufi monasteries of Yemen. According to a story, an Ethiopian goatherd named Kaldi discovered coffee berries could invigorate his goats. His excitement led him to share this with a monk at a nearby monastery, who later roasted and ground the beans before brewing them in hot water—yielding what is considered the world's first cup of coffee. However, it's noted that this story likely dates from 1671 and may be apocryphal.",baseline,0.5955,False,0.6405,False,-1.0,naturalqs,qwen2.5
