question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,dataset,model
What colour cat is a Russian Blue?,Grey,"A Russian Blue can come in colors varying from a light shimmering silver to a darker, slate grey. The color is generally described as bluish-gray.",baseline,0.6676,False,0.8196,False,-1.0,triviaqa,qwen2.5
What colour cat is a Russian Blue?,Grey,"A Russian Blue can come in colors varying from a light shimmering silver to a darker, slate grey. The color is generally described as bluish-gray.",hcpc_v1,0.6676,False,0.8196,False,-1.0,triviaqa,qwen2.5
What colour cat is a Russian Blue?,Grey,"A Russian Blue can come in colors varying from a light shimmering silver to a darker, slate grey.",hcpc_v2,0.6558,False,0.8196,False,0.7494,triviaqa,qwen2.5
"Vijay Singh, a US Masters champion, comes from where?",Fiji,"Vijay Singh was born in Lautoka, Fiji and grew up in Nadi.",baseline,0.7248,False,0.6044,False,-1.0,triviaqa,qwen2.5
"Vijay Singh, a US Masters champion, comes from where?",Fiji,I cannot find this information in the provided context. The context mentions that Vijay Singh won the PGA Championship but does not mention whether he was a US Masters champion or his origin place.,hcpc_v1,0.668,False,0.5654,False,-1.0,triviaqa,qwen2.5
"Vijay Singh, a US Masters champion, comes from where?",Fiji,"Vijay Singh was born in Lautoka, Fiji and grew up in Nadi.",hcpc_v2,0.7248,False,0.6044,False,0.5036,triviaqa,qwen2.5
What is the name of the backing band for noted bluesman Stevie Ray Vaughan?,Double Trouble,I cannot find this information in the provided context. The context does not mention any specific backing band for Stevie Ray Vaughan.,baseline,0.7614,False,0.6794,False,-1.0,triviaqa,qwen2.5
What is the name of the backing band for noted bluesman Stevie Ray Vaughan?,Double Trouble,"The context provided does not mention any specific backing band for Stevie Ray Vaughan. Therefore, I cannot find this information in the provided context.",hcpc_v1,0.7497,False,0.6756,False,-1.0,triviaqa,qwen2.5
What is the name of the backing band for noted bluesman Stevie Ray Vaughan?,Double Trouble,"The context provided does not mention any specific backing band for Stevie Ray Vaughan. Therefore, I cannot find this information in the provided context.",hcpc_v2,0.7497,False,0.6792,True,0.5986,triviaqa,qwen2.5
Who was the first Olympic heavyweight boxing gold medallist to become world professional heavyweight boxing champion?,(Joe) FRAZIER,I cannot find this information in the provided context.,baseline,0.5531,False,0.4595,False,-1.0,triviaqa,qwen2.5
Who was the first Olympic heavyweight boxing gold medallist to become world professional heavyweight boxing champion?,(Joe) FRAZIER,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.4754,False,-1.0,triviaqa,qwen2.5
Who was the first Olympic heavyweight boxing gold medallist to become world professional heavyweight boxing champion?,(Joe) FRAZIER,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.4572,True,0.4703,triviaqa,qwen2.5
Which British city is served by Eastleigh airport?,Southampton,I cannot find this information in the provided context.,baseline,0.5531,False,0.579,False,-1.0,triviaqa,qwen2.5
Which British city is served by Eastleigh airport?,Southampton,"I cannot find this information in the provided context. The context mentions that there was an airfield named RAF Eastleigh in Kenya, but it does not specify which British city might be served by an ""Eastleigh airport.""",hcpc_v1,0.4596,True,0.6107,False,-1.0,triviaqa,qwen2.5
