question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,temperature,backend,model
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,baseline,0.7354,False,0.6027,False,-1.0,3.94,squad,0.7,ollama,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v1,0.8579,False,0.6602,False,-1.0,1.77,squad,0.7,ollama,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v2,0.8579,False,0.6025,True,0.5463,4.4,squad,0.7,ollama,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,baseline,0.8891,False,0.6001,False,-1.0,1.98,squad,0.7,ollama,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers," I cannot find this information in the provided context. The context only mentions that the Carolina Panthers have made eight appearances in the Super Bowl, and that they were coached by John Fox in their last Super Bowl appearance prior to Super Bowl 50. It does not specify which Super Bowls they participated in or which conference they represented. To determine which NFL team represented the NFC at Super Bowl 50, additional context or information is needed.",hcpc_v1,0.584,False,0.6188,False,-1.0,4.77,squad,0.7,ollama,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v2,0.8891,False,0.5991,True,0.5853,4.0,squad,0.7,ollama,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context states that Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",baseline,0.9928,False,0.6432,False,-1.0,2.3,squad,0.7,ollama,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California", San Francisco Bay Area,hcpc_v1,0.4784,True,0.6279,False,-1.0,1.23,squad,0.7,ollama,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9533,False,0.6432,False,0.5722,3.26,squad,0.7,ollama,mistral
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6554,False,-1.0,2.1,squad,0.7,ollama,mistral
Which NFL team won Super Bowl 50?,Denver Broncos," The Broncos, as they took an early lead in Super Bowl 50 and never trailed.",hcpc_v1,0.254,True,0.6259,False,-1.0,1.6,squad,0.7,ollama,mistral
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6554,False,0.5701,3.1,squad,0.7,ollama,mistral
