question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,temperature,backend,model
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,baseline,0.7354,False,0.6027,False,-1.0,6.89,squad,0.0,ollama,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v1,0.8579,False,0.6602,False,-1.0,1.78,squad,0.0,ollama,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v2,0.8579,False,0.6025,True,0.5463,3.87,squad,0.0,ollama,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,baseline,0.8891,False,0.6001,False,-1.0,1.86,squad,0.0,ollama,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers," I cannot find this information in the provided context. The context only mentions that the team that played against the Denver Broncos in Super Bowl 50 was one of four teams to have made eight appearances in the Super Bowl, and that both teams were coached by John Fox in their last Super Bowl appearance prior to Super Bowl 50. It does not specify which team represented the NFC or AFC at Super Bowl 50.",hcpc_v1,0.5047,False,0.6188,False,-1.0,4.62,squad,0.0,ollama,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v2,0.8891,False,0.5991,True,0.5853,3.41,squad,0.0,ollama,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",baseline,0.9533,False,0.6432,False,-1.0,2.28,squad,0.0,ollama,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context does not specify the exact location where Super Bowl 50 took place. However, it is mentioned that it was held in the San Francisco Bay Area, and no other location is given.",hcpc_v1,0.6674,False,0.6279,False,-1.0,3.11,squad,0.0,ollama,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9533,False,0.6432,False,0.5722,3.27,squad,0.0,ollama,mistral
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6554,False,-1.0,1.95,squad,0.0,ollama,mistral
Which NFL team won Super Bowl 50?,Denver Broncos, The Broncos,hcpc_v1,0.7276,False,0.6259,False,-1.0,0.78,squad,0.0,ollama,mistral
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6554,False,0.5701,2.73,squad,0.0,ollama,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,baseline,1.0,False,0.5495,False,-1.0,1.17,squad,0.0,ollama,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v1,1.0,False,0.6032,False,-1.0,1.01,squad,0.0,ollama,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v2,1.0,False,0.5495,True,0.43,2.12,squad,0.0,ollama,mistral
