question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,temperature,backend,model
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,baseline,0.8579,False,0.6027,False,-1.0,4.12,squad,1.0,ollama,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, Denver Broncos,hcpc_v1,0.5925,False,0.6602,False,-1.0,0.99,squad,1.0,ollama,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v2,0.8579,False,0.6025,True,0.5463,4.32,squad,1.0,ollama,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,baseline,0.8891,False,0.6001,False,-1.0,1.95,squad,1.0,ollama,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers," I cannot find the name of the NFL team that represented the NFC at Super Bowl 50 directly in the provided context, but we can infer it since the Panthers played against the Broncos who represented the AFC. The Panthers are a part of the NFC as they were coached by John Fox (in their last Super Bowl appearance prior to Super Bowl 50) and the Panthers have made eight appearances in the Super Bowl, just like four other teams mentioned (including Dallas Cowboys and Pittsburgh Steelers).",hcpc_v1,0.4784,True,0.6188,False,-1.0,5.47,squad,1.0,ollama,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The Carolina Panthers represented the NFC at Super Bowl 50.,hcpc_v2,0.813,False,0.5991,True,0.5853,3.75,squad,1.0,ollama,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",baseline,0.9533,False,0.6432,False,-1.0,2.11,squad,1.0,ollama,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context does not specify the exact location where Super Bowl 50 took place. However, it was held in the San Francisco Bay Area as stated in the first sentence of the context you provided.",hcpc_v1,0.8149,False,0.6279,False,-1.0,2.87,squad,1.0,ollama,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.9445,False,0.6432,False,0.5722,3.49,squad,1.0,ollama,mistral
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6554,False,-1.0,2.09,squad,1.0,ollama,mistral
