question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,gate_fired,latency_s,dataset,k,model
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,baseline,0.8579,False,0.5362,False,-1.0,False,10.64,squad,10,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v1,0.7354,False,0.5609,False,-1.0,False,4.92,squad,10,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,ccs_gate,0.7354,False,0.5609,True,0.3735,True,0.99,squad,10,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v2,0.7354,False,0.5536,True,0.4918,False,7.41,squad,10,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,baseline,0.8891,False,0.5371,False,-1.0,False,8.81,squad,10,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v1,0.8891,False,0.5565,False,-1.0,False,5.18,squad,10,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,ccs_gate,0.8891,False,0.5565,True,0.3669,True,1.25,squad,10,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v2,0.8891,False,0.5575,True,0.4026,False,6.67,squad,10,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",baseline,0.9516,False,0.5712,False,-1.0,False,9.09,squad,10,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California", San Francisco Bay Area's Levi's Stadium,hcpc_v1,0.5226,False,0.5727,False,-1.0,False,5.38,squad,10,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California", San Francisco Bay Area's Levi's Stadium,ccs_gate,0.5226,False,0.5727,True,0.2971,True,0.61,squad,10,mistral
