question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,gate_fired,latency_s,dataset,k,model
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,baseline,0.8579,False,0.566,False,-1.0,False,5.88,squad,5,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v1,0.8579,False,0.6151,False,-1.0,False,5.25,squad,5,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,ccs_gate,0.8579,False,0.6151,True,0.4494,True,2.99,squad,5,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v2,0.8579,False,0.5648,True,0.4959,False,11.58,squad,5,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The Carolina Panthers represented the NFC at Super Bowl 50.,baseline,0.813,False,0.5726,False,-1.0,False,6.05,squad,5,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The Panthers represented the NFC at Super Bowl 50.,hcpc_v1,0.8213,False,0.5875,False,-1.0,False,3.56,squad,5,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The Panthers,ccs_gate,0.6947,False,0.5875,True,0.4192,True,0.27,squad,5,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The Carolina Panthers represented the NFC at Super Bowl 50.,hcpc_v2,0.813,False,0.5918,True,0.4291,False,7.11,squad,5,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",baseline,0.9533,False,0.6178,False,-1.0,False,6.18,squad,5,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context does not explicitly state where Super Bowl 50 took place. However, it is implied that it was held in the San Francisco Bay Area since it is mentioned as the first Super Bowl there since Super Bowl XIX in 1985 and the first in California since Super Bowl XXXVII in 2003. The event was also held at SAP Center in San Jose, which suggests that it took place in the San Francisco Bay Area.",hcpc_v1,0.7137,False,0.6174,False,-1.0,False,12.04,squad,5,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context does not specify the exact location where Super Bowl 50 took place. However, it is mentioned that it was held in the San Francisco Bay Area since the last time a Super Bowl was held there was Super Bowl XIX in 1985, and it was the first Super Bowl in California since 2003. Therefore, it can be inferred that Super Bowl 50 likely took place in the San Francisco Bay Area, but the exact location within the area is not specified.",ccs_gate,0.6941,False,0.6174,True,0.3927,True,11.26,squad,5,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context states that Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9928,False,0.6201,True,0.4862,False,8.36,squad,5,mistral
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6163,False,-1.0,False,7.11,squad,5,mistral
Which NFL team won Super Bowl 50?,Denver Broncos," The context does not provide information about which NFL team won Super Bowl 50. However, it is mentioned that the Broncos took an early lead and never trailed, suggesting they might have been the winning team, but this is not confirmed in the provided context.",hcpc_v1,0.748,False,0.6129,False,-1.0,False,6.62,squad,5,mistral
Which NFL team won Super Bowl 50?,Denver Broncos," The context does not provide information about which NFL team won Super Bowl 50. However, it is mentioned that the Broncos took an early lead and never trailed, suggesting they might have won the game. But without explicit confirmation, we cannot be certain.",ccs_gate,0.5177,False,0.6129,True,0.4059,True,6.02,squad,5,mistral
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6142,True,0.445,False,7.63,squad,5,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold was used to emphasize the 50th anniversary of the Super Bowl.,baseline,0.6905,False,0.5299,False,-1.0,False,7.73,squad,5,mistral
