model,dataset,chunk_size,top_k,prompt_strategy,question,answer,ground_truth,faithfulness_score,is_hallucination,nli_label,latency_s
llama3,squad,256,5,cot,Which NFL team represented the AFC at Super Bowl 50?,"According to the provided context, I can answer that the NFL team that represented the AFC at Super Bowl 50 is not explicitly stated. However, since it's mentioned that they joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl, I can infer that this team is likely to be one of those four teams.

However, without further information, I cannot pinpoint which specific team represented the AFC at Super Bowl 50.",Denver Broncos,0.4676,True,hallucinated,6.04
llama3,squad,256,5,cot,Which NFL team represented the NFC at Super Bowl 50?,I cannot find this information in the provided context.,Carolina Panthers,0.5531,False,faithful,1.44
llama3,squad,256,5,cot,Where did Super Bowl 50 take place?,The San Francisco Bay Area.,"Santa Clara, California",0.4359,True,hallucinated,1.71
llama3,squad,256,5,cot,Which NFL team won Super Bowl 50?,I cannot find this information in the provided context.,Denver Broncos,0.5531,False,faithful,1.57
llama3,squad,256,5,cot,What color was used to emphasize the 50th anniversary of the Super Bowl?,"Gold. The league emphasized the ""golden anniversary"" with various gold-themed initiatives.",gold,0.8495,False,faithful,2.6
llama3,squad,256,5,cot,What was the theme of Super Bowl 50?,I cannot find this information in the provided context.,"""golden anniversary""",0.5531,False,faithful,1.57
llama3,squad,256,5,cot,What day was the game played on?,"The game was played on February 7, 2016.","February 7, 2016",0.8967,False,faithful,3.57
llama3,squad,256,5,cot,What is the AFC short for?,The AFC is short for American Football Conference.,American Football Conference,0.9301,False,faithful,2.05
llama3,squad,256,5,cot,What was the theme of Super Bowl 50?,I cannot find this information in the provided context.,"""golden anniversary""",0.5531,False,faithful,1.27
llama3,squad,256,5,cot,What does AFC stand for?,The answer is: American Football Conference.,American Football Conference,0.754,False,faithful,2.1
llama3,squad,256,5,cot,What day was the Super Bowl played on?,I cannot find this information in the provided context.,"February 7, 2016",0.5531,False,faithful,2.53
llama3,squad,256,5,cot,Who won Super Bowl 50?,I cannot find this information in the provided context.,Denver Broncos,0.5531,False,faithful,1.71
