model,dataset,chunk_size,top_k,prompt_strategy,question,answer,ground_truth,faithfulness_score,is_hallucination,nli_label,latency_s
mistral,squad,512,5,cot,Which NFL team represented the AFC at Super Bowl 50?, The American Football Conference (AFC) champion Denver Broncos represented the AFC at Super Bowl 50.,Denver Broncos,0.8049,False,faithful,3.36
mistral,squad,512,5,cot,Which NFL team represented the NFC at Super Bowl 50?, The National Football Conference (NFC) champion represented by the Carolina Panthers at Super Bowl 50.,Carolina Panthers,0.7465,False,faithful,1.27
mistral,squad,512,5,cot,Where did Super Bowl 50 take place?," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California","Santa Clara, California",0.6918,False,faithful,5.69
mistral,squad,512,5,cot,Which NFL team won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,4.36
mistral,squad,512,5,cot,What color was used to emphasize the 50th anniversary of the Super Bowl?, Gold,gold,1.0,False,faithful,4.4
mistral,squad,512,5,cot,What was the theme of Super Bowl 50?," The provided context does not mention the specific theme of Super Bowl 50 other than it being emphasized as the ""golden anniversary"". However, it is inferred that the Arabic numerals 50 and gold-themed initiatives suggest a golden or anniversary theme.","""golden anniversary""",0.9061,False,faithful,5.01
mistral,squad,512,5,cot,What day was the game played on?," The game was played on February 1, 2016.","February 7, 2016",0.884,False,faithful,5.8
mistral,squad,512,5,cot,What is the AFC short for?, I cannot find this information in the provided context. The context does not mention or imply what AFC stands for.,American Football Conference,0.5641,False,faithful,4.03
mistral,squad,512,5,cot,What was the theme of Super Bowl 50?," The context does not provide information about the specific theme of Super Bowl 50 beyond mentioning that it emphasized the ""golden anniversary."" However, it is implied that the league intended to make the game spectacular and important. The broadcast details suggest a possible theme could be related to CBS's late-night talk shows, but this is not explicitly stated in the context provided.","""golden anniversary""",0.645,False,faithful,7.89
mistral,squad,512,5,cot,What does AFC stand for?, I cannot find this information in the provided context. The context does not specify what AFC stands for.,American Football Conference,0.6762,False,faithful,4.48
mistral,squad,512,5,cot,What day was the Super Bowl played on?," The Super Bowl was played on February 7, 2016.","February 7, 2016",0.8567,False,faithful,5.21
mistral,squad,512,5,cot,Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,4.27
mistral,squad,512,5,cot,What venue did Super Bowl 50 take place in?, Levi's Stadium,Levi's Stadium,0.5799,False,faithful,4.79
mistral,squad,512,5,cot,What city did Super Bowl 50 take place in?," The Super Bowl 50 took place in Santa Clara, California. However, it was held in the San Francisco Bay Area.",Santa Clara,0.8662,False,faithful,5.57
mistral,squad,512,5,cot,"If Roman numerals were used, what would Super Bowl 50 have been called?", Super Bowl L,Super Bowl L,0.4909,True,hallucinated,4.04
mistral,squad,512,5,cot,Super Bowl 50 decided the NFL champion for what season?, The Super Bowl 50 decided the NFL champion for the 2015 season.,2015,0.6644,False,faithful,6.02
mistral,squad,512,5,cot,What year did the Denver Broncos secure a Super Bowl title for the third time?," I cannot find this information in the provided context. The context only mentions that the Broncos made their second Super Bowl appearance in three years, which was Super Bowl 50, but it does not specify if they won or lost that game. To determine the year they secured a third Super Bowl title, additional context would be needed.",2015,0.5799,False,faithful,8.42
mistral,squad,512,5,cot,What city did Super Bowl 50 take place in?," The Super Bowl 50 took place in Santa Clara, California. However, it was held in the San Francisco Bay Area.",Santa Clara,0.8662,False,faithful,7.49
mistral,squad,512,5,cot,What stadium did Super Bowl 50 take place in?, Levi's Stadium,Levi's Stadium,0.5799,False,faithful,5.77
mistral,squad,512,5,cot,What was the final score of Super Bowl 50? , The final score of Super Bowl 50 was 24–10.,24–10,0.7851,False,faithful,5.77
mistral,squad,512,5,cot,"What month, day and year did Super Bowl 50 take place? "," The Super Bowl 50 took place on February 7, 2016.","February 7, 2016",0.945,False,faithful,4.32
mistral,squad,512,5,cot,What year was Super Bowl 50?," The Super Bowl 50 was played on February 7, 2016.",2015,0.9074,False,faithful,3.47
mistral,squad,512,5,cot,What team was the AFC champion?, The Denver Broncos were the AFC champion.,Denver Broncos,0.6101,False,faithful,4.99
mistral,squad,512,5,cot,What team was the NFC champion?, The Panthers were the NFC champion.,Carolina Panthers,0.665,False,faithful,5.12
mistral,squad,512,5,cot,Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,4.42
mistral,squad,512,5,cot,Super Bowl 50 determined the NFL champion for what season?, The Super Bowl 50 determined the NFL champion for the 2015 season.,2015,0.6757,False,faithful,4.21
mistral,squad,512,5,cot,Which team won Super Bowl 50., The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,2.9
mistral,squad,512,5,cot,Where was Super Bowl 50 held?," Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California.",0.9333,False,faithful,4.09
mistral,squad,512,5,cot,The name of the NFL championship game is?, Super Bowl 50,Super Bowl,0.6293,False,faithful,3.73
mistral,squad,512,5,cot,What 2015 NFL team one the AFC playoff?, The Denver Broncos won the AFC playoff in 2015.,Denver Broncos,0.8691,False,faithful,3.43
mistral,squad,512,5,cot,Which Carolina Panthers player was named Most Valuable Player?, I cannot find this information in the provided context. The context does not mention any MVP award for the Carolina Panthers.,Cam Newton,0.7306,False,faithful,5.51
mistral,squad,512,5,cot,How many appearances have the Denver Broncos made in the Super Bowl?," The context states that the Denver Broncos made two Super Bowl appearances in their franchise history, with one being Super Bowl XLVIII and the other being unspecified but prior to Super Bowl 50.",8,0.3831,True,hallucinated,5.19
mistral,squad,512,5,cot,What year was the Carolina Panthers franchise founded?, I cannot find this information in the provided context. The context does not mention the year when the Carolina Panthers franchise was founded.,1995,0.6925,False,faithful,6.06
mistral,squad,512,5,cot,What team did the Panthers defeat?, The Panthers defeated the Seattle Seahawks and the Arizona Cardinals.,Arizona Cardinals,0.8018,False,faithful,5.34
mistral,squad,512,5,cot,Who did the Broncos prevent from going to the Super Bowl?, The New England Patriots were prevented by the Broncos from going to the Super Bowl.,New England Patriots,0.5012,False,faithful,6.64
mistral,squad,512,5,cot,Who did the Panthers beat in the NFC Championship Game?, The Panthers beat the Arizona Cardinals in the NFC Championship Game.,Arizona Cardinals,0.9736,False,faithful,5.96
mistral,squad,512,5,cot,Who lost to the Broncos in the AFC Championship?, The New England Patriots lost to the Broncos in the AFC Championship.,New England Patriots,0.7878,False,faithful,5.56
mistral,squad,512,5,cot,Who were the defending Super Bowl champions?," I cannot find this information in the provided context. The context only mentions that the Panthers and Broncos reached the Super Bowl, but it does not specify who was the defending champion.",New England Patriots,0.6111,False,faithful,5.63
mistral,squad,512,5,cot,How many teams have been in the Super Bowl eight times?," Four teams have been in the Super Bowl eight times, according to the provided context. These are the Patriots, Dallas Cowboys, Pittsburgh Steelers, and Denver Broncos.",four,0.7533,False,faithful,4.12
mistral,squad,512,5,cot,Who was this season's NFL MVP?, The NFL MVP for this season is Cam Newton.,Cam Newton,0.6839,False,faithful,5.95
mistral,squad,512,5,cot,What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?, The Carolina Panthers had a win/loss ratio of 15-1 during their regular season in 2015.,15–1,0.5198,False,faithful,5.63
mistral,squad,512,5,cot,Which Carolina Panthers team member was picked as the team's MVP in 2015? , I cannot find this information in the provided context. The context does not mention any award for Most Valuable Player (MVP) within the Carolina Panthers team for the year 2015.,Cam Newton,0.6074,False,faithful,6.86
mistral,squad,512,5,cot,What were the win/loss game stats for the Denver Bronco's regular season in 2015?," The provided context does not mention the win/loss game stats for the Denver Broncos' regular season in 2015. However, it is stated that they finished the regular season with a 12–4 record.",12–4,0.7671,False,faithful,8.76
mistral,squad,512,5,cot,How many teams have played in the Super Bowl eight times?," Four teams have played in the Super Bowl eight times, according to the provided context. These are the Patriots, Dallas Cowboys, Pittsburgh Steelers, and Denver Broncos.",4,0.7538,False,faithful,5.06
mistral,squad,512,5,cot,Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?, The Panthers did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50.,New England Patriots,0.6094,False,faithful,5.16
mistral,squad,512,5,cot,Who is the quarterback for the Panthers?, I cannot find this information in the provided context. The context does not mention who the quarterback for the Carolina Panthers is.,Cam Newton,0.6727,False,faithful,5.87
mistral,squad,512,5,cot,Who did Carolina beat in the NFC championship game?, Arizona Cardinals,Arizona Cardinals,0.6084,False,faithful,4.93
