model,dataset,chunk_size,top_k,prompt_strategy,question,answer,ground_truth,faithfulness_score,is_hallucination,nli_label,latency_s
llama3,squad,256,5,strict,Which NFL team represented the AFC at Super Bowl 50?,The Denver Broncos.,Denver Broncos,0.6985,False,faithful,1.16
llama3,squad,256,5,strict,Which NFL team represented the NFC at Super Bowl 50?,"According to the provided context, the answer is:

They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995

So, the NFL team that represented the NFC at Super Bowl 50 is:

Arizona Cardinals",Carolina Panthers,0.4536,True,hallucinated,3.55
llama3,squad,256,5,strict,Where did Super Bowl 50 take place?,The San Francisco Bay Area.,"Santa Clara, California",0.4359,True,hallucinated,1.48
llama3,squad,256,5,strict,Which NFL team won Super Bowl 50?,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,faithful,1.52
llama3,squad,256,5,strict,What color was used to emphasize the 50th anniversary of the Super Bowl?,"Gold. The league emphasized the ""golden anniversary"" with various gold-themed initiatives.",gold,0.8495,False,faithful,2.2
llama3,squad,256,5,strict,What was the theme of Super Bowl 50?,"The theme of Super Bowl 50 was the ""golden anniversary"".","""golden anniversary""",0.9245,False,faithful,1.95
llama3,squad,256,5,strict,What day was the game played on?,"According to the provided context, the game was played on February 7, 2016.","February 7, 2016",0.9398,False,faithful,2.21
llama3,squad,256,5,strict,What is the AFC short for?,The American Football Conference (AFC),American Football Conference,0.8998,False,faithful,1.73
llama3,squad,256,5,strict,What was the theme of Super Bowl 50?,"The theme of Super Bowl 50 was the ""golden anniversary"".","""golden anniversary""",0.9245,False,faithful,1.9
llama3,squad,256,5,strict,What does AFC stand for?,AFC stands for American Football Conference.,American Football Conference,0.982,False,faithful,1.87
llama3,squad,256,5,strict,What day was the Super Bowl played on?,I cannot find this information in the provided context.,"February 7, 2016",0.5531,False,faithful,1.74
llama3,squad,256,5,strict,Who won Super Bowl 50?,The answer is: The Denver Broncos.,Denver Broncos,0.7781,False,faithful,1.41
