question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,n_summaries_returned,n_leaves_returned,dataset,model
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,baseline,0.7354,False,0.6027,False,-1.0,0,0,squad,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v1,0.8579,False,0.6602,False,-1.0,0,0,squad,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,hcpc_v2,0.8579,False,0.6025,True,0.5463,0,0,squad,mistral
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,raptor,0.7354,False,0.6524,True,-1.0,1,2,squad,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,baseline,0.8891,False,0.6001,False,-1.0,0,0,squad,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers," I cannot find this information in the provided context. The context only mentions that the team that played against the Denver Broncos in Super Bowl 50 was one of four teams to have made eight appearances in the Super Bowl and that both coaches were previously coached by John Fox, but it does not specify which conference they represented.",hcpc_v1,0.474,True,0.6188,False,-1.0,0,0,squad,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v2,0.8891,False,0.5991,True,0.5853,0,0,squad,mistral
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,raptor,0.8891,False,0.66,True,-1.0,1,2,squad,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",baseline,0.9533,False,0.6432,False,-1.0,0,0,squad,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context does not specify the exact location where Super Bowl 50 took place. However, it is mentioned that it was held in the San Francisco Bay Area, and no other location is given.",hcpc_v1,0.6674,False,0.6279,False,-1.0,0,0,squad,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9533,False,0.6432,False,0.5722,0,0,squad,mistral
Where did Super Bowl 50 take place?,"Santa Clara, California"," Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",raptor,0.9516,False,0.6428,True,-1.0,1,2,squad,mistral
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6554,False,-1.0,0,0,squad,mistral
Which NFL team won Super Bowl 50?,Denver Broncos, The Broncos,hcpc_v1,0.7276,False,0.6259,False,-1.0,0,0,squad,mistral
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6554,False,0.5701,0,0,squad,mistral
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,raptor,0.9247,False,0.6922,True,-1.0,1,2,squad,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,baseline,1.0,False,0.5495,False,-1.0,0,0,squad,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v1,1.0,False,0.6032,False,-1.0,0,0,squad,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v2,1.0,False,0.5495,True,0.43,0,0,squad,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,raptor,1.0,False,0.5498,True,-1.0,1,2,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50, but it does state that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",baseline,0.5463,False,0.558,False,-1.0,0,0,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""", I cannot find this information in the provided context. The context does not mention any specific theme for Super Bowl 50.,hcpc_v1,0.7504,False,0.5742,False,-1.0,0,0,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, it doesn't explicitly state that this was the official theme of the game.",hcpc_v2,0.5429,False,0.558,False,0.4567,0,0,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary"""," The theme of Super Bowl 50 was the ""golden anniversary"".",raptor,0.9245,False,0.5671,True,-1.0,1,2,squad,mistral
What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",baseline,0.8967,False,0.3746,False,-1.0,0,0,squad,mistral
What day was the game played on?,"February 7, 2016"," February 7, 2016",hcpc_v1,0.6229,False,0.4669,False,-1.0,0,0,squad,mistral
What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",hcpc_v2,0.8967,False,0.3746,True,0.5722,0,0,squad,mistral
What day was the game played on?,"February 7, 2016"," The Super Bowl 50 was played on February 7, 2016.",raptor,0.9074,False,0.3645,True,-1.0,1,2,squad,mistral
What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",baseline,0.697,False,0.4121,False,-1.0,0,0,squad,mistral
What is the AFC short for?,American Football Conference, The AFC in the provided context stands for the American Football Conference.,hcpc_v1,0.9967,False,0.4702,False,-1.0,0,0,squad,mistral
What is the AFC short for?,American Football Conference," The provided context does not explicitly state what AFC stands for. However, it can be inferred that AFC refers to the American Football Conference as it is mentioned multiple times in the context.",hcpc_v2,0.5977,False,0.4121,True,0.4753,0,0,squad,mistral
What is the AFC short for?,American Football Conference," The provided context does not explicitly state what AFC stands for. However, in the context of American football, AFC typically stands for the American Football Conference.",raptor,0.7292,False,0.4189,True,-1.0,1,2,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, it doesn't explicitly state that this was the official theme of the game.",baseline,0.5429,False,0.558,False,-1.0,0,0,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""", I cannot find this information in the provided context. The context does not mention any specific theme for Super Bowl 50.,hcpc_v1,0.7504,False,0.5742,False,-1.0,0,0,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives for the game. So, one could infer that the theme might have been related to gold or celebrating the 50th anniversary.",hcpc_v2,0.6718,False,0.558,False,0.4567,0,0,squad,mistral
