fact_id,claim_or_control,source,status,required_qualifier,used_in
FC-001,"ControlledRAG uses seven practical disclosure categories","01_provenance/CLAIM_TO_EVIDENCE_LEDGER.csv CR-001; 05_clarity_material/SEVEN_AXIS_RATIONALE.md",VERIFIED_SUMMARY_ONLY,"Not unique or exhaustive","All responses"
FC-002,"Numerical generalization is bounded to tested RAG cells","01_provenance/CLAIM_TO_EVIDENCE_LEDGER.csv CR-002; 05_clarity_material/SCOPE_AND_GENERALIZATION_STATEMENT.md",VERIFIED_SUMMARY_ONLY,"Broader applicability is procedural, not empirically universal","AC; uqxN; wXNA; d61o"
FC-003,"Matched-context audit has 200 HIGH/LOW SQuAD pairs","05_clarity_material/EXPERIMENT_EVIDENCE_MATRIX.md; Ledger CR-006–CR-011",VERIFIED_WITH_ROUNDING,"One dataset and legacy proxy","Shared facts; diyB"
FC-004,"Fixed scorer comparison has 7,500 SQuAD rows, 2,500 per condition, seeds 41–45","05_clarity_material/EXPERIMENT_EVIDENCE_MATRIX.md; Ledger CR-016–CR-027",VERIFIED_WITH_ROUNDING,"Fixed audited rows; native scales not commensurate","Shared facts; diyB"
FC-005,"Input-format panel has 600 fixed rows and 194 complete baseline/HCPC-v1 pairs per context backbone","05_clarity_material/EXPERIMENT_EVIDENCE_MATRIX.md; 03_existing_analyses/NEW_REBUTTAL_SAFE_NUMBERS.csv",VERIFIED_WITH_ROUNDING,"Fixed-output rescoring, not fresh retrieval/generation","AC; wXNA; wh9X"
FC-006,"DeBERTa contrast changes +0.017 to -0.279","03_existing_analyses/NEW_REBUTTAL_SAFE_NUMBERS.csv",VERIFIED_CONDITIONAL,"Sensitivity only; context-conditioned NLI is not an oracle","AC; wXNA; wh9X"
FC-007,"Second NLI contrast changes +0.044 to -0.081","03_existing_analyses/NEW_REBUTTAL_SAFE_NUMBERS.csv",VERIFIED_CONDITIONAL,"Sensitivity only; context-conditioned NLI is not an oracle","AC; wXNA; wh9X"
FC-008,"Typical human slice is n=99 and separate from n=100 targeted slice","Ledger CR-031; 02_human_eval/HUMAN_EVAL_SAFE_NUMBERS.csv",VERIFIED_WITH_ROUNDING,"Never pool; different sampling and schemas","Shared facts; wXNA; diyB"
FC-009,"n=99 agreement 0.919192 and kappa 0.773779","02_human_eval/HUMAN_EVAL_SAFE_NUMBERS.csv",VERIFIED_REBUTTAL_SAFE,"Pre-adjudication labels","Shared facts"
FC-010,"n=100 agreement 0.880000 and kappa 0.720930","02_human_eval/HUMAN_EVAL_SAFE_NUMBERS.csv",VERIFIED_REBUTTAL_SAFE,"Pre-adjudication labels","Shared facts"
FC-011,"n=99 Spearman values 0.103/0.394/0.549","02_human_eval/HUMAN_EVAL_SAFE_NUMBERS.csv",VERIFIED_REBUTTAL_SAFE,"Adjudicated ordinal labels; separate typical slice","Shared facts"
FC-012,"n=100 Spearman values -0.156/0.446/0.384","02_human_eval/HUMAN_EVAL_SAFE_NUMBERS.csv",VERIFIED_REBUTTAL_SAFE,"Adjudicated ordinal labels; targeted slice","Shared facts"
FC-013,"n=100 sklearn average precision 0.764813/0.928793/0.859367","02_human_eval/HUMAN_EVAL_SAFE_NUMBERS.csv; 01_provenance/AUPRC_CONVENTION_LOCK.md",VERIFIED_REBUTTAL_SAFE,"faithful=1; higher is more faithful; do not use stale triple","Shared facts"
FC-014,"No verified same-row human comparison of answer-only versus context-conditioned NLI exists","01_provenance/REVIEWER_CONCERN_MATRIX.md WX-03; 06_reviewer_responses/REVIEW_INGESTION_HANDOFF.md",VERIFIED_ABSENCE,"Do not invent or imply the comparison","wXNA; shared facts"
FC-015,"Threshold evidence is a five-dataset 5x5 fixed grid","05_clarity_material/EXPERIMENT_EVIDENCE_MATRIX.md; Ledger CR-041–CR-044",VERIFIED_WITH_ROUNDING,"Descriptive; no universal transfer","AC; diyB; d61o"
FC-016,"Cost evidence covers SQuAD and HotpotQA, three systems x 200 rows per dataset","05_clarity_material/EXPERIMENT_EVIDENCE_MATRIX.md; Ledger CR-045–CR-050",VERIFIED_WITH_ROUNDING,"Hardware-specific point estimates; no universal winner","AC; uqxN; diyB; d61o"
FC-017,"Retriever pilot has 720 generated rows and separate 1,200-row re-encoding panel","05_clarity_material/EXPERIMENT_EVIDENCE_MATRIX.md; Ledger CR-051–CR-052",VERIFIED_WITH_ROUNDING,"Exploratory; re-encoding is not fresh retrieval/generation","Shared facts; diyB"
FC-018,"Qwen2.5-7B probe has 300 rows, 100 per condition","05_clarity_material/EXPERIMENT_EVIDENCE_MATRIX.md; Ledger CR-053–CR-054",VERIFIED_WITH_ROUNDING,"One-model bounded probe","AC; wXNA; diyB; d61o"
FC-019,"Long-form panel has 40 questions and 120 rows","05_clarity_material/EXPERIMENT_EVIDENCE_MATRIX.md; Ledger CR-055–CR-057",VERIFIED_WITH_ROUNDING,"Weak/exploratory; no broad long-form claim","AC; wXNA; diyB; d61o"
FC-020,"Legacy NLI calls are answer-only zero-shot label proxies","05_clarity_material/METRIC_DICTIONARY.md; Ledger CR-004",VERIFIED_EXACT,"Do not call them context-conditioned entailment","AC; wh9X; shared facts"
FC-021,"Custom third scorer is RAGAS-style, not official ragas","05_clarity_material/METRIC_DICTIONARY.md; Ledger CR-005",VERIFIED_EXACT,"Not human ground truth","AC; wh9X; shared facts"
FC-022,"Practitioner protocol uses stable/conditional/unresolved and Pareto-first guidance","05_clarity_material/CONTROLLEDRAG_DECISION_PROTOCOL.md",VERIFIED_PROCEDURE,"Not a prospectively validated universal aggregation rule","AC; uqxN; d61o"
FC-023,"Some verified fixed rows are recovered rather than submitted","01_provenance/FULL_PER_QUERY_PROVENANCE_REPORT.md; Ledger CR-059 and CR-062",VERIFIED_WITH_EXCLUSIONS,"Never claim universal submitted per-query completeness","AC; diyB"
FC-024,"Exact historical package/model revisions are not locked","03_existing_analyses/ANALYSIS_LIMITATIONS.md; 05_clarity_material/METRIC_DICTIONARY.md",VERIFIED_LIMITATION,"No bitwise regeneration claim","diyB; shared facts"
FC-025,"Modern-judge status is PROMPT_05_REPAIRED_PREPARED_NOT_EXECUTED","04_modern_judge/PROMPT_05_REPAIR_COMPLETE.md; PROMPT_05_REPAIR_HANDOFF.md",VERIFIED_EXACT,"58 synthetic tests; zero network calls, model loads, and real rows","AC; uqxN; final package"
FC-026,"Cattan et al. citation title, arXiv 2506.08500, and 2025 date","https://arxiv.org/abs/2506.08500",VERIFIED_PRIMARY_SOURCE,"Contradictory retrieved sources are distinct from scorer disagreement","AC; wh9X"
FC-027,"No completed contradictory-context experiment is claimed","01_provenance/REVIEWER_CONCERN_MATRIX.md WH-04; P0_INTEGRITY_GATE.md",VERIFIED_ABSENCE,"Seeds/scripts are not results","AC; wh9X"
FC-028,"Two human raters labeled independently before reconciliation","02_human_eval/AUTHOR_CONFIRMED_HUMAN_PROTOCOL.md",AUTHOR_CONFIRMED,"Do not add identity, compensation, qualifications, IRB, LLM assistance, or adjudicator identity","Shared facts"
FC-029,"Matched p=0.011 is excluded","01_provenance/P0_INTEGRITY_GATE.md; REBUTTAL_UNSAFE_EVIDENCE.md",QUARANTINED,"Do not use; exact p=0.013531 only if convention stated","All responses"
FC-030,"Current AC text is initial/current rather than final meta-review","Authoritative Prompt 6 override; NeurIPS 2026 review timeline",VERIFIED_CONTEXT,"Use current/initial wording","AC files; final package"
FC-031,"Per-review response limit is 10,000 characters; links and paper/supplement revisions are prohibited during rebuttal","NeurIPS 2026 Main Track Handbook, Author Responses",VERIFIED_PRIMARY_SOURCE,"Camera-ready changes conditional on acceptance; no links in paste text","Length report; paste package; all responses"
FC-032,"wXNA human values: n=99 Spearman 0.103/0.394/0.549; separate n=100 Spearman -0.156/0.446/0.384 and average precision 0.765/0.929/0.859","02_human_eval/HUMAN_EVAL_SAFE_NUMBERS.csv; 01_provenance/AUPRC_CONVENTION_LOCK.md",VERIFIED_FACT,"Different slices and endpoints; never pool; no same-row answer-only/context-conditioned comparison","wXNA"
FC-033,"Disclosure tier reports all seven categories; stress-test tier varies only claim-critical reasonable alternatives","05_clarity_material/SEVEN_AXIS_RATIONALE.md; 05_clarity_material/CONTROLLEDRAG_DECISION_PROTOCOL.md",METHOD_PROPOSAL,"Practical, non-unique, non-exhaustive; no factorial requirement","AC; uqxN; wh9X; discussion bank"
FC-034,"Agentic-RAG mapping assigns policy, search/tools, memory/observations, task-success measurement, human calibration, intervention thresholds, and latency/tool-call cost to the disclosure structure","05_clarity_material/SCOPE_AND_GENERALIZATION_STATEMENT.md; 05_clarity_material/CONTROLLEDRAG_DECISION_PROTOCOL.md",METHOD_PROPOSAL,"Procedural mapping only; no numerical transfer claim","d61o; discussion bank"
FC-035,"Novelty is specification-as-claim plus claim-critical sensitivity, human calibration, threshold portability, cost, and auditable evidence—not the isolated observation that individual components matter","05_clarity_material/SEVEN_AXIS_RATIONALE.md; 05_clarity_material/CONTROLLEDRAG_DECISION_PROTOCOL.md",INTERPRETATION,"Do not oversell uniqueness or universal validation","Discussion bank"
FC-036,"The paper is framed as an evaluation contribution whose primary output is an auditable protocol supported by bounded evidence","01_provenance/META_REVIEW_RESPONSE_MAP.md; 05_clarity_material/SCOPE_AND_GENERALIZATION_STATEMENT.md",INTERPRETATION,"No venue lobbying and no acceptance entitlement","AC"
FC-037,"If answer-only and context-conditioned scoring select opposite system orderings, the comparison is conditional on the scorer-input convention","03_existing_analyses/NEW_REBUTTAL_SAFE_NUMBERS.csv; 05_clarity_material/CONTROLLEDRAG_DECISION_PROTOCOL.md",INTERPRETATION,"Sensitivity, not universal correctness","wXNA"
FC-038,"Camera-ready restructuring will lead with the decision example and claim boundary, then metrics, experiment map, evidence tiers, protocol, and limitations","01_provenance/META_REVIEW_RESPONSE_MAP.md; 05_clarity_material/REBUTTAL_READY_CLARITY_BLOCKS.md",REVISION_COMMITMENT,"Future-facing commitment; do not claim the manuscript was already revised","AC; wh9X; discussion bank"
