dataset,condition,chunk_size,top_k,fetch_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_chroma_mean_score,reranker_mean_ce_score,reranker_fetch_k,hcpc_refined,hcpc_context_coherence,ret_hcpc_v2_n_refined,ret_hcpc_v2_n_merged,ret_hcpc_v2_context_coherence,hcpc_n_refined,hcpc_n_merged
squad,baseline,1024,3,7,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The Denver Broncos.,0.6985,False,faithful,17.3,0.6027,0.6748,0.5244,0.1504,3,0.2504,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The Carolina Panthers represented the National Football Conference (NFC) at Super Bowl 50.,0.6795,False,faithful,4.5,0.6001,0.6841,0.4958,0.1883,3,0.2576,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,Where did Super Bowl 50 take place?,"Santa Clara, California","According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.986,False,faithful,5.02,0.6432,0.6659,0.6074,0.0585,3,0.3112,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,3.97,0.6554,0.717,0.591,0.126,3,0.3258,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold.,1.0,False,faithful,2.63,0.5495,0.5813,0.5074,0.0739,3,0.182,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was emphasized as ""golden anniversary"" with various gold-themed initiatives.",0.8574,False,faithful,4.28,0.558,0.5807,0.542,0.0387,3,0.1733,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What day was the game played on?,"February 7, 2016","The answer is: February 7, 2016.",0.8019,False,faithful,7.02,0.3746,0.5273,0.2856,0.2417,3,0.0182,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What is the AFC short for?,American Football Conference,The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers.,0.8789,False,faithful,6.25,0.4121,0.4992,0.3564,0.1428,3,0.0,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was emphasized as ""golden anniversary"" with various gold-themed initiatives.",0.8574,False,faithful,6.79,0.558,0.5807,0.542,0.0387,3,0.1733,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What does AFC stand for?,American Football Conference,The answer is: American Football Conference.,0.754,False,faithful,5.22,0.3787,0.4753,0.329,0.1463,3,0.0,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What day was the Super Bowl played on?,"February 7, 2016","According to the provided context, the Super Bowl was played on February 7, 2016.",0.6946,False,faithful,5.97,0.6413,0.7006,0.6109,0.0897,3,0.3043,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,4.95,0.6268,0.681,0.5914,0.0896,3,0.2728,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What venue did Super Bowl 50 take place in?,Levi's Stadium,"According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.986,False,faithful,6.65,0.6489,0.6831,0.6285,0.0546,3,0.3208,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What city did Super Bowl 50 take place in?,Santa Clara,"According to the provided context, Super Bowl 50 took place in Santa Clara, California.",0.9154,False,faithful,5.99,0.6392,0.6635,0.5933,0.0702,3,0.3047,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,"According to the context, if Roman numerals were used, Super Bowl 50 would have been called ""Super Bowl L"".",0.5988,False,faithful,7.36,0.5327,0.7265,0.3954,0.331,3,0.1895,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,Super Bowl 50 decided the NFL champion for what season?,2015,The answer is: the 2015 season.,0.7723,False,faithful,6.19,0.6341,0.6996,0.5886,0.111,3,0.2779,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,I cannot find this information in the provided context.,0.5531,False,faithful,3.74,0.6795,0.6986,0.6656,0.033,3,0.3415,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What city did Super Bowl 50 take place in?,Santa Clara,"According to the provided context, Super Bowl 50 took place in Santa Clara, California.",0.9154,False,faithful,5.55,0.6392,0.6635,0.5933,0.0702,3,0.3047,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What stadium did Super Bowl 50 take place in?,Levi's Stadium,"According to the provided context, Super Bowl 50 took place at Levi's Stadium.",0.8599,False,faithful,1.56,0.6693,0.6974,0.653,0.0443,3,0.3676,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What was the final score of Super Bowl 50? ,24–10,The Broncos defeated the Carolina Panthers 24–10 to earn their third Super Bowl title.,0.8929,False,faithful,3.58,0.584,0.6261,0.5607,0.0654,3,0.1954,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","According to the provided context, Super Bowl 50 took place on February 7, 2016.",0.867,False,faithful,4.24,0.625,0.6393,0.6049,0.0344,3,0.2811,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What year was Super Bowl 50?,2015,"According to the provided context, Super Bowl 50 took place in 2016.",0.6979,False,faithful,3.02,0.6133,0.6696,0.5819,0.0877,3,0.2588,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What team was the AFC champion?,Denver Broncos,The answer is: Denver Broncos.,0.8254,False,faithful,4.26,0.5751,0.5895,0.5496,0.0399,3,0.1408,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What team was the NFC champion?,Carolina Panthers,The Carolina Panthers were the NFC champion.,0.6462,False,faithful,4.76,0.6039,0.6302,0.565,0.0652,3,0.2045,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,4.63,0.6268,0.681,0.5914,0.0896,3,0.2728,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,Super Bowl 50 determined the NFL champion for what season?,2015,The answer is: the 2015 season.,0.7723,False,faithful,2.8,0.6236,0.6929,0.5613,0.1316,3,0.2566,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,Which team won Super Bowl 50.,Denver Broncos,The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,1.61,0.6228,0.7186,0.5622,0.1564,3,0.2658,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,Where was Super Bowl 50 held?,"Santa Clara, California.","According to the provided context, Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9858,False,faithful,4.68,0.6592,0.6858,0.614,0.0718,3,0.3306,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,The name of the NFL championship game is?,Super Bowl,Super Bowl.,1.0,False,faithful,2.34,0.5081,0.5245,0.4889,0.0356,3,0.0567,-1.0,0,False,-1.0,,,,,
squad,baseline,1024,3,7,What 2015 NFL team one the AFC playoff?,Denver Broncos,"According to the provided context, the answer is:

The Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs.",0.7816,False,faithful,7.61,0.5456,0.5524,0.5322,0.0202,3,0.0665,-1.0,0,False,-1.0,,,,,
squad,reranker,1024,3,7,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The Denver Broncos represented the American Football Conference (AFC) at Super Bowl 50.,0.7368,False,faithful,4.95,0.5981,0.6748,0.5108,0.1639,3,0.0,3.5059,7,False,-1.0,,,,,
squad,reranker,1024,3,7,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The Carolina Panthers.,0.6996,False,faithful,3.96,0.6033,0.6841,0.5053,0.1788,3,0.0,2.9247,7,False,-1.0,,,,,
squad,reranker,1024,3,7,Where did Super Bowl 50 take place?,"Santa Clara, California","According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.986,False,faithful,4.35,0.6289,0.6659,0.5647,0.1012,3,0.0,4.7077,7,False,-1.0,,,,,
squad,reranker,1024,3,7,Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,2.11,0.6201,0.717,0.5523,0.1646,3,0.0,5.5739,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold.,1.0,False,faithful,1.98,0.5429,0.5813,0.5074,0.0739,3,0.0,0.2106,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was emphasized as the ""golden anniversary"" with various gold-themed initiatives.",0.8111,False,faithful,3.03,0.558,0.5807,0.542,0.0387,3,0.0,3.7312,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What day was the game played on?,"February 7, 2016","The answer is: February 7, 2016.",0.8019,False,faithful,4.28,0.3746,0.5273,0.2856,0.2417,3,0.0,2.4819,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What is the AFC short for?,American Football Conference,The American Football Conference (AFC) is short for... American Football Conference!,0.6218,False,faithful,4.36,0.4121,0.4992,0.3564,0.1428,3,0.0,-6.554,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was emphasized as the ""golden anniversary"" with various gold-themed initiatives.",0.8111,False,faithful,3.27,0.558,0.5807,0.542,0.0387,3,0.0,3.7312,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What does AFC stand for?,American Football Conference,The answer is: American Football Conference.,0.754,False,faithful,3.2,0.3658,0.4753,0.2929,0.1824,3,0.0,-3.8992,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What day was the Super Bowl played on?,"February 7, 2016","According to the provided context, the Super Bowl was played on February 7, 2016.",0.6946,False,faithful,5.0,0.6413,0.7006,0.6109,0.0897,3,0.0,6.1074,7,False,-1.0,,,,,
squad,reranker,1024,3,7,Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,3.88,0.6082,0.681,0.5354,0.1456,3,0.0,5.838,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What venue did Super Bowl 50 take place in?,Levi's Stadium,"According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.986,False,faithful,4.23,0.6125,0.6305,0.5784,0.0521,3,0.0,5.2496,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What city did Super Bowl 50 take place in?,Santa Clara,"According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.986,False,faithful,4.45,0.6088,0.6635,0.5514,0.1121,3,0.0,5.028,7,False,-1.0,,,,,
squad,reranker,1024,3,7,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,"According to the context, if Roman numerals were used, Super Bowl 50 would have been called ""Super Bowl L"".",0.5988,False,faithful,6.11,0.5193,0.7265,0.3954,0.331,3,0.0,1.244,7,False,-1.0,,,,,
squad,reranker,1024,3,7,Super Bowl 50 decided the NFL champion for what season?,2015,The answer is: the 2015 season.,0.7723,False,faithful,3.59,0.6147,0.6996,0.5558,0.1439,3,0.0,3.0454,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,"According to the provided context, the Denver Broncos secured their third Super Bowl title in the year 2016.",0.7208,False,faithful,4.11,0.6104,0.6656,0.5624,0.1032,3,0.0,4.5739,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What city did Super Bowl 50 take place in?,Santa Clara,"According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.986,False,faithful,4.22,0.6088,0.6635,0.5514,0.1121,3,0.0,5.028,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What stadium did Super Bowl 50 take place in?,Levi's Stadium,"According to the provided context, Super Bowl 50 took place at Levi's Stadium.",0.8599,False,faithful,2.68,0.6338,0.6974,0.5466,0.1508,3,0.0,4.442,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What was the final score of Super Bowl 50? ,24–10,The answer is: The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10.,0.9382,False,faithful,4.53,0.5717,0.6261,0.5238,0.1023,3,0.0,1.8131,7,False,-1.0,,,,,
squad,reranker,1024,3,7,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","According to the provided context, Super Bowl 50 took place on February 7, 2016.",0.867,False,faithful,3.27,0.6062,0.6393,0.5484,0.0909,3,0.0,2.6204,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What year was Super Bowl 50?,2015,"According to the provided context, Super Bowl 50 was played on February 7, 2016.",0.7844,False,faithful,3.21,0.5985,0.6696,0.5441,0.1256,3,0.0,5.563,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What team was the AFC champion?,Denver Broncos,The Denver Broncos were the AFC champion.,0.6101,False,faithful,2.88,0.5519,0.5861,0.52,0.0661,3,0.0,3.6611,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What team was the NFC champion?,Carolina Panthers,The Carolina Panthers were the NFC champion.,0.6462,False,faithful,2.98,0.6039,0.6302,0.565,0.0652,3,0.0,4.1696,7,False,-1.0,,,,,
squad,reranker,1024,3,7,Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,2.46,0.6082,0.681,0.5354,0.1456,3,0.0,5.838,7,False,-1.0,,,,,
squad,reranker,1024,3,7,Super Bowl 50 determined the NFL champion for what season?,2015,The answer is: the 2015 season.,0.7723,False,faithful,2.04,0.6015,0.6929,0.5503,0.1426,3,0.0,2.648,7,False,-1.0,,,,,
squad,reranker,1024,3,7,Which team won Super Bowl 50.,Denver Broncos,The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,2.28,0.6109,0.7186,0.5519,0.1667,3,0.0,5.7268,7,False,-1.0,,,,,
squad,reranker,1024,3,7,Where was Super Bowl 50 held?,"Santa Clara, California.","The game was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.8044,False,faithful,3.61,0.6166,0.6858,0.5547,0.1311,3,0.0,5.9784,7,False,-1.0,,,,,
squad,reranker,1024,3,7,The name of the NFL championship game is?,Super Bowl,Super Bowl.,1.0,False,faithful,2.67,0.5022,0.5245,0.4889,0.0356,3,0.0,0.3594,7,False,-1.0,,,,,
squad,reranker,1024,3,7,What 2015 NFL team one the AFC playoff?,Denver Broncos,The Denver Broncos won the AFC playoff.,0.9356,False,faithful,2.34,0.5242,0.5524,0.488,0.0644,3,0.0,1.1734,7,False,-1.0,,,,,
squad,hcpc_v2,1024,3,7,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The Denver Broncos.,0.6985,False,faithful,4.5,0.6025,0.6748,0.5238,0.151,3,0.0,-1.0,0,True,0.5905,1.0,4.0,0.5905,1.0,4.0
squad,hcpc_v2,1024,3,7,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The Carolina Panthers represented the National Football Conference (NFC) at Super Bowl 50.,0.6795,False,faithful,3.22,0.5991,0.6841,0.4927,0.1913,3,0.0,-1.0,0,True,0.689,1.0,4.0,0.689,1.0,4.0
squad,hcpc_v2,1024,3,7,Where did Super Bowl 50 take place?,"Santa Clara, California","According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.986,False,faithful,3.92,0.6432,0.6659,0.6074,0.0585,3,0.0,-1.0,0,False,0.6464,0.0,0.0,0.6464,0.0,0.0
squad,hcpc_v2,1024,3,7,Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,3.03,0.6554,0.717,0.591,0.126,3,0.0,-1.0,0,False,0.6506,0.0,0.0,0.6506,0.0,0.0
squad,hcpc_v2,1024,3,7,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold.,1.0,False,faithful,1.87,0.5495,0.5813,0.5074,0.0739,3,0.0,-1.0,0,True,0.5689,1.0,0.0,0.5689,1.0,0.0
squad,hcpc_v2,1024,3,7,What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was emphasized as ""golden anniversary"" with various gold-themed initiatives.",0.8574,False,faithful,3.09,0.558,0.5807,0.542,0.0387,3,0.0,-1.0,0,False,0.5143,0.0,0.0,0.5143,0.0,0.0
squad,hcpc_v2,1024,3,7,What day was the game played on?,"February 7, 2016","The answer is: February 7, 2016.",0.8019,False,faithful,5.31,0.3746,0.5273,0.2856,0.2417,3,0.0,-1.0,0,True,0.6076,1.0,1.0,0.6076,1.0,1.0
squad,hcpc_v2,1024,3,7,What is the AFC short for?,American Football Conference,The American Football Conference (AFC) champion Denver Broncos...,0.8487,False,faithful,4.46,0.4121,0.4992,0.3564,0.1428,3,0.0,-1.0,0,True,0.4999,1.0,2.0,0.4999,1.0,2.0
squad,hcpc_v2,1024,3,7,What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was emphasized as ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals.",0.5739,False,faithful,6.47,0.558,0.5807,0.542,0.0387,3,0.0,-1.0,0,False,0.5143,0.0,0.0,0.5143,0.0,0.0
squad,hcpc_v2,1024,3,7,What does AFC stand for?,American Football Conference,The answer is: American Football Conference.,0.754,False,faithful,3.78,0.3787,0.4753,0.329,0.1463,3,0.0,-1.0,0,True,0.4999,1.0,2.0,0.4999,1.0,2.0
squad,hcpc_v2,1024,3,7,What day was the Super Bowl played on?,"February 7, 2016","According to the provided context, the Super Bowl was played on February 7, 2016.",0.6946,False,faithful,5.34,0.6413,0.7006,0.6109,0.0897,3,0.0,-1.0,0,False,0.6076,0.0,0.0,0.6076,0.0,0.0
squad,hcpc_v2,1024,3,7,Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,5.57,0.6246,0.681,0.5848,0.0962,3,0.0,-1.0,0,True,0.6111,1.0,3.0,0.6111,1.0,3.0
squad,hcpc_v2,1024,3,7,What venue did Super Bowl 50 take place in?,Levi's Stadium,"According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.986,False,faithful,6.55,0.653,0.6831,0.6285,0.0546,3,0.0,-1.0,0,True,0.6293,1.0,3.0,0.6293,1.0,3.0
squad,hcpc_v2,1024,3,7,What city did Super Bowl 50 take place in?,Santa Clara,"According to the provided context, Super Bowl 50 took place in Santa Clara, California.",0.9154,False,faithful,5.46,0.6431,0.6635,0.6048,0.0586,3,0.0,-1.0,0,True,0.7003,1.0,3.0,0.7003,1.0,3.0
squad,hcpc_v2,1024,3,7,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,"According to the context, if Roman numerals were used, Super Bowl 50 would have been called ""Super Bowl L"".",0.5988,False,faithful,5.62,0.5327,0.7265,0.3954,0.331,3,0.0,-1.0,0,True,0.6205,1.0,0.0,0.6205,1.0,0.0
squad,hcpc_v2,1024,3,7,Super Bowl 50 decided the NFL champion for what season?,2015,The answer is: the 2015 season.,0.7723,False,faithful,4.17,0.6341,0.6996,0.5886,0.111,3,0.0,-1.0,0,False,0.5438,0.0,0.0,0.5438,0.0,0.0
squad,hcpc_v2,1024,3,7,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,I cannot find this information in the provided context.,0.5531,False,faithful,3.59,0.6795,0.6986,0.6656,0.033,3,0.0,-1.0,0,False,0.635,0.0,0.0,0.635,0.0,0.0
squad,hcpc_v2,1024,3,7,What city did Super Bowl 50 take place in?,Santa Clara,"According to the provided context, Super Bowl 50 took place in Santa Clara, California.",0.9154,False,faithful,5.51,0.6431,0.6635,0.6048,0.0586,3,0.0,-1.0,0,True,0.7003,1.0,3.0,0.7003,1.0,3.0
squad,hcpc_v2,1024,3,7,What stadium did Super Bowl 50 take place in?,Levi's Stadium,"According to the provided context, Super Bowl 50 took place at Levi's Stadium.",0.8599,False,faithful,2.8,0.6693,0.6974,0.653,0.0443,3,0.0,-1.0,0,False,0.7003,0.0,0.0,0.7003,0.0,0.0
squad,hcpc_v2,1024,3,7,What was the final score of Super Bowl 50? ,24–10,The Broncos defeated the Carolina Panthers 24–10.,0.8904,False,faithful,2.83,0.584,0.6261,0.5607,0.0654,3,0.0,-1.0,0,True,0.6129,1.0,2.0,0.6129,1.0,2.0
squad,hcpc_v2,1024,3,7,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","According to the provided context, Super Bowl 50 took place on February 7, 2016.",0.867,False,faithful,3.57,0.625,0.6393,0.6049,0.0344,3,0.0,-1.0,0,True,0.5946,1.0,1.0,0.5946,1.0,1.0
squad,hcpc_v2,1024,3,7,What year was Super Bowl 50?,2015,"According to the provided context, Super Bowl 50 was played on February 7, 2016.",0.7844,False,faithful,2.88,0.6133,0.6696,0.5819,0.0877,3,0.0,-1.0,0,False,0.5867,0.0,0.0,0.5867,0.0,0.0
squad,hcpc_v2,1024,3,7,What team was the AFC champion?,Denver Broncos,The answer is: Denver Broncos.,0.8254,False,faithful,4.54,0.5751,0.5895,0.5496,0.0399,3,0.0,-1.0,0,False,0.6411,0.0,0.0,0.6411,0.0,0.0
squad,hcpc_v2,1024,3,7,What team was the NFC champion?,Carolina Panthers,The Carolina Panthers were the NFC champion.,0.6462,False,faithful,5.05,0.6039,0.6302,0.565,0.0652,3,0.0,-1.0,0,False,0.5934,0.0,0.0,0.5934,0.0,0.0
squad,hcpc_v2,1024,3,7,Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,5.27,0.6246,0.681,0.5848,0.0962,3,0.0,-1.0,0,True,0.6111,1.0,3.0,0.6111,1.0,3.0
squad,hcpc_v2,1024,3,7,Super Bowl 50 determined the NFL champion for what season?,2015,The answer is: the 2015 season.,0.7723,False,faithful,3.12,0.6236,0.6929,0.5613,0.1316,3,0.0,-1.0,0,True,0.5438,1.0,0.0,0.5438,1.0,0.0
squad,hcpc_v2,1024,3,7,Which team won Super Bowl 50.,Denver Broncos,The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,2.02,0.6228,0.7186,0.5622,0.1564,3,0.0,-1.0,0,False,0.6506,0.0,0.0,0.6506,0.0,0.0
squad,hcpc_v2,1024,3,7,Where was Super Bowl 50 held?,"Santa Clara, California.","According to the provided context, Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9858,False,faithful,4.76,0.6592,0.6858,0.614,0.0718,3,0.0,-1.0,0,False,0.7003,0.0,0.0,0.7003,0.0,0.0
squad,hcpc_v2,1024,3,7,The name of the NFL championship game is?,Super Bowl,"According to the provided context, the name of the NFL championship game is ""Super Bowl"".",0.8353,False,faithful,5.05,0.5081,0.5245,0.4889,0.0356,3,0.0,-1.0,0,True,0.5396,1.0,2.0,0.5396,1.0,2.0
squad,hcpc_v2,1024,3,7,What 2015 NFL team one the AFC playoff?,Denver Broncos,"According to the provided context, the Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs. Therefore, the answer is:

The Broncos won the AFC playoff.",0.7764,False,faithful,8.41,0.5456,0.5524,0.5322,0.0202,3,0.0,-1.0,0,False,0.5661,0.0,0.0,0.5661,0.0,0.0
squad,hcpc_v2_rr,1024,3,7,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The Denver Broncos.,0.6985,False,faithful,8.76,0.6025,0.6748,0.5238,0.151,3,0.0,-1.0,3,True,0.5905,1.0,4.0,0.5905,1.0,
