timestamp,query,retrieved_context,generated_output,faithfulness_score,is_hallucination,ret_hcpc_n_refined,ret_hcpc_n_weak,ret_max_similarity,ret_mean_similarity,ret_min_similarity,ret_n_docs,ret_relevance_spread,chunk_size,condition,dataset,ground_truth,hcpc_log,top_k,sentence_scores
2026-04-09T14:20:25.049732+00:00,Which NFL team represented the AFC at Super Bowl 50?,". The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title

---

. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title

---

. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title"," The American Football Conference (AFC) champion, which is the Denver Broncos, represented the AFC at Super Bowl 50.",0.7425,False,3,3,0.6368,0.6368,0.6368,3,0.0,1024,hcpc_v1,squad,Denver Broncos,"{'n_strong': 0, 'n_weak': 3, 'n_refined': 3, 'strong_sims': [], 'weak_sims': [0.3967, 0.3967, 0.3967], 'refinements': [{'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.3967, 'parent_ce': 8.7047, 'n_sub_chunks': 5, 'best_sub_preview': '. The American Football Conference (AFC) champion Denver Broncos defeated the Na', 'best_sub_sim': 0.6368, 'best_sub_ce': 3.4854, 'sim_improvement': 0.2401, 'ce_improvement': -5.2193}, {'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.3967, 'parent_ce': 8.7047, 'n_sub_chunks': 5, 'best_sub_preview': '. The American Football Conference (AFC) champion Denver Broncos defeated the Na', 'best_sub_sim': 0.6368, 'best_sub_ce': 3.4854, 'sim_improvement': 0.2401, 'ce_improvement': -5.2193}, {'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.3967, 'parent_ce': 8.7047, 'n_sub_chunks': 5, 'best_sub_preview': '. The American Football Conference (AFC) champion Denver Broncos defeated the Na', 'best_sub_sim': 0.6368, 'best_sub_ce': 3.4854, 'sim_improvement': 0.2401, 'ce_improvement': -5.2193}]}",3,"[{""sentence"": ""The American Football Conference (AFC) champion, which is the Denver Broncos, represented the AFC at Super Bowl 50"", ""entailment"": 0.7425, ""contradiction"": 0.0771, ""neutral"": 0.1804}]"
2026-04-09T14:20:29.086126+00:00,Which NFL team represented the NFC at Super Bowl 50?,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season

---

Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season

---

Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season"," I cannot find this information in the provided context. The context only states that Super Bowl 50 determined the champion of the NFL, but it does not specify which teams were participating.",0.5553,False,3,3,0.6227,0.6227,0.6227,3,0.0,1024,hcpc_v1,squad,Carolina Panthers,"{'n_strong': 0, 'n_weak': 3, 'n_refined': 3, 'strong_sims': [], 'weak_sims': [0.4176, 0.4176, 0.4176], 'refinements': [{'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.4176, 'parent_ce': 8.3569, 'n_sub_chunks': 5, 'best_sub_preview': 'Super Bowl 50 was an American football game to determine the champion of the Nat', 'best_sub_sim': 0.6227, 'best_sub_ce': 4.1136, 'sim_improvement': 0.2051, 'ce_improvement': -4.2433}, {'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.4176, 'parent_ce': 8.3569, 'n_sub_chunks': 5, 'best_sub_preview': 'Super Bowl 50 was an American football game to determine the champion of the Nat', 'best_sub_sim': 0.6227, 'best_sub_ce': 4.1136, 'sim_improvement': 0.2051, 'ce_improvement': -4.2433}, {'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.4176, 'parent_ce': 8.3569, 'n_sub_chunks': 5, 'best_sub_preview': 'Super Bowl 50 was an American football game to determine the champion of the Nat', 'best_sub_sim': 0.6227, 'best_sub_ce': 4.1136, 'sim_improvement': 0.2051, 'ce_improvement': -4.2433}]}",3,"[{""sentence"": ""I cannot find this information in the provided context"", ""entailment"": 0.5531, ""contradiction"": 0.2699, ""neutral"": 0.177}, {""sentence"": ""The context only states that Super Bowl 50 determined the champion of the NFL, but it does not specify which teams were participating"", ""entailment"": 0.5576, ""contradiction"": 0.1695, ""neutral"": 0.2729}]"
2026-04-09T14:20:34.928402+00:00,Where did Super Bowl 50 take place?,"which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.

---

which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.

---

which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50."," I cannot find this information in the provided context. The context only mentions that the game would be known as ""Super Bowl L"" and that the logo would prominently feature Arabic numerals 50, but it does not specify where the Super Bowl took place.",0.582,False,3,3,0.5887,0.5887,0.5887,3,0.0,1024,hcpc_v1,squad,"Santa Clara, California","{'n_strong': 0, 'n_weak': 3, 'n_refined': 3, 'strong_sims': [], 'weak_sims': [0.3872, 0.3872, 0.3872], 'refinements': [{'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.3872, 'parent_ce': 8.4794, 'n_sub_chunks': 5, 'best_sub_preview': 'which the game would have been known as ""Super Bowl L""), so that the logo could ', 'best_sub_sim': 0.5887, 'best_sub_ce': -0.5422, 'sim_improvement': 0.2015, 'ce_improvement': -9.0216}, {'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.3872, 'parent_ce': 8.4794, 'n_sub_chunks': 5, 'best_sub_preview': 'which the game would have been known as ""Super Bowl L""), so that the logo could ', 'best_sub_sim': 0.5887, 'best_sub_ce': -0.5422, 'sim_improvement': 0.2015, 'ce_improvement': -9.0216}, {'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.3872, 'parent_ce': 8.4794, 'n_sub_chunks': 5, 'best_sub_preview': 'which the game would have been known as ""Super Bowl L""), so that the logo could ', 'best_sub_sim': 0.5887, 'best_sub_ce': -0.5422, 'sim_improvement': 0.2015, 'ce_improvement': -9.0216}]}",3,"[{""sentence"": ""I cannot find this information in the provided context"", ""entailment"": 0.5531, ""contradiction"": 0.2699, ""neutral"": 0.177}, {""sentence"": ""The context only mentions that the game would be known as \""Super Bowl L\"" and that the logo would prominently feature Arabic numerals 50, but it does not specify where the Super Bowl took place"", ""entailment"": 0.611, ""contradiction"": 0.1601, ""neutral"": 0.2289}]"
2026-04-09T14:20:40.405199+00:00,Which NFL team won Super Bowl 50?,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season

---

Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season

---

Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season"," I cannot find this information in the provided context. The context only states that Super Bowl 50 was a game to determine the champion of the National Football League (NFL) for the 2015 season, but it does not specify which team won.",0.7296,False,3,3,0.6572,0.6572,0.6572,3,0.0,1024,hcpc_v1,squad,Denver Broncos,"{'n_strong': 0, 'n_weak': 3, 'n_refined': 3, 'strong_sims': [], 'weak_sims': [0.4426, 0.4426, 0.4426], 'refinements': [{'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.4426, 'parent_ce': 9.7919, 'n_sub_chunks': 5, 'best_sub_preview': 'Super Bowl 50 was an American football game to determine the champion of the Nat', 'best_sub_sim': 0.6572, 'best_sub_ce': 7.4511, 'sim_improvement': 0.2146, 'ce_improvement': -2.3408}, {'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.4426, 'parent_ce': 9.7919, 'n_sub_chunks': 5, 'best_sub_preview': 'Super Bowl 50 was an American football game to determine the champion of the Nat', 'best_sub_sim': 0.6572, 'best_sub_ce': 7.4511, 'sim_improvement': 0.2146, 'ce_improvement': -2.3408}, {'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.4426, 'parent_ce': 9.7919, 'n_sub_chunks': 5, 'best_sub_preview': 'Super Bowl 50 was an American football game to determine the champion of the Nat', 'best_sub_sim': 0.6572, 'best_sub_ce': 7.4511, 'sim_improvement': 0.2146, 'ce_improvement': -2.3408}]}",3,"[{""sentence"": ""I cannot find this information in the provided context"", ""entailment"": 0.5531, ""contradiction"": 0.2699, ""neutral"": 0.177}, {""sentence"": ""The context only states that Super Bowl 50 was a game to determine the champion of the National Football League (NFL) for the 2015 season, but it does not specify which team won"", ""entailment"": 0.9061, ""contradiction"": 0.03, ""neutral"": 0.0639}]"
2026-04-09T14:20:45.080135+00:00,What color was used to emphasize the 50th anniversary of the Super Bowl?,". As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been

---

. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been

---

. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been"," The color used to emphasize the 50th anniversary of the Super Bowl, according to the provided context, is gold.",0.8353,False,3,3,0.6888,0.6888,0.6888,3,0.0,1024,hcpc_v1,squad,gold,"{'n_strong': 0, 'n_weak': 3, 'n_refined': 3, 'strong_sims': [], 'weak_sims': [0.2475, 0.2475, 0.2475], 'refinements': [{'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.2475, 'parent_ce': 3.2164, 'n_sub_chunks': 5, 'best_sub_preview': '. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary', 'best_sub_sim': 0.6888, 'best_sub_ce': 4.8062, 'sim_improvement': 0.4413, 'ce_improvement': 1.5899}, {'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.2475, 'parent_ce': 3.2164, 'n_sub_chunks': 5, 'best_sub_preview': '. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary', 'best_sub_sim': 0.6888, 'best_sub_ce': 4.8062, 'sim_improvement': 0.4413, 'ce_improvement': 1.5899}, {'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.2475, 'parent_ce': 3.2164, 'n_sub_chunks': 5, 'best_sub_preview': '. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary', 'best_sub_sim': 0.6888, 'best_sub_ce': 4.8062, 'sim_improvement': 0.4413, 'ce_improvement': 1.5899}]}",3,"[{""sentence"": ""The color used to emphasize the 50th anniversary of the Super Bowl, according to the provided context, is gold"", ""entailment"": 0.8353, ""contradiction"": 0.0741, ""neutral"": 0.0907}]"
2026-04-09T14:20:53.611382+00:00,What was the theme of Super Bowl 50?,"which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.

---

which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.

---

which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50."," I cannot find this information in the provided context. The context only mentions that the game would be known as ""Super Bowl L"" and that the logo would prominently feature Arabic numerals 50, but it does not provide any information about the theme of Super Bowl 50.",0.6554,False,3,3,0.6354,0.6354,0.6354,3,0.0,1024,hcpc_v1,squad,"""golden anniversary""","{'n_strong': 0, 'n_weak': 3, 'n_refined': 3, 'strong_sims': [], 'weak_sims': [0.2742, 0.2742, 0.2742], 'refinements': [{'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.2742, 'parent_ce': 5.7234, 'n_sub_chunks': 5, 'best_sub_preview': 'which the game would have been known as ""Super Bowl L""), so that the logo could ', 'best_sub_sim': 0.6354, 'best_sub_ce': 2.309, 'sim_improvement': 0.3612, 'ce_improvement': -3.4144}, {'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.2742, 'parent_ce': 5.7234, 'n_sub_chunks': 5, 'best_sub_preview': 'which the game would have been known as ""Super Bowl L""), so that the logo could ', 'best_sub_sim': 0.6354, 'best_sub_ce': 2.309, 'sim_improvement': 0.3612, 'ce_improvement': -3.4144}, {'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.2742, 'parent_ce': 5.7234, 'n_sub_chunks': 5, 'best_sub_preview': 'which the game would have been known as ""Super Bowl L""), so that the logo could ', 'best_sub_sim': 0.6354, 'best_sub_ce': 2.309, 'sim_improvement': 0.3612, 'ce_improvement': -3.4144}]}",3,"[{""sentence"": ""I cannot find this information in the provided context"", ""entailment"": 0.5531, ""contradiction"": 0.2699, ""neutral"": 0.177}, {""sentence"": ""The context only mentions that the game would be known as \""Super Bowl L\"" and that the logo would prominently feature Arabic numerals 50, but it does not provide any information about the theme of Super Bowl 50"", ""entailment"": 0.7577, ""contradiction"": 0.1931, ""neutral"": 0.0492}]"
2026-04-09T14:20:59.293121+00:00,What day was the game played on?,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1, 2016 at SAP Center in San Jose

---

The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1, 2016 at SAP Center in San Jose

---

The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1, 2016 at SAP Center in San Jose"," I cannot find this information in the provided context. The context only mentions the date of the Super Bowl Opening Night, but not the date of the actual game.",0.6427,False,3,3,0.5556,0.5556,0.5556,3,0.0,1024,hcpc_v1,squad,"February 7, 2016","{'n_strong': 0, 'n_weak': 3, 'n_refined': 3, 'strong_sims': [], 'weak_sims': [0.0546, 0.0546, 0.0546], 'refinements': [{'parent_preview': ""The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday eveni"", 'parent_sim': 0.0546, 'parent_ce': 4.9923, 'n_sub_chunks': 2, 'best_sub_preview': ""The game's media day, which was typically held on the Tuesday afternoon prior to"", 'best_sub_sim': 0.5556, 'best_sub_ce': 5.1865, 'sim_improvement': 0.501, 'ce_improvement': 0.1943}, {'parent_preview': ""The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday eveni"", 'parent_sim': 0.0546, 'parent_ce': 4.9923, 'n_sub_chunks': 2, 'best_sub_preview': ""The game's media day, which was typically held on the Tuesday afternoon prior to"", 'best_sub_sim': 0.5556, 'best_sub_ce': 5.1865, 'sim_improvement': 0.501, 'ce_improvement': 0.1943}, {'parent_preview': ""The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday eveni"", 'parent_sim': 0.0546, 'parent_ce': 4.9923, 'n_sub_chunks': 2, 'best_sub_preview': ""The game's media day, which was typically held on the Tuesday afternoon prior to"", 'best_sub_sim': 0.5556, 'best_sub_ce': 5.1865, 'sim_improvement': 0.501, 'ce_improvement': 0.1943}]}",3,"[{""sentence"": ""I cannot find this information in the provided context"", ""entailment"": 0.5531, ""contradiction"": 0.2699, ""neutral"": 0.177}, {""sentence"": ""The context only mentions the date of the Super Bowl Opening Night, but not the date of the actual game"", ""entailment"": 0.7322, ""contradiction"": 0.1013, ""neutral"": 0.1665}]"
2026-04-09T14:21:03.072662+00:00,What is the AFC short for?,". With the defense carrying the team despite the issues with the offense, the Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs.

---

. With the defense carrying the team despite the issues with the offense, the Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs.

---

. With the defense carrying the team despite the issues with the offense, the Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs.", I cannot find this information in the provided context. The context does not specify what AFC stands for.,0.6762,False,3,3,0.4992,0.4992,0.4992,3,0.0,1024,hcpc_v1,squad,American Football Conference,"{'n_strong': 0, 'n_weak': 3, 'n_refined': 3, 'strong_sims': [], 'weak_sims': [0.0, 0.0, 0.0], 'refinements': [{'parent_preview': '. With the defense carrying the team despite the issues with the offense, the Broncos finished the regular season with a', 'parent_sim': 0.0, 'parent_ce': -7.8142, 'n_sub_chunks': 1, 'best_sub_preview': '. With the defense carrying the team despite the issues with the offense, the Br', 'best_sub_sim': 0.4992, 'best_sub_ce': -7.8142, 'sim_improvement': 0.4992, 'ce_improvement': -0.0}, {'parent_preview': '. With the defense carrying the team despite the issues with the offense, the Broncos finished the regular season with a', 'parent_sim': 0.0, 'parent_ce': -7.8142, 'n_sub_chunks': 1, 'best_sub_preview': '. With the defense carrying the team despite the issues with the offense, the Br', 'best_sub_sim': 0.4992, 'best_sub_ce': -7.8142, 'sim_improvement': 0.4992, 'ce_improvement': -0.0}, {'parent_preview': '. With the defense carrying the team despite the issues with the offense, the Broncos finished the regular season with a', 'parent_sim': 0.0, 'parent_ce': -7.8142, 'n_sub_chunks': 1, 'best_sub_preview': '. With the defense carrying the team despite the issues with the offense, the Br', 'best_sub_sim': 0.4992, 'best_sub_ce': -7.8142, 'sim_improvement': 0.4992, 'ce_improvement': -0.0}]}",3,"[{""sentence"": ""I cannot find this information in the provided context"", ""entailment"": 0.5531, ""contradiction"": 0.2699, ""neutral"": 0.177}, {""sentence"": ""The context does not specify what AFC stands for"", ""entailment"": 0.7994, ""contradiction"": 0.0654, ""neutral"": 0.1352}]"
2026-04-09T14:21:11.661519+00:00,What was the theme of Super Bowl 50?,"which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.

---

which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.

---

which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50."," I cannot find this information in the provided context. The context only mentions that the game would be known as ""Super Bowl L"" and that the logo would prominently feature Arabic numerals 50, but it does not provide any information about the theme of Super Bowl 50.",0.6554,False,3,3,0.6354,0.6354,0.6354,3,0.0,1024,hcpc_v1,squad,"""golden anniversary""","{'n_strong': 0, 'n_weak': 3, 'n_refined': 3, 'strong_sims': [], 'weak_sims': [0.2742, 0.2742, 0.2742], 'refinements': [{'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.2742, 'parent_ce': 5.7234, 'n_sub_chunks': 5, 'best_sub_preview': 'which the game would have been known as ""Super Bowl L""), so that the logo could ', 'best_sub_sim': 0.6354, 'best_sub_ce': 2.309, 'sim_improvement': 0.3612, 'ce_improvement': -3.4144}, {'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.2742, 'parent_ce': 5.7234, 'n_sub_chunks': 5, 'best_sub_preview': 'which the game would have been known as ""Super Bowl L""), so that the logo could ', 'best_sub_sim': 0.6354, 'best_sub_ce': 2.309, 'sim_improvement': 0.3612, 'ce_improvement': -3.4144}, {'parent_preview': 'Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015', 'parent_sim': 0.2742, 'parent_ce': 5.7234, 'n_sub_chunks': 5, 'best_sub_preview': 'which the game would have been known as ""Super Bowl L""), so that the logo could ', 'best_sub_sim': 0.6354, 'best_sub_ce': 2.309, 'sim_improvement': 0.3612, 'ce_improvement': -3.4144}]}",3,"[{""sentence"": ""I cannot find this information in the provided context"", ""entailment"": 0.5531, ""contradiction"": 0.2699, ""neutral"": 0.177}, {""sentence"": ""The context only mentions that the game would be known as \""Super Bowl L\"" and that the logo would prominently feature Arabic numerals 50, but it does not provide any information about the theme of Super Bowl 50"", ""entailment"": 0.7577, ""contradiction"": 0.1931, ""neutral"": 0.0492}]"
2026-04-09T14:21:16.365035+00:00,What does AFC stand for?,". With the defense carrying the team despite the issues with the offense, the Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs.

---

. With the defense carrying the team despite the issues with the offense, the Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs.

---

. With the defense carrying the team despite the issues with the offense, the Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs."," I cannot find the abbreviation ""AFC"" explicitly defined in the provided context. However, in American football, AFC typically stands for the American Football Conference.",0.6233,False,3,3,0.4753,0.4753,0.4753,3,0.0,1024,hcpc_v1,squad,American Football Conference,"{'n_strong': 0, 'n_weak': 3, 'n_refined': 3, 'strong_sims': [], 'weak_sims': [0.0, 0.0, 0.0], 'refinements': [{'parent_preview': '. With the defense carrying the team despite the issues with the offense, the Broncos finished the regular season with a', 'parent_sim': 0.0, 'parent_ce': -5.3964, 'n_sub_chunks': 1, 'best_sub_preview': '. With the defense carrying the team despite the issues with the offense, the Br', 'best_sub_sim': 0.4753, 'best_sub_ce': -5.3964, 'sim_improvement': 0.4753, 'ce_improvement': -0.0}, {'parent_preview': '. With the defense carrying the team despite the issues with the offense, the Broncos finished the regular season with a', 'parent_sim': 0.0, 'parent_ce': -5.3964, 'n_sub_chunks': 1, 'best_sub_preview': '. With the defense carrying the team despite the issues with the offense, the Br', 'best_sub_sim': 0.4753, 'best_sub_ce': -5.3964, 'sim_improvement': 0.4753, 'ce_improvement': -0.0}, {'parent_preview': '. With the defense carrying the team despite the issues with the offense, the Broncos finished the regular season with a', 'parent_sim': 0.0, 'parent_ce': -5.3964, 'n_sub_chunks': 1, 'best_sub_preview': '. With the defense carrying the team despite the issues with the offense, the Br', 'best_sub_sim': 0.4753, 'best_sub_ce': -5.3964, 'sim_improvement': 0.4753, 'ce_improvement': -0.0}]}",3,"[{""sentence"": ""I cannot find the abbreviation \""AFC\"" explicitly defined in the provided context"", ""entailment"": 0.458, ""contradiction"": 0.0758, ""neutral"": 0.4662}, {""sentence"": ""However, in American football, AFC typically stands for the American Football Conference"", ""entailment"": 0.7886, ""contradiction"": 0.1045, ""neutral"": 0.1069}]"
