evidence_id,path,snapshot,role,size_bytes,sha256,provenance_status,notes
"E001","rag-hallucination-detection_main/CLAIMS_AUDIT.md","submitted tree","claim summary","4305","0d32a472d04391b8fba943429e71a1a795af4059e5bb6d9a567aafcd5c4f2717","SUMMARY_ONLY","Maps submitted values to frozen result summaries."
"E002","rag-hallucination-detection_main/SOURCE_TRACE.md","submitted tree","source map","3015","10de66a06b5ce683eea6d5a3af54852b3e141904865295bd7674c14f9d330fa4","SUMMARY_ONLY","Claims broader per-query coverage than inventory currently shows."
"E003","rag-hallucination-detection_main/artifact_manifest.md","submitted tree","artifact manifest","3058","1f6323ab9d85ae116233f6978f296bf63f027f2ec7ed9b2030a559ebe4ed2299","SUMMARY_ONLY","Reviewer ZIP content description."
"E004","rag-hallucination-detection_main/controlledrag_reporting_checklist.md","submitted tree","method/config summary","3016","f8e595287e8a52cdb3ba24c787283a9aea4232c513c2b62c6db9f58d33593366","SUMMARY_ONLY","Seven-axis filled checklist."
"E005","SUBMITTED_LOCAL_PAPER/sections/controlledrag_main.tex","submitted local superset","main paper source","36372","9da9c282167510087305a7a94f2462087523ea8d0f1f6833ed05ba64f980c381","CANDIDATE_TO_VERIFY","Sanitized path label; paper source was excluded from anonymous reviewer ZIP."
"E006","SUBMITTED_LOCAL_PAPER/supplement.tex","submitted local superset","supplement source","38770","297060c6682776d2fa6f48797c923bd002d1be518f1e75e77a4a94f0d7100c94","CANDIDATE_TO_VERIFY","Sanitized path label; references absent audit_log.md."
"E007","SUBMITTED_LOCAL_PAPER/checklist.tex","submitted local superset","NeurIPS checklist","12221","54b8ee05b005f991fa204dd167bd1dd7f4e947f64060863d70944776220e02da","CANDIDATE_TO_VERIFY","Sanitized path label; contains human-subject and artifact-completeness assertions requiring care."
"E008","SUBMITTED_LOCAL_PAPER/neurips_2026.pdf","submitted local superset","compiled paper","1491976","93c827f5b66ec22192faacbeb41abd5844df007ba9d5b8924e059358bffb2b15","CANDIDATE_TO_VERIFY","Sanitized path label; byte identity should be checked against actual submission export."
"E009","rag-hallucination-detection_main/submission_package/neurips2026_reviewer_artifact_anonymous.zip","submitted tree","anonymous reviewer artifact","852224","7e03cb61734f7cd9a56cd6f3ff9acecffdbc9726c835d3f8ec59dffeccce8528","SUBMITTED_BASELINE","Primary immutable reviewer artifact."
"E010","rag-hallucination-detection_main/results/revision/fix_01/paired_wilcoxon.csv","submitted artifact","matched-context summary","562","7046d1aec621bcc2436d706af7fd3b535f65d2b0ff6e04591f7afad312f6ae30","TO_VERIFY","Headline matched result."
