question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,embedder
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,baseline,0.7354,False,0.8784,False,-1.0,3.08,squad,gte-large
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v1,0.7354,False,0.8866,False,-1.0,2.55,squad,gte-large
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v2,0.7354,False,0.8784,False,0.9171,3.5,squad,gte-large
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The Carolina Panthers represented the NFC at Super Bowl 50.,baseline,0.813,False,0.8841,False,-1.0,1.49,squad,gte-large
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The National Football Conference (NFC) champion represented by Carolina Panthers at Super Bowl 50.,hcpc_v1,0.7465,False,0.8937,False,-1.0,2.03,squad,gte-large
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The Carolina Panthers represented the NFC at Super Bowl 50.,hcpc_v2,0.813,False,0.8841,False,0.8393,2.72,squad,gte-large
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context states that Super Bowl 50 was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.9926,False,0.8911,False,-1.0,2.93,squad,gte-large
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context states that Super Bowl 50 was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v1,0.9926,False,0.8911,False,-1.0,1.72,squad,gte-large
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context states that Super Bowl 50 was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.9926,False,0.8911,False,0.8348,1.81,squad,gte-large
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.8861,False,-1.0,3.17,squad,gte-large
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v1,0.9247,False,0.9024,False,-1.0,1.03,squad,gte-large
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.8861,False,0.8682,2.14,squad,gte-large
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,baseline,1.0,False,0.8854,False,-1.0,2.77,squad,gte-large
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v1,1.0,False,0.8845,False,-1.0,0.46,squad,gte-large
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v2,1.0,False,0.8854,False,0.8632,2.25,squad,gte-large
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50, but it does state that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",baseline,0.5463,False,0.8927,False,-1.0,4.17,squad,gte-large
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50, but it does state that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",hcpc_v1,0.5463,False,0.8927,False,-1.0,2.43,squad,gte-large
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50, but it does state that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",hcpc_v2,0.5463,False,0.8927,False,0.831,2.22,squad,gte-large
What day was the game played on?,"February 7, 2016"," The Super Bowl 50 game was played on February 7, 2016.",baseline,0.9327,False,0.8429,False,-1.0,5.52,squad,gte-large
What day was the game played on?,"February 7, 2016"," The Super Bowl 50 game was played on February 7, 2016.",hcpc_v1,0.9327,False,0.8417,False,-1.0,1.81,squad,gte-large
What day was the game played on?,"February 7, 2016"," The Super Bowl 50 game was played on February 7, 2016.",hcpc_v2,0.9327,False,0.8429,False,0.8441,3.84,squad,gte-large
What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, in the context of American football, AFC typically stands for ""American Football Conference.""",baseline,0.6259,False,0.7915,False,-1.0,5.76,squad,gte-large
What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, in the context of American football, AFC typically stands for ""American Football Conference.""",hcpc_v1,0.6259,False,0.7866,False,-1.0,3.97,squad,gte-large
What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, in the context of American football, AFC typically stands for ""American Football Conference.""",hcpc_v2,0.6259,False,0.7915,False,0.8057,5.48,squad,gte-large
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50, but it does state that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",baseline,0.5463,False,0.8927,False,-1.0,6.2,squad,gte-large
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50, but it does state that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",hcpc_v1,0.5463,False,0.8927,False,-1.0,3.12,squad,gte-large
