question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,embedder
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,baseline,0.7354,False,0.6729,False,-1.0,4.74,squad,bge-large
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v1,0.7354,False,0.679,False,-1.0,2.08,squad,bge-large
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v2,0.7354,False,0.6729,False,0.7499,3.86,squad,bge-large
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The Carolina Panthers represented the NFC at Super Bowl 50.,baseline,0.813,False,0.6709,False,-1.0,1.1,squad,bge-large
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v1,0.8891,False,0.6788,False,-1.0,2.46,squad,bge-large
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v2,0.8891,False,0.6709,False,0.7499,4.18,squad,bge-large
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",baseline,0.9533,False,0.6757,False,-1.0,3.71,squad,bge-large
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context states that Super Bowl 50 was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v1,0.9926,False,0.6624,False,-1.0,2.87,squad,bge-large
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9533,False,0.6757,False,0.5832,3.69,squad,bge-large
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6916,False,-1.0,3.2,squad,bge-large
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v1,0.9247,False,0.6867,False,-1.0,1.5,squad,bge-large
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6916,False,0.7088,2.65,squad,bge-large
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,baseline,1.0,False,0.6558,False,-1.0,3.11,squad,bge-large
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v1,1.0,False,0.6497,False,-1.0,1.75,squad,bge-large
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold was used to emphasize the 50th anniversary of the Super Bowl.,hcpc_v2,0.6905,False,0.6566,True,0.7113,5.61,squad,bge-large
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not explicitly state a specific theme for Super Bowl 50 other than it being emphasized as the ""golden anniversary."" However, since the league temporarily suspended the tradition of naming each Super Bowl game with Roman numerals and used Arabic numerals to highlight the 50th edition, one could infer that the theme might have been centered around celebrating the golden anniversary.",baseline,0.4436,True,0.6611,False,-1.0,8.34,squad,bge-large
What was the theme of Super Bowl 50?,"""golden anniversary""", I cannot find this information in the provided context. The context does not mention the theme of Super Bowl 50.,hcpc_v1,0.6498,False,0.677,False,-1.0,2.65,squad,bge-large
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50, but it does state that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",hcpc_v2,0.5463,False,0.6611,False,0.5982,6.86,squad,bge-large
What day was the game played on?,"February 7, 2016"," The Super Bowl 50 game was played on February 7, 2016.",baseline,0.9327,False,0.6242,False,-1.0,3.5,squad,bge-large
What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",hcpc_v1,0.8967,False,0.6408,False,-1.0,2.93,squad,bge-large
What day was the game played on?,"February 7, 2016"," The Super Bowl 50 game was played on February 7, 2016.",hcpc_v2,0.9327,False,0.6242,True,0.7229,4.98,squad,bge-large
What is the AFC short for?,American Football Conference, The context does not provide information about what AFC stands for.,baseline,0.4877,True,0.4541,False,-1.0,4.27,squad,bge-large
What is the AFC short for?,American Football Conference, I cannot find this information in the provided context. The context does not mention or imply what AFC stands for.,hcpc_v1,0.5641,False,0.4337,False,-1.0,3.34,squad,bge-large
What is the AFC short for?,American Football Conference, The context does not provide information about what AFC stands for.,hcpc_v2,0.4877,True,0.4551,True,0.7122,5.89,squad,bge-large
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50 other than it emphasizing the ""golden anniversary"" with various gold-themed initiatives.",baseline,0.7926,False,0.6611,False,-1.0,5.27,squad,bge-large
What was the theme of Super Bowl 50?,"""golden anniversary""", I cannot find this information in the provided context. The context does not mention the theme of Super Bowl 50.,hcpc_v1,0.6498,False,0.677,False,-1.0,2.91,squad,bge-large
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50, but it does state that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",hcpc_v2,0.5463,False,0.6611,False,0.5982,7.2,squad,bge-large
What does AFC stand for?,American Football Conference," The context provided does not mention what AFC stands for. However, in American football, AFC typically stands for American Football Conference.",baseline,0.765,False,0.4644,False,-1.0,5.1,squad,bge-large
What does AFC stand for?,American Football Conference," I cannot find this information in the provided context. The context only discusses Super Bowl 50, but it does not mention the AFC or NFL divisions.",hcpc_v1,0.523,False,0.4526,False,-1.0,3.83,squad,bge-large
What does AFC stand for?,American Football Conference," The context provided does not mention what AFC stands for. However, in American football, AFC typically stands for the American Football Conference.",hcpc_v2,0.7698,False,0.465,True,0.7122,6.65,squad,bge-large
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",baseline,0.8567,False,0.7011,False,-1.0,5.28,squad,bge-large
What day was the Super Bowl played on?,"February 7, 2016"," The provided context does not specify the exact day when Super Bowl 50 was played. However, we know it was held on February 1, 2016, as that is the date when the media day (Super Bowl Opening Night) took place.",hcpc_v1,0.6737,False,0.6695,False,-1.0,7.23,squad,bge-large
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",hcpc_v2,0.8567,False,0.7011,False,0.7229,4.84,squad,bge-large
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.7095,False,-1.0,4.97,squad,bge-large
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v1,0.9247,False,0.705,False,-1.0,1.87,squad,bge-large
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.7095,False,0.5889,2.7,squad,bge-large
What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in Santa Clara, California",baseline,0.793,False,0.6739,False,-1.0,5.16,squad,bge-large
What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v1,0.6918,False,0.654,False,-1.0,4.2,squad,bge-large
What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in Santa Clara, California",hcpc_v2,0.793,False,0.6742,True,0.6826,5.49,squad,bge-large
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in San Francisco Bay Area at Santa Clara, California.",baseline,0.9567,False,0.6786,False,-1.0,4.64,squad,bge-large
What city did Super Bowl 50 take place in?,Santa Clara," San Francisco Bay Area (specifically at Levi's Stadium in Santa Clara, California)",hcpc_v1,0.743,False,0.6769,False,-1.0,4.07,squad,bge-large
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.9567,False,0.6793,True,0.6826,4.86,squad,bge-large
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Super Bowl 50 would have been called ""Super Bowl L"" if Roman numerals were used.",baseline,0.5623,False,0.6691,False,-1.0,7.03,squad,bge-large
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," I cannot find this information in the provided context. The context only states that Roman numerals were temporarily suspended and the game was named Super Bowl 50, not what it would have been called if they had used Roman numerals.",hcpc_v1,0.6531,False,0.7092,False,-1.0,5.54,squad,bge-large
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Super Bowl 50 would have been called ""Super Bowl L"" if Roman numerals were used.",hcpc_v2,0.5623,False,0.6691,True,0.6086,4.83,squad,bge-large
Super Bowl 50 decided the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was determined in Super Bowl 50.,baseline,0.713,False,0.6667,False,-1.0,7.06,squad,bge-large
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,hcpc_v1,0.6644,False,0.6736,False,-1.0,2.85,squad,bge-large
Super Bowl 50 decided the NFL champion for what season?,2015, The NFL champion for the 2015 season was determined in Super Bowl 50.,hcpc_v2,0.7168,False,0.6667,True,0.6086,4.4,squad,bge-large
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The Denver Broncos secured a Super Bowl title for the third time in 2016, as stated in the provided context about Super Bowl 50.",baseline,0.7915,False,0.6894,False,-1.0,7.83,squad,bge-large
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The context does not specify the exact year, but it implies that the event happened after Super Bowl XLIX (which was held in 2015), so the year could be either 2016 or any subsequent year where the Broncos won a Super Bowl. However, without additional context, I cannot definitively say which specific year it was.",hcpc_v1,0.5792,False,0.7168,False,-1.0,7.15,squad,bge-large
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The Denver Broncos secured a Super Bowl title for the third time in 2016, as stated in the provided context about Super Bowl 50.",hcpc_v2,0.7915,False,0.6894,False,0.7499,6.81,squad,bge-large
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in San Francisco Bay Area at Santa Clara, California.",baseline,0.9567,False,0.6786,False,-1.0,5.98,squad,bge-large
