question,ground_truth,condition,answer,context,faith_deberta,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,seed,model,backend,faith_second_nli,second_nli_label,faith_ragas,ragas_reason,faith_deberta_ctx,faith_roberta_mnli_ctx
Whose saying about purgatory did Martin Luther object to?,Johann Tetzel,baseline," Martin Luther objected to the saying attributed to Johann Tetzel that ""As soon as the coin in the coffer rings, the soul from purgatory (also attested as 'into heaven') springs.""","Luther objected to a saying attributed to Johann Tetzel that ""As soon as the coin in the coffer rings, the soul from purgatory (also attested as 'into heaven') springs.""

---

In contrast to the views of John Calvin and Philipp Melanchthon, throughout his life Luther maintained that it was not false doctrine to believe that a Christian's soul sleeps after it is separated from the body in death; and, accordingly, he disputed traditional interpretations of some Bible passages, such as the parable of the rich man and Lazarus. This also led Luther to reject the idea of torments for the saints: ""It is enough for us to know that souls do not leave their bodies to be threatened by the torments and punishments of hell, but enter a prepared bedchamber in which they sleep in peace."" He also rejected the existence of Purgatory, which involved Christian souls undergoing penitential suffering after death. He affirmed the continuity of one's personal identity beyond death. In his Smalcald Articles, he described the saints as currently residing ""in their graves and in heaven.""

---

Luther dedicated himself to the Augustinian order, devoting himself to fasting, long hours in prayer, pilgrimage, and frequent confession. Luther described this period of his life as one of deep spiritual despair. He said, ""I lost touch with Christ the Savior and Comforter, and made of him the jailer and hangman of my poor soul."" Johann von Staupitz, his superior, pointed Luther's mind away from continual reflection upon his sins toward the merits of Christ. He taught that true repentance does not involve self-inflicted penances and punishments but rather a change of heart.",0.4197,True,0.6623,False,-1.0,87.016,squad,41,mistral,ollama,0.1745,hallucinated,1.0,The answer directly quotes the context which states that Luther objected to a saying attributed to Johann Tetzel about purgatory.,0.04657556116580963,0.2855658531188965
Whose saying about purgatory did Martin Luther object to?,Johann Tetzel,hcpc_v1, Martin Luther objected to a saying attributed to Johann Tetzel.,"Luther objected to a saying attributed to Johann Tetzel that ""As soon as the coin in the coffer rings, the soul from purgatory (also attested as 'into heaven') springs.""

---

. This also led Luther to reject the idea of torments for the saints: ""It is enough for us to know that souls do not leave their bodies to be threatened by the torments and punishments of hell, but enter a prepared bedchamber in which they sleep in peace.""

---

. He said, ""I lost touch with Christ the Savior and Comforter, and made of him the jailer and hangman of my poor soul."" Johann von Staupitz, his superior, pointed Luther's mind away from continual reflection upon his sins toward the merits of Christ",0.6266,False,0.6918,False,-1.0,0.55,squad,41,mistral,ollama,0.216,hallucinated,1.0,The answer directly matches the context which states that Luther objected to a saying attributed to Johann Tetzel.,0.9947866201400757,0.8127285838127136
Whose saying about purgatory did Martin Luther object to?,Johann Tetzel,hcpc_v2," Martin Luther objected to the saying attributed to Johann Tetzel that ""As soon as the coin in the coffer rings, the soul from purgatory (also attested as 'into heaven') springs.""","Luther objected to a saying attributed to Johann Tetzel that ""As soon as the coin in the coffer rings, the soul from purgatory (also attested as 'into heaven') springs.""

---

In contrast to the views of John Calvin and Philipp Melanchthon, throughout his life Luther maintained that it was not false doctrine to believe that a Christian's soul sleeps after it is separated from the body in death; and, accordingly, he disputed traditional interpretations of some Bible passages, such as the parable of the rich man and Lazarus. This also led Luther to reject the idea of torments for the saints: ""It is enough for us to know that souls do not leave their bodies to be threatened by the torments and punishments of hell, but enter a prepared bedchamber in which they sleep in peace."" He also rejected the existence of Purgatory, which involved Christian souls undergoing penitential suffering after death. He affirmed the continuity of one's personal identity beyond death. In his Smalcald Articles, he described the saints as currently residing ""in their graves and in heaven.""

---

Luther dedicated himself to the Augustinian order, devoting himself to fasting, long hours in prayer, pilgrimage, and frequent confession. Luther described this period of his life as one of deep spiritual despair . He said, ""I lost touch with Christ the Savior and Comforter, and made of him the jailer and hangman of my poor soul."" Johann von Staupitz, his superior, pointed Luther's mind away from continual reflection upon his sins toward the merits of Christ . He taught that true repentance does not involve self-inflicted penances and punishments but rather a change of heart.",0.4197,True,0.66,True,0.5736,1.487,squad,41,mistral,ollama,0.1745,hallucinated,1.0,The answer directly quotes the context which states that Luther objected to a saying attributed to Johann Tetzel about purgatory.,0.08205892145633698,0.3011761009693146
How may yards did Peyton Manning throw?,"2,249",baseline, 141 yards,". In week 10, Manning suffered a partial tear of the plantar fasciitis in his left foot. He set the NFL's all-time record for career passing yards in this game, but was benched after throwing four interceptions in favor of backup quarterback Brock Osweiler, who took over as the starter for most of the remainder of the regular season. Osweiler was injured, however, leading to Manning's return during the Week 17 regular season finale, where the Broncos were losing 13–7 against the 4–11 San Diego Chargers, resulting in Manning re-claiming the starting quarterback position for the playoffs by leading the team to a key 27–20 win that enabled the team to clinch the number one overall AFC seed. Under defensive coordinator Wade Phillips, the Broncos' defense ranked number one in total yards allowed, passing yards allowed and sacks, and like the previous three seasons, the team has continued to set numerous individual, league and franchise records

---

Manning finished the year with a career-low 67.9 passer rating, throwing for 2,249 yards and nine touchdowns, with 17 interceptions. In contrast, Osweiler threw for 1,967 yards, 10 touchdowns and six interceptions for a rating of 86.4. Veteran receiver Demaryius Thomas led the team with 105 receptions for 1,304 yards and six touchdowns, while Emmanuel Sanders caught 76 passes for 1,135 yards and six scores, while adding another 106 yards returning punts. Tight end Owen Daniels was also a big element of the passing game with 46 receptions for 517 yards. Running back C. J. Anderson was the team's leading rusher 863 yards and seven touchdowns, while also catching 25 passes for 183 yards. Running back Ronnie Hillman also made a big impact with 720 yards, five touchdowns, 24 receptions, and a 4.7 yards per carry average. Overall, the offense ranked 19th in scoring with 355 points and did not have any Pro Bowl selections.

---

Manning finished the game 13 of 23 for 141 yards with one interception and zero touchdowns. Sanders was his top receiver with six receptions for 83 yards. Anderson was the game's leading rusher with 90 yards and a touchdown, along with four receptions for 10 yards. Miller had six total tackles (five solo), 2½ sacks, and two forced fumbles. Ware had five total tackles and two sacks. Ward had seven total tackles, a fumble recovery, and an interception. McManus made all four of his field goals, making him perfect on all 11 attempts during the post-season. Newton completed 18 of 41 passes for 265 yards, with one interception. He was also the team's leading rusher with 45 yards on six carries. Brown caught four passes for 80 yards, while Ginn had four receptions for 74. Ealy was the top defensive performer for Carolina with four total tackles, three sacks, a forced fumble, a fumble recovery, and an interception. Defensive End Charles Johnson had four total tackles, a sack, and a forced fumble",1.0,False,0.5922,False,-1.0,0.928,squad,41,mistral,ollama,0.4038,hallucinated,0.75,"The answer '141 yards' is partially correct as it matches the factual claim about Peyton Manning throwing for 141 yards in the provided context. However, the question asks for 'How may yards did Peyton Manning throw for the entire season?' and the given context does not provide this information.",,
How may yards did Peyton Manning throw?,"2,249",hcpc_v1," The context states that in the specific game, Peyton Manning threw for 141 yards. However, it does not provide information about his total career passing yards or the number of yards he threw during the entire year. So, to answer your question specifically about this game, Peyton Manning threw 141 yards. But for the total yards thrown during the year, I cannot find this information in the provided context.",". He set the NFL's all-time record for career passing yards in this game, but was benched after throwing four interceptions in favor of backup quarterback Brock Osweiler, who took over as the starter for most of the remainder of the regular season

---

Manning finished the year with a career-low 67.9 passer rating, throwing for 2,249 yards and nine touchdowns, with 17 interceptions. In contrast, Osweiler threw for 1,967 yards, 10 touchdowns and six interceptions for a rating of 86.4

---

Manning finished the game 13 of 23 for 141 yards with one interception and zero touchdowns. Sanders was his top receiver with six receptions for 83 yards",0.802,False,0.6426,False,-1.0,2.532,squad,41,mistral,ollama,0.166,hallucinated,1.0,The answer directly supports the claim about the number of yards Peyton Manning threw in the specific game.,0.25823846550702,0.34343500691466033
How may yards did Peyton Manning throw?,"2,249",hcpc_v2, 141 yards,". In week 10, Manning suffered a partial tear of the plantar fasciitis in his left foot. He set the NFL's all-time record for career passing yards in this game, but was benched after throwing four interceptions in favor of backup quarterback Brock Osweiler, who took over as the starter for most of the remainder of the regular season. Osweiler was injured, however, leading to Manning's return during the Week 17 regular season finale, where the Broncos were losing 13–7 against the 4–11 San Diego Chargers, resulting in Manning re-claiming the starting quarterback position for the playoffs by leading the team to a key 27–20 win that enabled the team to clinch the number one overall AFC seed. Under defensive coordinator Wade Phillips, the Broncos' defense ranked number one in total yards allowed, passing yards allowed and sacks, and like the previous three seasons, the team has continued to set numerous individual, league and franchise records

---

Manning finished the year with a career-low 67.9 passer rating, throwing for 2,249 yards and nine touchdowns, with 17 interceptions. In contrast, Osweiler threw for 1,967 yards, 10 touchdowns and six interceptions for a rating of 86.4. Veteran receiver Demaryius Thomas led the team with 105 receptions for 1,304 yards and six touchdowns, while Emmanuel Sanders caught 76 passes for 1,135 yards and six scores, while adding another 106 yards returning punts. Tight end Owen Daniels was also a big element of the passing game with 46 receptions for 517 yards. Running back C. J. Anderson was the team's leading rusher 863 yards and seven touchdowns, while also catching 25 passes for 183 yards. Running back Ronnie Hillman also made a big impact with 720 yards, five touchdowns, 24 receptions, and a 4.7 yards per carry average. Overall, the offense ranked 19th in scoring with 355 points and did not have any Pro Bowl selections.

---

Manning finished the game 13 of 23 for 141 yards with one interception and zero touchdowns. Sanders was his top receiver with six receptions for 83 yards. Anderson was the game's leading rusher with 90 yards and a touchdown, along with four receptions for 10 yards. Miller had six total tackles (five solo), 2½ sacks, and two forced fumbles. Ware had five total tackles and two sacks. Ward had seven total tackles, a fumble recovery, and an interception. McManus made all four of his field goals, making him perfect on all 11 attempts during the post-season. Newton completed 18 of 41 passes for 265 yards, with one interception. He was also the team's leading rusher with 45 yards on six carries. Brown caught four passes for 80 yards, while Ginn had four receptions for 74. Ealy was the top defensive performer for Carolina with four total tackles, three sacks, a forced fumble, a fumble recovery, and an interception. Defensive End Charles Johnson had four total tackles, a sack, and a forced fumble",1.0,False,0.5922,False,0.6334,0.902,squad,41,mistral,ollama,0.4038,hallucinated,0.75,"The answer '141 yards' is partially correct as it matches the factual claim about Peyton Manning throwing for 141 yards in the given game. However, the question asks for the total number of yards thrown by Manning throughout the season, which is not directly supported by the provided context.",,
When did Tesla depart Graz?,1878,baseline, Tesla left Graz in December 1878.,"On 7 January 1900, Tesla left Colorado Springs.[citation needed] His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.

---

In December 1878, Tesla left Graz and severed all relations with his family to hide the fact that he dropped out of school. His friends thought that he had drowned in the Mur River. Tesla went to Maribor (now in Slovenia), where he worked as a draftsman for 60 florins a month. He spent his spare time playing cards with local men on the streets. In March 1879, Milutin Tesla went to Maribor to beg his son to return home, but Nikola refused. Nikola suffered a nervous breakdown at around the same time.

---

On 24 March 1879, Tesla was returned to Gospić under police guard for not having a residence permit. On 17 April 1879, Milutin Tesla died at the age of 60 after contracting an unspecified illness (although some sources say that he died of a stroke). During that year, Tesla taught a large class of students in his old school, Higher Real Gymnasium, in Gospić.",0.7292,False,0.6066,False,-1.0,0.681,squad,41,mistral,ollama,0.3469,hallucinated,1.0,The answer is directly supported by the context.,0.2094273865222931,0.06863589584827423
When did Tesla depart Graz?,1878,hcpc_v1, Tesla left Graz in December 1878.,"On 7 January 1900, Tesla left Colorado Springs.[citation needed] His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.

---

In December 1878, Tesla left Graz and severed all relations with his family to hide the fact that he dropped out of school. His friends thought that he had drowned in the Mur River

---

On 24 March 1879, Tesla was returned to Gospić under police guard for not having a residence permit. On 17 April 1879, Milutin Tesla died at the age of 60 after contracting an unspecified illness (although some sources say that he died of a stroke)",0.7292,False,0.6154,False,-1.0,0.472,squad,41,mistral,ollama,0.3469,hallucinated,1.0,The answer is directly supported by the context.,0.9977756142616272,0.25227463245391846
When did Tesla depart Graz?,1878,hcpc_v2, Tesla left Graz in December 1878.,"On 7 January 1900, Tesla left Colorado Springs.[citation needed] His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.

---

In December 1878, Tesla left Graz and severed all relations with his family to hide the fact that he dropped out of school. His friends thought that he had drowned in the Mur River. Tesla went to Maribor (now in Slovenia), where he worked as a draftsman for 60 florins a month. He spent his spare time playing cards with local men on the streets. In March 1879, Milutin Tesla went to Maribor to beg his son to return home, but Nikola refused. Nikola suffered a nervous breakdown at around the same time.

---

On 24 March 1879, Tesla was returned to Gospić under police guard for not having a residence permit. On 17 April 1879, Milutin Tesla died at the age of 60 after contracting an unspecified illness (although some sources say that he died of a stroke). During that year, Tesla taught a large class of students in his old school, Higher Real Gymnasium, in Gospić.",0.7292,False,0.6066,False,0.5397,0.585,squad,41,mistral,ollama,0.3469,hallucinated,1.0,The answer is directly supported by the context.,0.2094273865222931,0.06863589584827423
What clothing company was a Super Bowl sponsor?,Gap,baseline," The provided context does not mention any specific clothing company as a Super Bowl sponsor. However, it does list Gap among the sponsors that have contributed to the Super Bowl 50 Host Committee's fundraising efforts.","For the first time, the Super Bowl 50 Host Committee and the NFL have openly sought disabled veteran and lesbian, gay, bisexual and transgender-owned businesses in Business Connect, the Super Bowl program that provides local companies with contracting opportunities in and around the Super Bowl. The host committee has already raised over $40 million through sponsors including Apple, Google, Yahoo!, Intel, Gap, Chevron, and Dignity Health.

---

On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985, and the first in California since Super Bowl XXXVII took place in San Diego in 2003.

---

Various gold-themed promotions and initiatives were held throughout the 2015 NFL season to tie into the ""Golden Super Bowl""; gold-tinted logos were implemented across the NFL's properties and painted on fields, the numbering of the 50-yard line on fields was colored gold, and beginning on week 7, all sideline jackets and hats featured gold-trimmed logos. Gold footballs were given to each high school that has had a player or coach appear in the Super Bowl, and ""homecoming"" events were also held by Super Bowl-winning teams at games.",0.7104,False,0.5663,False,-1.0,1.587,squad,41,mistral,ollama,0.3804,hallucinated,0.6,"The context mentions Gap as a contributor to the Super Bowl 50 Host Committee's fundraising efforts, but it does not explicitly state that they were a Super Bowl sponsor.",0.0002559821878094226,0.03356067789718509
