sim,ce,topk,mean_ccs,ccs_var,proxy_score,pct_refined,time,dataset
0.4,-0.2,1,1.0,0.0,1.5884500000000004,20.0,5.09,squad
0.4,-0.2,2,1.0,0.0,1.4733700000000003,20.0,4.64,squad
0.4,-0.2,3,1.0,0.0,1.3841300000000003,20.0,4.91,squad
0.4,-0.15,1,1.0,0.0,1.5884500000000004,20.0,4.65,squad
0.4,-0.15,2,1.0,0.0,1.4733700000000003,20.0,4.82,squad
0.4,-0.15,3,1.0,0.0,1.3841300000000003,20.0,4.71,squad
0.4,-0.1,1,1.0,0.0,1.5884500000000004,20.0,4.48,squad
0.4,-0.1,2,1.0,0.0,1.4733700000000003,20.0,4.9,squad
0.4,-0.1,3,1.0,0.0,1.3841300000000003,20.0,4.61,squad
0.5,-0.2,1,1.0,0.0,1.5884500000000004,20.0,4.56,squad
0.5,-0.2,2,1.0,0.0,1.4733700000000003,20.0,4.82,squad
0.5,-0.2,3,1.0,0.0,1.3841300000000003,20.0,5.0,squad
0.5,-0.15,1,1.0,0.0,1.5884500000000004,20.0,4.51,squad
0.5,-0.15,2,1.0,0.0,1.4733700000000003,20.0,4.51,squad
0.5,-0.15,3,1.0,0.0,1.3841300000000003,20.0,5.13,squad
0.5,-0.1,1,1.0,0.0,1.5884500000000004,20.0,5.15,squad
0.5,-0.1,2,1.0,0.0,1.4733700000000003,20.0,4.6,squad
0.5,-0.1,3,1.0,0.0,1.3841300000000003,20.0,5.09,squad
0.6,-0.2,1,1.0,0.0,1.5884500000000004,20.0,5.43,squad
0.6,-0.2,2,1.0,0.0,1.4733700000000003,20.0,5.13,squad
0.6,-0.2,3,1.0,0.0,1.3841300000000003,20.0,4.87,squad
0.6,-0.15,1,1.0,0.0,1.5884500000000004,20.0,4.72,squad
0.6,-0.15,2,1.0,0.0,1.4733700000000003,20.0,4.71,squad
0.6,-0.15,3,1.0,0.0,1.3841300000000003,20.0,4.73,squad
0.6,-0.1,1,1.0,0.0,1.5884500000000004,20.0,4.79,squad
0.6,-0.1,2,1.0,0.0,1.4733700000000003,20.0,4.71,squad
0.6,-0.1,3,1.0,0.0,1.3841300000000003,20.0,4.65,squad
0.4,-0.2,1,0.7009,0.0309421,1.1989800000000002,50.0,6.34,pubmedqa
0.4,-0.2,2,0.66541,0.021047842900000002,1.0450300000000001,50.0,5.28,pubmedqa
0.4,-0.2,3,0.66221,0.021269986900000003,1.0311,40.0,4.66,pubmedqa
0.4,-0.15,1,0.7009,0.0309421,1.1989800000000002,50.0,4.8,pubmedqa
0.4,-0.15,2,0.66541,0.021047842900000002,1.0450300000000001,50.0,5.32,pubmedqa
0.4,-0.15,3,0.66221,0.021269986900000003,1.0311,40.0,5.44,pubmedqa
0.4,-0.1,1,0.7009,0.0309421,1.1989800000000002,50.0,4.9,pubmedqa
0.4,-0.1,2,0.66541,0.021047842900000002,1.0450300000000001,50.0,5.02,pubmedqa
0.4,-0.1,3,0.66221,0.021269986900000003,1.0311,40.0,4.86,pubmedqa
0.5,-0.2,1,0.7009,0.0309421,1.1989800000000002,60.0,5.2,pubmedqa
0.5,-0.2,2,0.66541,0.021047842900000002,1.0450300000000001,60.0,5.0,pubmedqa
0.5,-0.2,3,0.66221,0.021269986900000003,1.0311,40.0,5.12,pubmedqa
0.5,-0.15,1,0.7009,0.0309421,1.1989800000000002,60.0,5.63,pubmedqa
0.5,-0.15,2,0.66541,0.021047842900000002,1.0450300000000001,60.0,4.98,pubmedqa
0.5,-0.15,3,0.66221,0.021269986900000003,1.0311,40.0,5.16,pubmedqa
0.5,-0.1,1,0.7009,0.0309421,1.1989800000000002,60.0,4.91,pubmedqa
0.5,-0.1,2,0.66541,0.021047842900000002,1.0450300000000001,60.0,5.34,pubmedqa
0.5,-0.1,3,0.66221,0.021269986900000003,1.0311,40.0,5.43,pubmedqa
0.6,-0.2,1,0.69926,0.031199842400000004,1.40904,60.0,5.23,pubmedqa
0.6,-0.2,2,0.66377,0.021189178100000004,1.1187799999999999,60.0,5.07,pubmedqa
0.6,-0.2,3,0.66221,0.021269986900000003,1.0311,40.0,5.21,pubmedqa
0.6,-0.15,1,0.69926,0.031199842400000004,1.40904,60.0,5.24,pubmedqa
0.6,-0.15,2,0.66377,0.021189178100000004,1.1187799999999999,60.0,4.97,pubmedqa
0.6,-0.15,3,0.66221,0.021269986900000003,1.0311,40.0,4.98,pubmedqa
0.6,-0.1,1,0.69926,0.031199842400000004,1.40904,60.0,5.34,pubmedqa
0.6,-0.1,2,0.66377,0.021189178100000004,1.1187799999999999,60.0,5.11,pubmedqa
0.6,-0.1,3,0.66221,0.021269986900000003,1.0311,40.0,5.05,pubmedqa
